,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_F4,Huskies_F6,Huskies_M6,Opponent11_M5,Opponent11_D2,Huskies_D7,Opponent11_D5,Opponent11_F1,Opponent11_M2,Opponent11_G2,Opponent11_D7,Opponent11_D6,Opponent11_F5,Huskies_M1,Huskies_M4,Opponent11_F4,Opponent11_M6,Huskies_G1,Huskies_D5,Huskies_F2,Huskies_D1
19,Huskies,506.579708,552.42851,41.0,33.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,,,,,,,True,,,,True,,
20,Huskies,552.42851,596.382774,46.0,54.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,
21,Huskies,596.382774,601.089935,30.0,42.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,
22,Opponent11,601.089935,650.529612,30.0,33.0,3.0,6.0,0.0,4.0,12.0,1.0,7.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,True,,True,True,,,,,True,,,,
23,Huskies,650.529612,730.647241,43.0,72.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,
24,Huskies,730.647241,743.6473940000001,39.0,33.0,-6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,True,True,
25,Opponent11,743.6473940000001,754.710462,23.0,39.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
26,Opponent11,754.710462,803.709642,42.0,33.0,-9.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,True,True,,,,True,,,,
27,Huskies,803.709642,827.1068969999999,45.0,33.0,-12.0,2.0,0.0,5.0,10.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,True,True,,,,,True,True
28,Opponent11,827.1068969999999,831.911302,25.0,30.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
29,Opponent11,831.911302,843.0108650000001,31.0,27.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,
30,Huskies,843.0108650000001,852.8660130000002,41.0,33.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,True
31,Opponent11,852.8660130000002,856.201468,32.0,59.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,
32,Huskies,856.201468,889.879324,43.0,33.0,-10.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,True,,,,,True,
33,Huskies,889.879324,905.837884,36.0,33.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
34,Opponent11,905.837884,930.383363,13.0,33.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,
35,Opponent11,930.383363,941.385656,45.0,30.0,-15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
36,Opponent11,941.385656,951.288098,29.0,66.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
37,Huskies,951.288098,967.924179,12.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,
38,Opponent11,967.924179,1027.087199,39.0,33.0,-6.0,6.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,True,True,,,,True,,,,
39,Huskies,1027.087199,1092.253111,54.0,72.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
40,Huskies,1092.253111,1096.422077,22.0,8.0,-14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,
41,Huskies,1096.422077,1133.963377,28.0,33.0,5.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,True,,,,True,True,
42,Huskies,1133.963377,1183.945367,80.0,33.0,-47.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,True,True,
43,Opponent11,1183.945367,1189.09131,13.0,39.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,
44,Huskies,1189.09131,1212.191862,49.0,33.0,-16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,True,,,,True,True,,
45,Opponent11,1212.191862,1272.99016,35.0,33.0,-2.0,2.0,0.0,3.0,8.0,4.0,9.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,,,,,True,True,,True,True,True,True,True,,,,,,,,,,
46,Opponent11,1272.99016,1286.766806,45.0,33.0,-12.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,,,True,,,,,,,,,,
47,Opponent11,1286.766806,1299.42232,67.0,33.0,-34.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,,,,,
48,Huskies,1299.42232,1320.758685,14.0,33.0,19.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,True,True,
49,Huskies,1320.758685,1476.891082,41.0,33.0,-8.0,16.0,0.0,3.0,11.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,,,,,,,,True,True,,,True,True,True,True
50,Opponent11,1476.891082,1481.3368580000001,43.0,47.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,
51,Huskies,1481.3368580000001,1529.330608,48.0,33.0,-15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,True
52,Opponent11,1529.330608,1571.266067,10.0,25.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
53,Opponent11,1571.266067,1592.3965380000002,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,True,,,,,,,,,
54,Huskies,1592.3965380000002,1599.641504,26.0,30.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
55,Huskies,1599.641504,1702.5087429999999,40.0,33.0,-7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,True,,,,,,
56,Huskies,1702.5087429999999,1707.105823,24.0,45.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,
57,Opponent11,1707.105823,1719.968798,64.0,33.0,-31.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,True,,,,
58,Huskies,1719.968798,1776.5177989999997,42.0,33.0,-9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,True,
59,Huskies,1776.5177989999997,1817.2568239999998,23.0,33.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,True,,,,True,,,True
60,Opponent11,1817.2568239999998,1850.9328670000002,33.0,59.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,
61,Opponent11,1850.9328670000002,1862.406005,16.0,28.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
62,Huskies,1862.406005,1869.002291,29.0,33.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,True,,,,True,,
63,Opponent11,1869.002291,1912.616322,64.0,54.0,-10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
64,Huskies,1912.616322,1917.3133879999998,73.0,88.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
65,Opponent11,1917.3133879999998,1930.2401,11.0,33.0,22.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,True,,,,
66,Opponent11,1930.2401,1940.168429,30.0,47.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
67,Opponent11,1940.168429,1984.588524,74.0,76.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,
68,Huskies,1984.588524,1995.639046,53.0,72.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
69,Huskies,1995.639046,2002.759782,46.0,33.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,True,True,,,,,,
70,Opponent11,2002.759782,2038.024918,35.0,35.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
71,Huskies,2038.024918,2066.9482239999998,35.0,33.0,-2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,True,,,,,True,,
72,Huskies,2066.9482239999998,2075.493215,65.0,78.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,
73,Opponent11,2075.493215,2081.598941,9.0,20.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,
74,Opponent11,2081.598941,2170.4213449999997,31.0,33.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,True,,,,
75,Huskies,2170.4213449999997,2174.443031,11.0,44.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,
76,Opponent11,2174.443031,2294.781246,56.0,33.0,-23.0,2.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,,True,True,True,,,,,,,,,
77,Huskies,2294.781246,2298.099982,29.0,61.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,
78,Opponent11,2298.099982,2315.461527,35.0,33.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,,,,,,,,,
79,Opponent11,2315.461527,2320.2253969999997,53.0,33.0,-20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
80,Huskies,2320.2253969999997,2353.119284,43.0,33.0,-10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,True,,,,,,
81,Opponent11,2353.119284,2460.8666989999997,67.0,33.0,-34.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,True,,,True,,,,,
82,Opponent11,2460.8666989999997,2476.998986,81.0,95.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
83,Opponent11,2476.998986,2508.706075,48.0,56.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
84,Huskies,2508.706075,2511.0991870000003,25.0,27.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,
85,Huskies,2511.0991870000003,2517.1670050000002,19.0,33.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,True
86,Opponent11,2517.1670050000002,2533.356291,55.0,33.0,-22.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,,,
87,Huskies,2533.356291,2555.613577,12.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,
88,Huskies,2555.613577,2563.637663,18.0,6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
89,Opponent11,2563.637663,2581.094478,47.0,33.0,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,,,,,,,,
90,Huskies,2581.094478,2611.1357559999997,28.0,76.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,
91,Opponent11,2611.1357559999997,2658.861413,20.0,33.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
92,Huskies,2658.861413,2666.420827,10.0,71.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,
93,Huskies,2666.420827,2673.364203,38.0,69.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
94,Opponent11,2673.364203,2681.612643,22.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
95,Huskies,2681.612643,2742.520405,24.0,74.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,
96,Huskies,2742.520405,2749.315379,44.0,34.0,-10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,,
97,Opponent11,2749.315379,3900.0,56.0,63.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
