,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent13_M6,Opponent13_D5,Opponent13_F1,Opponent13_M1,Huskies_M1,Huskies_M4,Opponent13_D3,Huskies_D8,Huskies_M12,Huskies_G1,Huskies_D3,Opponent13_M2,Opponent13_D6,Opponent13_D4,Opponent13_M7,Huskies_D4,Huskies_D1,Huskies_M3,Huskies_M9,Opponent13_D2,Opponent13_G2,Huskies_F5
25,Huskies,746.387011,774.877089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
26,Opponent13,774.877089,799.761751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,,
27,Huskies,799.761751,821.64735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,
28,Huskies,821.64735,869.5981039999998,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,,,,True,True,True,,,,
29,Huskies,869.5981039999998,897.8048470000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,
30,Opponent13,897.8048470000001,908.6417029999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,,,,,,,,True,
31,Huskies,908.6417029999999,921.9704720000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,
32,Huskies,921.9704720000001,932.69512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
33,Opponent13,932.69512,939.218127,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,,,,,True,,
34,Opponent13,939.218127,964.487707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
35,Huskies,964.487707,1006.582471,1.0,4.0,1.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,True,,True,,,,,True,True,,,,,True
36,Huskies,1006.582471,1017.327471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
37,Opponent13,1017.327471,1057.673909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
38,Opponent13,1057.673909,1095.217117,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,True,,True,,,,,,,
39,Opponent13,1095.217117,1111.6590609999998,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,True,,
40,Opponent13,1111.6590609999998,1124.5322609999998,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,True,,True,True,,,,,True,,
41,Huskies,1124.5322609999998,1147.023108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
42,Opponent13,1147.023108,1193.7881929999999,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,True,True,,True,,,,,True,,
43,Opponent13,1193.7881929999999,1254.585706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,True,,,,,,,,
44,Huskies,1254.585706,1379.844808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,True,,,,,,,,,,,,,
45,Opponent13,1379.844808,1384.659895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
46,Huskies,1384.659895,1404.6866810000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,True,True,,,True
47,Opponent13,1404.6866810000001,1409.5110300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,,
48,Huskies,1409.5110300000001,1434.084601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
49,Opponent13,1434.084601,1437.866115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
50,Opponent13,1437.866115,1449.7372970000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,True,True,,,,,,,,,
51,Huskies,1449.7372970000001,1516.3046689999999,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,True,True,,,,,True,True,True,,,,True
52,Opponent13,1516.3046689999999,1585.448315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
53,Huskies,1585.448315,1602.0068099999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,True,,,,,
54,Opponent13,1602.0068099999999,1625.40707,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,True,,,,,True,True,,,,,,,,,
55,Huskies,1625.40707,1631.711149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,True
56,Opponent13,1631.711149,1654.046606,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,,True,,,,,,,
57,Huskies,1654.046606,1658.4619089999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,
58,Opponent13,1658.4619089999999,1696.2179489999999,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,True,True,True,,,,,,True,,
59,Opponent13,1696.2179489999999,1758.4975989999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,True,,,,,,,,,,,,,,,
60,Huskies,1758.4975989999998,1774.1864649999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
61,Opponent13,1774.1864649999998,1808.786016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,True,True,,,,,,,,,
62,Huskies,1808.786016,1836.986057,1.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,True,True,True,,,,
63,Opponent13,1836.986057,1854.0483780000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
64,Opponent13,1854.0483780000002,1903.739667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
65,Opponent13,1903.739667,1996.353906,16.0,34.0,3.0,19.0,2.0,0.0,3.0,0.0,17.0,1.0,0.0,0.0,0.0,True,True,,True,,,True,,,,,True,True,,True,,,,,True,True,
66,Huskies,1996.353906,2007.610457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,
67,Opponent13,2007.610457,2011.525403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
68,Huskies,2011.525403,2024.2329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
69,Huskies,2024.2329,2039.966228,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,,,True,,,,,,
70,Huskies,2039.966228,2091.19885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
71,Opponent13,2091.19885,2236.474107,4.0,9.0,3.0,7.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,True,True,True,True,,,True,,,,,True,True,,,,,,,True,,
72,Opponent13,2236.474107,2322.114944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
73,Opponent13,2322.114944,2345.7992280000003,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,True,,,,,,,True,,
74,Huskies,2345.7992280000003,2363.323477,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,,
75,Opponent13,2363.323477,2372.909334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,True,,,,,,,,,,
76,Opponent13,2372.909334,2389.910812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
77,Opponent13,2389.910812,2408.927175,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,True,,,,,True,,
78,Opponent13,2408.927175,2423.7523079999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,,
79,Huskies,2423.7523079999996,2431.052964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,
80,Opponent13,2431.052964,2448.79092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
81,Huskies,2448.79092,2486.4646420000004,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,,,True,True,,,,,
82,Huskies,2486.4646420000004,2592.971688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,
83,Huskies,2592.971688,2612.1578449999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,
84,Huskies,2612.1578449999997,2616.3916449999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
85,Opponent13,2616.3916449999997,2648.865601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
86,Huskies,2648.865601,2663.45103,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,True,True,True,,,,True
87,Huskies,2663.45103,2678.0229649999997,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,True,,,True
88,Opponent13,2678.0229649999997,2739.852335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,
89,Huskies,2739.852335,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True
