,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D6,Huskies_F2,Huskies_F1,Huskies_M1,Huskies_M3,Huskies_M6,Opponent18_M1,Opponent18_D4,Opponent18_M5,Opponent18_F2,Opponent18_G1,Opponent18_D1,Opponent18_D2,Opponent18_D3,Opponent18_M3,Huskies_D7,Huskies_D5,Opponent18_M2,Opponent18_M4,Huskies_G1,Huskies_D2,Huskies_M8,Huskies_M4,Opponent18_F3,Huskies_M10,Opponent18_M6
44,Opponent18,1357.1888929999996,1379.1616590000006,70.0,34.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,,
45,Huskies,1379.1616590000006,1384.0434329999996,28.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,,
46,Opponent18,1384.0434329999996,1424.2153420000006,18.0,34.0,16.0,1.0,0.0,2.0,6.0,2.0,14.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,True,True,True,,,,True,,,,,,,
47,Opponent18,1424.2153420000006,1482.979585,64.0,34.0,-30.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,True,,,,,,,
48,Huskies,1482.979585,1497.3443660000007,57.0,34.0,-23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,True,,,,,,
49,Huskies,1497.3443660000007,1504.6921709999995,62.0,74.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,True,,,
50,Huskies,1504.6921709999995,1530.6607299999994,53.0,34.0,-19.0,0.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,True,,,,,True,,True,,,
51,Huskies,1530.6607299999994,1562.2545010000006,33.0,34.0,1.0,2.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,,,True,,True,,,
52,Huskies,1562.2545010000006,1590.824068,55.0,34.0,-21.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,True,,,,True,,,,,
53,Huskies,1590.824068,1619.919938,79.0,34.0,-45.0,4.0,0.0,3.0,6.0,1.0,6.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,,,,,,,,,,True,,,,,,,,,
54,Huskies,1619.919938,1767.9685090000007,62.0,34.0,-28.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,True,True,,,
55,Huskies,1767.9685090000007,1870.480751,26.0,34.0,8.0,7.0,1.0,2.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,,True,,,,,,,,,,,True,,,,,True,True,,,
56,Huskies,1870.480751,1907.073195,57.0,34.0,-23.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,True,True,,,,,
57,Opponent18,1907.073195,1929.226164,23.0,32.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
58,Opponent18,1929.226164,1971.871791,31.0,34.0,3.0,2.0,0.0,6.0,15.0,4.0,16.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,True,True,True,,,True,True,,,,,True,,
59,Opponent18,1971.871791,2048.583552,79.0,34.0,-45.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,,,,,True,,,,True,,,,,True,,
60,Huskies,2048.583552,2087.25634,38.0,34.0,-4.0,2.0,0.0,8.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,True,,True,,,,,,,,,,True,True,,,,True,,True,,,
61,Huskies,2087.25634,2125.0272940000004,70.0,71.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,,True,
62,Opponent18,2125.0272940000004,2162.902144,26.0,66.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,,
63,Opponent18,2162.902144,2174.344714,58.0,34.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,,,,,
64,Huskies,2174.344714,2180.863833000001,23.0,34.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,True,,,,,
65,Opponent18,2180.863833000001,2192.062237,33.0,65.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,
66,Opponent18,2192.062237,2210.902954,21.0,73.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,
67,Huskies,2210.902954,2344.421139,65.0,34.0,-31.0,15.0,0.0,2.0,5.0,2.0,6.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,True,,,True,,True,,,,,,,,,,True,True,,,,,,True,,True,
68,Opponent18,2344.421139,2380.0481210000003,35.0,34.0,-1.0,0.0,0.0,9.0,17.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,True,,,True,,,True,True,,,,,True,,True
69,Huskies,2380.0481210000003,2393.8893550000007,18.0,34.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,True,,,,,,,,,
70,Opponent18,2393.8893550000007,2398.123743,55.0,72.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,True
71,Huskies,2398.123743,2408.722891000001,30.0,34.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,True,,True,
72,Opponent18,2408.722891000001,2412.017483,48.0,46.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
73,Huskies,2412.017483,2431.201733,60.0,88.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
74,Opponent18,2431.201733,2440.872632,66.0,34.0,-32.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,,True,,
75,Opponent18,2440.872632,2449.9461570000008,55.0,75.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
76,Opponent18,2449.9461570000008,2478.709074000001,69.0,34.0,-35.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,True,,,,True,,,,,,,
77,Opponent18,2478.709074000001,2513.2053170000004,72.0,34.0,-38.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,True,,,,,True,,True
78,Opponent18,2513.2053170000004,2543.174789,63.0,34.0,-29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,True,,,,,,,
79,Opponent18,2543.174789,2767.616616,38.0,34.0,-4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,True,,True
80,Huskies,2767.616616,3900.0,80.0,34.0,-46.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,True,
