,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent12_M5,Opponent12_M3,Opponent12_M1,Opponent12_D2,Opponent12_D4,Opponent12_M6,Opponent12_M4,Huskies_G1,Huskies_D3,Huskies_F4,Huskies_M8,Huskies_M1,Huskies_F1,Huskies_D4,Huskies_M6,Huskies_D1,Huskies_D7,Huskies_M4,Opponent12_M2,Opponent12_D3,Opponent12_G1,Opponent12_D1,Huskies_F3,Opponent12_F1,Opponent12_M7
13,Opponent12,303.9134210000002,324.5551300000002,2.0,6.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,True,,,,,,,,,,,,True,,,True,,,
14,Huskies,324.5551300000002,329.6744290000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,,,,
15,Opponent12,329.6744290000001,517.1571009999999,1.0,8.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,True,,,,,,,,,,,,True,,,True,,,
16,Opponent12,517.1571009999999,530.3670040000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
17,Huskies,530.3670040000002,546.2674849999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,,,
18,Opponent12,546.2674849999999,560.9961250000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,True,,,,,
19,Opponent12,560.9961250000001,599.6652809999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,,,
20,Huskies,599.6652809999999,602.7971889999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,,,,
21,Opponent12,602.7971889999999,623.4165330000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,,,,,
22,Opponent12,623.4165330000002,662.6599339999998,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,True,,True,,,,,,,,,,,,True,True,,,,,
23,Opponent12,662.6599339999998,771.0061970000003,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,True,,,,,,,,,,,,True,True,True,,,,
24,Opponent12,771.0061970000003,793.3275509999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,,,,,,,,,,,,True,,,,
25,Opponent12,793.3275509999999,799.9175639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,
26,Opponent12,799.9175639999999,809.2993280000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,True,,,,
27,Opponent12,809.2993280000002,879.2295669999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,True,,,,,,,,,,,,,,,,,,
28,Opponent12,879.2295669999999,1011.507055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,True,,,,,
29,Opponent12,1011.507055,1114.1935359999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,True,,,True,,,
30,Opponent12,1114.1935359999998,1198.086921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,,,,
31,Opponent12,1198.086921,1356.988104,5.0,10.0,3.0,8.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,True,,True,,,,,,,,,,,,True,,,True,,,
32,Huskies,1356.988104,1396.1865669999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,
33,Opponent12,1396.1865669999993,1411.5083699999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,,,,
34,Opponent12,1411.5083699999993,1424.574783,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
35,Huskies,1424.574783,1430.5841179999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,,
36,Opponent12,1430.5841179999998,1445.2979219999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,
37,Opponent12,1445.2979219999993,1458.0675950000007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,,True,,,,,,
38,Huskies,1458.0675950000007,1472.0509650000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,
39,Opponent12,1472.0509650000006,1504.116398,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,True,,,True,,,
40,Opponent12,1504.116398,1542.6942660000007,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,True,,,,,,,,,,,,,True,,,,,
41,Huskies,1542.6942660000007,1547.885222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,
42,Opponent12,1547.885222,1569.49787,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,True,,,,,
43,Opponent12,1569.49787,1597.4498329999994,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,,True,,,,,
44,Huskies,1597.4498329999994,1605.6209609999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,,,,,,,,,,,
45,Opponent12,1605.6209609999994,1636.990702,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,True,,,,,,,,,,,,True,,,,,,
46,Opponent12,1636.990702,1661.0321540000007,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
47,Opponent12,1661.0321540000007,1671.3988490000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,True,,,,,,
48,Opponent12,1671.3988490000004,1690.4954399999995,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,,,,,True,,,
49,Huskies,1690.4954399999995,1863.8003809999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,,,,,,,,,,,
50,Opponent12,1863.8003809999998,1913.230388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,True,,,,,
51,Opponent12,1913.230388,1938.2548420000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,,,,,
52,Opponent12,1938.2548420000005,1955.387213,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,,,,,,,,,,,,,,,,,,
53,Opponent12,1955.387213,2061.706901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,,,,
54,Opponent12,2061.706901,2068.127229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True,,,
55,Huskies,2068.127229,2093.102882,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,,,,,,,
56,Huskies,2093.102882,2116.474684,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,True,True,,True,,,,,,,
57,Huskies,2116.474684,2127.3158550000003,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,True,,
58,Opponent12,2127.3158550000003,2137.851845,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,True,True,,,,,
59,Opponent12,2137.851845,2178.58523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,True,
60,Opponent12,2178.58523,2192.846879,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,,,True,
61,Opponent12,2192.846879,2204.327532,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,True,,,True,,,
62,Opponent12,2204.327532,2290.409793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,True,,,,,,
63,Opponent12,2290.409793,2296.0489740000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,,,,,,,,,,,,,,
64,Huskies,2296.0489740000007,2320.1725579999998,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,True,,True,True,,,,,True,,
65,Opponent12,2320.1725579999998,2380.948573,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,True,,True,
66,Opponent12,2380.948573,2440.0447010000003,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,,,,
67,Opponent12,2440.0447010000003,2454.481118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,,True
68,Opponent12,2454.481118,2530.522917,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,True,,,,,
69,Opponent12,2530.522917,2546.376368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,
70,Opponent12,2546.376368,2573.148316,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,,,,,
71,Opponent12,2573.148316,2578.210024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,
72,Huskies,2578.210024,2599.77449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,,,
73,Huskies,2599.77449,2648.6979539999998,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,,True,True,,,,,True,,
74,Huskies,2648.6979539999998,2659.2489880000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,,,,,,,,,,,
75,Huskies,2659.2489880000007,2664.18228,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,,,,,True,,,,,,,
76,Opponent12,2664.18228,2674.6346120000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,,True,
77,Opponent12,2674.6346120000003,2747.2360489999996,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,,,,,True
78,Opponent12,2747.2360489999996,2779.6402780000003,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,True,,True,,,
79,Huskies,2779.6402780000003,2787.302377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,
80,Opponent12,2787.302377,2792.638655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,
81,Opponent12,2792.638655,2850.335228,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,True,,True,
82,Opponent12,2850.335228,2860.1523190000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,True
83,Opponent12,2860.1523190000003,2885.655184,2.0,9.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,True,True,,,,,,,,,,,,,,,,,,True,True
84,Opponent12,2885.655184,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,,,
