,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent10_M6,Opponent10_D5,Huskies_G1,Huskies_D8,Huskies_D3,Opponent10_M5,Opponent10_M7,Opponent10_M3,Opponent10_D6,Huskies_M1,Huskies_F2,Huskies_D1,Huskies_F6,Huskies_F4,Opponent10_F1,Opponent10_F2,Opponent10_M2,Opponent10_D3,Huskies_D5,Huskies_M6,Huskies_M4,Opponent10_G1,Opponent10_F4,Opponent10_F3,Opponent10_D4,Huskies_M3,Huskies_F1
21,Opponent10,447.542676,466.97973199999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,,,,,
22,Huskies,466.97973199999984,559.7487970000002,10.0,20.0,4.0,10.0,0.0,2.0,5.0,0.0,7.0,2.0,0.0,0.0,0.0,,,,True,True,,,,,True,True,True,True,True,,,,,,True,True,,,,,,
23,Opponent10,559.7487970000002,565.6380849999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,
24,Huskies,565.6380849999999,603.3705970000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,True,,,,,,,
25,Opponent10,603.3705970000002,615.9867899999998,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,True,,,,,
26,Opponent10,615.9867899999998,641.8791649999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,
27,Huskies,641.8791649999997,663.4422789999999,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,True,True,True,,,,,,
28,Opponent10,663.4422789999999,681.0428700000002,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,True,True,,,,,,,,,,True,,,,,,,,,
29,Huskies,681.0428700000002,765.7624190000001,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,True,,,,,,
30,Huskies,765.7624190000001,783.8082610000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
31,Opponent10,783.8082610000001,868.7830720000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
32,Huskies,868.7830720000003,907.3551580000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,,
33,Opponent10,907.3551580000003,969.4148830000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,True,,,,,,,,,
34,Opponent10,969.4148830000003,982.144429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,,
35,Huskies,982.144429,1065.5235750000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
36,Opponent10,1065.5235750000004,1079.9112160000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,True,,,,,,,,,True,,,,,,,,,
37,Huskies,1079.9112160000002,1137.2733099999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,True,,,,,,,,,,,,,,
38,Opponent10,1137.2733099999996,1164.9865029999999,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,True,,,,,,,,,True,,,,,True,,,,
39,Huskies,1164.9865029999999,1176.3925579999996,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,True,,,,,,,,,,,,,
40,Opponent10,1176.3925579999996,1190.7855099999995,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,
41,Huskies,1190.7855099999995,1256.9410260000004,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,True,,,,,,,,True,,,,,,,
42,Opponent10,1256.9410260000004,1287.8697540000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,,,
43,Huskies,1287.8697540000005,1300.9173039999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,True,,,,,,,
44,Opponent10,1300.9173039999996,1313.1117130000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,,,
45,Huskies,1313.1117130000002,1341.1546719999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,,
46,Opponent10,1341.1546719999994,1354.1903490000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,True,,,,
47,Opponent10,1354.1903490000004,1373.0197609999996,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,,,,,,,,,True,,,,,
48,Opponent10,1373.0197609999996,1409.3449039999994,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,,,True,,,,
49,Huskies,1409.3449039999994,1422.1107249999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
50,Huskies,1422.1107249999993,1428.2769099999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,,,,
51,Opponent10,1428.2769099999994,1443.364958,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True,True,,,,
52,Huskies,1443.364958,1464.6117809999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,,,,,
53,Opponent10,1464.6117809999994,1592.2089530000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,True,,,,
54,Opponent10,1592.2089530000005,1606.7647900000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,,,,,,
55,Opponent10,1606.7647900000004,1625.6434900000006,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,True,,,,,,,,True,,,,,,,,,,
56,Opponent10,1625.6434900000006,1641.4144859999994,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,True,,,,,,,True,,,True,,,,,,,,,
57,Opponent10,1641.4144859999994,1657.8527519999998,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,,,,True,,True,,,,,,,,,,True,,,,,,,,,
58,Huskies,1657.8527519999998,1663.3004300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,,,,,
59,Opponent10,1663.3004300000002,1673.1005240000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,,,,,
60,Huskies,1673.1005240000006,1697.4187659999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,,,,,,,,True,,,,,,
61,Opponent10,1697.4187659999998,1700.4994900000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
62,Huskies,1700.4994900000004,1770.4537449999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
63,Opponent10,1770.4537449999998,1784.729402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,True,,,
64,Opponent10,1784.729402,1802.254042,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,True,,,,,,,,,True,,,,,,,True,,
65,Huskies,1802.254042,1828.752479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,,
66,Huskies,1828.752479,1882.37065,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,,,,,,,,True,,,,,,
67,Opponent10,1882.37065,1906.5754370000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,,
68,Huskies,1906.5754370000006,1951.423205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,True,,,,,,,
69,Opponent10,1951.423205,2003.290231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,True,,,
70,Opponent10,2003.290231,2037.7773300000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,True,True,,True,,
71,Opponent10,2037.7773300000001,2062.851549,4.0,9.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,True,,,,,,,,,,,,,,True,True,True,,
72,Opponent10,2062.851549,2210.037399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,True,,,,
73,Opponent10,2210.037399,2250.6773730000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
74,Huskies,2250.6773730000004,2341.181645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,,,,,True,
75,Opponent10,2341.181645,2409.896591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,,,,,,
76,Huskies,2409.896591,2416.762194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,,
77,Opponent10,2416.762194,2419.3532670000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,True,,
78,Huskies,2419.3532670000004,2465.502933,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,True,,,,,,,,True,,,,,,
79,Huskies,2465.502933,2499.657982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,True,,,,,,
80,Huskies,2499.657982,2574.820748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,,,True,True
81,Huskies,2574.820748,2577.589828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
82,Opponent10,2577.589828,2611.334679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
83,Opponent10,2611.334679,2635.41256,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,True,,,,,,,True,,
84,Huskies,2635.41256,2644.771701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,True
85,Opponent10,2644.771701,2745.662595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,
86,Huskies,2745.662595,2826.655451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,True
87,Huskies,2826.655451,2840.1496070000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,True
88,Opponent10,2840.1496070000007,2847.380485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,,,,,,,,,,,,,,,,,
89,Opponent10,2847.380485,2855.390084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,True,,,
90,Huskies,2855.390084,2863.6950450000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,,True
91,Opponent10,2863.6950450000004,2913.9633240000007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,True,,,,True,,,,,
92,Opponent10,2913.9633240000007,2946.9266780000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,
93,Opponent10,2946.9266780000003,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,True,,,,,
