,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_F6,Huskies_M8,Opponent7_D3,Huskies_M1,Huskies_D5,Huskies_F1,Huskies_M6,Huskies_F5,Huskies_D1,Opponent7_G1,Opponent7_D4,Opponent7_M2,Opponent7_D1,Opponent7_D2,Huskies_M4,Opponent7_F1,Opponent7_M6,Opponent7_F2,Opponent7_M7,Huskies_D8,Huskies_G1,Huskies_F2,Huskies_F4,Huskies_M12
14,Huskies,345.38966100000016,366.11300100000017,53.0,49.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,
15,Opponent7,366.11300100000017,369.73520000000013,61.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,,,,
16,Huskies,369.73520000000013,376.37038600000005,10.0,47.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,
17,Opponent7,376.37038600000005,394.22960400000017,40.0,35.0,-5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,True,,,,True,,,,,,,
18,Huskies,394.22960400000017,401.83773699999983,34.0,53.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,
19,Opponent7,401.83773699999983,411.011086,44.0,22.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,
20,Opponent7,411.011086,415.6976439999999,48.0,59.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,,,,
21,Opponent7,415.6976439999999,450.0267640000001,57.0,35.0,-22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,True,,,,,,True,,,,,,
22,Opponent7,450.0267640000001,464.83087500000016,53.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,
23,Opponent7,464.83087500000016,470.62546400000014,84.0,35.0,-49.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,True,,,,,,,,
24,Huskies,470.62546400000014,504.7629050000001,33.0,35.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,,,,
25,Opponent7,504.7629050000001,507.302925,40.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,
26,Huskies,507.302925,574.0353879999998,30.0,35.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,,,,
27,Opponent7,574.0353879999998,605.313197,80.0,35.0,-45.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,True,,,,,
28,Huskies,605.313197,621.892186,34.0,35.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,True,,,
29,Opponent7,621.892186,686.6436629999997,42.0,35.0,-7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,True,,,,,,
30,Huskies,686.6436629999997,744.899602,50.0,31.0,-19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,
31,Huskies,744.899602,748.1909219999997,79.0,63.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,,,,
32,Opponent7,748.1909219999997,759.8521679999999,17.0,35.0,18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,True,True,,,,,
33,Opponent7,759.8521679999999,766.0297420000003,79.0,35.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,
34,Opponent7,766.0297420000003,803.6993809999999,91.0,35.0,-56.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,,,,True,True,True,,,,,
35,Huskies,803.6993809999999,860.2518020000003,37.0,31.0,-6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,
36,Opponent7,860.2518020000003,948.356324,79.0,35.0,-44.0,5.0,0.0,1.0,8.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,True,True,,,,True,True,,True,,,,,
37,Huskies,948.356324,981.942629,28.0,35.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,True,,,
38,Opponent7,981.942629,985.133166,48.0,35.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,,,,
39,Huskies,985.133166,1013.430389,26.0,35.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,True,,
40,Huskies,1013.430389,1020.9951179999997,59.0,35.0,-24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,
41,Huskies,1020.9951179999997,1101.9155890000004,60.0,35.0,-25.0,5.0,0.0,4.0,6.0,5.0,17.0,0.0,0.0,3.0,12.0,2.0,1.0,0.0,0.0,0.0,True,True,,,True,True,True,True,True,,,,,,,,,,,,True,,True,,
42,Huskies,1101.9155890000004,1107.599666,48.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,,,,
43,Huskies,1107.599666,1123.2589280000002,37.0,35.0,-2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,True,,,,,,,,,,,,,,,True,,
44,Huskies,1123.2589280000002,1162.8133380000002,80.0,35.0,-45.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,
45,Huskies,1162.8133380000002,1193.831964,54.0,35.0,-19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,,,,,,,,,,,,,True,,
46,Opponent7,1193.831964,1211.5194549999997,52.0,35.0,-17.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,True,,,,,,,,
47,Huskies,1211.5194549999997,1244.0861430000004,43.0,35.0,-8.0,0.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,,True,,,,,,,,,,,,,True,,
48,Opponent7,1244.0861430000004,1248.8343029999996,68.0,88.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,,,
49,Opponent7,1248.8343029999996,1262.001932,98.0,87.0,-11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,,,,,
50,Opponent7,1262.001932,1385.5969919999998,57.0,35.0,-22.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,True,,True,,,,,,
51,Opponent7,1385.5969919999998,1389.5154620000005,32.0,54.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,,
52,Huskies,1389.5154620000005,1445.6770789999998,33.0,35.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,True,,,,
53,Opponent7,1445.6770789999998,1498.2151400000002,54.0,74.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,
54,Opponent7,1498.2151400000002,1504.116798,42.0,55.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,
55,Huskies,1504.116798,1513.5034530000007,13.0,35.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,,,,,,,,,,,,,,,
56,Huskies,1513.5034530000007,1530.0727909999994,45.0,35.0,-10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,True,,True,True,
57,Opponent7,1530.0727909999994,1570.855555,34.0,35.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,True,,,,,,
58,Huskies,1570.855555,1577.4949939999995,27.0,36.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,
59,Huskies,1577.4949939999995,1582.5596809999995,40.0,58.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,
60,Opponent7,1582.5596809999995,1589.0356069999998,40.0,35.0,-5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,True,,,,,True,,,,,,,,
61,Huskies,1589.0356069999998,1664.2102050000005,45.0,35.0,-10.0,4.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,True,,,,True,,True,,,True,,,,,,,,,,,,,True,,
62,Opponent7,1664.2102050000005,1681.4254170000006,11.0,35.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,True,,,,,,,,
63,Opponent7,1681.4254170000006,1745.4074380000004,81.0,89.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,,,,
64,Huskies,1745.4074380000004,1765.6514859999993,55.0,35.0,-20.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,True,,
65,Huskies,1765.6514859999993,1801.2471189999994,91.0,35.0,-56.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,,,True,
66,Huskies,1801.2471189999994,1849.7396740000006,51.0,69.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,
67,Opponent7,1849.7396740000006,1871.0662920000007,9.0,35.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,True,,True,,,,,
68,Huskies,1871.0662920000007,1919.073068,12.0,35.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,True,True,,,,,,,,,,,,,,,True,,
69,Huskies,1919.073068,2131.9624030000004,67.0,35.0,-32.0,13.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,True,,,,,,,,,,,,,,,,,,
70,Opponent7,2131.9624030000004,2139.100079,50.0,28.0,-22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,,,,
71,Huskies,2139.100079,2150.340531,45.0,35.0,-10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,True,
72,Opponent7,2150.340531,2225.813121,46.0,35.0,-11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,True,,,,,,
73,Huskies,2225.813121,2277.857048,2.0,35.0,33.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,,,,
74,Opponent7,2277.857048,2280.384175,31.0,45.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,
75,Opponent7,2280.384175,2317.3307720000007,36.0,76.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,,,,
76,Huskies,2317.3307720000007,2341.968309,30.0,35.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,True,
77,Huskies,2341.968309,2392.4349230000003,87.0,35.0,-52.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,True,
78,Huskies,2392.4349230000003,2397.857223,27.0,47.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,,,,
79,Huskies,2397.857223,2538.469724,28.0,35.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,True
80,Huskies,2538.469724,2541.9507399999998,73.0,84.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,
81,Opponent7,2541.9507399999998,2549.638878,6.0,35.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,True,,,,,
82,Huskies,2549.638878,2621.831224,29.0,35.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,True,,
83,Huskies,2621.831224,2653.592732,21.0,74.0,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True,,,
84,Opponent7,2653.592732,2662.223239,16.0,69.0,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,,,,
85,Huskies,2662.223239,2693.867204,34.0,35.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,True,,
86,Huskies,2693.867204,2762.05045,62.0,35.0,-27.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,True,,
87,Huskies,2762.05045,2770.31178,30.0,35.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,True,True,
88,Huskies,2770.31178,2785.199191,66.0,71.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,
89,Huskies,2785.199191,2846.140584,44.0,35.0,-9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,True,
90,Huskies,2846.140584,2855.600454000001,20.0,23.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,True,,
91,Opponent7,2855.600454000001,2862.571871,15.0,35.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,True,,,,,,
92,Huskies,2862.571871,2869.901406,32.0,22.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True,,,
93,Opponent7,2869.901406,2880.719415,20.0,35.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,True,,True,,,,,,
94,Huskies,2880.719415,3900.0,10.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True,,,
