,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent11_D7,Opponent11_M5,Opponent11_F1,Opponent11_F4,Opponent11_M6,Opponent11_M2,Huskies_D7,Huskies_F4,Huskies_F6,Opponent11_D5,Opponent11_D2,Huskies_M1,Huskies_F2,Huskies_D2,Huskies_D1,Huskies_D5,Huskies_M4,Opponent11_F5,Opponent11_D6,Huskies_M6,Huskies_G1,Huskies_F5,Opponent11_D1,Opponent11_F3,Opponent11_M3,Opponent11_G2,Huskies_F1,Huskies_M12
10,Opponent11,330.4601330000001,335.397442,64.0,60.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
11,Opponent11,335.397442,341.578892,54.0,43.0,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,
12,Huskies,341.578892,428.7973299999999,29.0,31.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,True,,,,,,,,,,,,,
13,Opponent11,428.7973299999999,435.4086499999999,66.0,31.0,-35.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,True,,,,,,,,,,
14,Huskies,435.4086499999999,443.39114800000016,10.0,31.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,,,,,,,,,,,,,,,,
15,Huskies,443.39114800000016,449.19223300000016,25.0,45.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,
16,Huskies,449.19223300000016,492.82070000000016,44.0,45.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,
17,Huskies,492.82070000000016,528.360392,89.0,31.0,-58.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,
18,Huskies,528.360392,552.6856680000002,87.0,31.0,-56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,
19,Opponent11,552.6856680000002,562.4716870000002,64.0,31.0,-33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
20,Huskies,562.4716870000002,591.3043459999999,14.0,82.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,
21,Huskies,591.3043459999999,701.4452769999997,65.0,31.0,-34.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,,,,,True,,,,,,,,
22,Huskies,701.4452769999997,711.240491,30.0,31.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,True,,True,,,,,,
23,Opponent11,711.240491,719.2449409999998,27.0,31.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
24,Huskies,719.2449409999998,741.3120560000003,42.0,38.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,
25,Huskies,741.3120560000003,745.8886170000002,25.0,45.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,
26,Huskies,745.8886170000002,809.5210450000001,26.0,31.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,True,,,,,,,,,,,
27,Opponent11,809.5210450000001,830.5816770000001,72.0,31.0,-41.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,True,,,,True,,,,,
28,Huskies,830.5816770000001,919.48637,36.0,31.0,-5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,
29,Huskies,919.48637,926.8203709999997,86.0,80.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,
30,Huskies,926.8203709999997,1173.936012,48.0,31.0,-17.0,12.0,0.0,7.0,12.0,5.0,22.0,0.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,True,,True,True,,,True,True,,,,,,,
31,Huskies,1173.936012,1196.0636889999996,10.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,
32,Huskies,1196.0636889999996,1203.1808939999999,71.0,31.0,-40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,
33,Opponent11,1203.1808939999999,1273.5039150000002,14.0,31.0,17.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,,True,,,,
34,Opponent11,1273.5039150000002,1284.8146399999996,54.0,31.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,True,,,,,,,,,True,,,,,,,,,
35,Huskies,1284.8146399999996,1294.3515380000001,32.0,26.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,
36,Huskies,1294.3515380000001,1317.5388279999995,40.0,31.0,-9.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,True,,,True,,,,,,,,,,,,
37,Huskies,1317.5388279999995,1384.850509,62.0,31.0,-31.0,4.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,,,True,,,,,,True,,,,,,
38,Opponent11,1384.850509,1469.8204509999994,32.0,31.0,-1.0,9.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,True,,,,True,,,,,,,,,True,,,,,True,,,,
39,Opponent11,1469.8204509999994,1532.6193629999998,75.0,31.0,-44.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,True,True,,,
40,Huskies,1532.6193629999998,1535.8650810000001,27.0,22.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,
41,Huskies,1535.8650810000001,1589.18199,30.0,19.0,-11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,
42,Opponent11,1589.18199,1595.7436879999993,65.0,78.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
43,Opponent11,1595.7436879999993,1602.8241989999995,58.0,31.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,
44,Huskies,1602.8241989999995,1626.7419200000006,19.0,31.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,True,,,,,,,,
45,Opponent11,1626.7419200000006,1636.0240310000002,23.0,69.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,
46,Opponent11,1636.0240310000002,1664.0557900000006,63.0,76.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
47,Huskies,1664.0557900000006,1674.000588,40.0,44.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,
48,Huskies,1674.000588,1682.2106679999995,19.0,67.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
49,Opponent11,1682.2106679999995,1718.7049420000005,50.0,31.0,-19.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,,,,True,,,,,,True,True,,
50,Huskies,1718.7049420000005,1748.4627899999994,71.0,31.0,-40.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,True,True,True,,,,,,True,,,,,,
51,Huskies,1748.4627899999994,1769.9223570000006,63.0,31.0,-32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,True,,True,,,,,,,,,,,,,
52,Huskies,1769.9223570000006,1781.6310560000004,71.0,71.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
53,Opponent11,1781.6310560000004,1786.7228080000007,23.0,45.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,
54,Opponent11,1786.7228080000007,1821.133458,40.0,31.0,-9.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,True,True,,,
55,Opponent11,1821.133458,1849.7949120000005,69.0,31.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
56,Opponent11,1849.7949120000005,1856.286468,67.0,66.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
57,Opponent11,1856.286468,1875.710827,57.0,31.0,-26.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,,,,,,,,True,,,,True,,,,,
58,Opponent11,1875.710827,1889.541877,13.0,31.0,18.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,True,,,,,,,,,,,,,,,True,,,
59,Huskies,1889.541877,1893.5057880000006,56.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,
60,Opponent11,1893.5057880000006,1907.3948079999998,30.0,31.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,,True,,,
61,Opponent11,1907.3948079999998,1973.4259650000006,64.0,31.0,-33.0,4.0,1.0,1.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,True,,,,True,True,,,,
62,Huskies,1973.4259650000006,1993.8309470000006,46.0,31.0,-15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,True,,,,,,,
63,Opponent11,1993.8309470000006,2027.184082,75.0,87.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
64,Opponent11,2027.184082,2127.724716,64.0,31.0,-33.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,True,True,,,,
65,Huskies,2127.724716,2132.2153,80.0,77.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,
66,Huskies,2132.2153,2136.158703,57.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,
67,Opponent11,2136.158703,2151.021267,19.0,31.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,True,,,,True,,,,,
68,Huskies,2151.021267,2204.3677789999997,36.0,31.0,-5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,True,,,,,,,,,,,
69,Huskies,2204.3677789999997,2218.1541190000003,95.0,31.0,-64.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True,,,,,True,
70,Opponent11,2218.1541190000003,2229.624337,61.0,31.0,-30.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,True,,,,,,,,,
71,Huskies,2229.624337,2236.956332,72.0,82.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True
72,Opponent11,2236.956332,2267.241236,9.0,0.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,
73,Opponent11,2267.241236,2280.377289,59.0,31.0,-28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,,
74,Opponent11,2280.377289,2335.984918,35.0,31.0,-4.0,13.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,True,,,,True,True,,,,
75,Huskies,2335.984918,2362.4063560000004,55.0,31.0,-24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,True,,,,,,,,,,,
76,Huskies,2362.4063560000004,2384.7354149999996,85.0,31.0,-54.0,3.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,True,True,,,,,,,,,,True,True
77,Opponent11,2384.7354149999996,2450.8440969999997,53.0,31.0,-22.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,,True,,,True,,
78,Opponent11,2450.8440969999997,2454.868786,32.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
79,Huskies,2454.868786,2479.847472000001,30.0,31.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True
80,Huskies,2479.847472000001,2484.129134,62.0,31.0,-31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,True
81,Opponent11,2484.129134,2487.761297,25.0,36.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
82,Huskies,2487.761297,2493.7382789999997,66.0,75.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True
83,Opponent11,2493.7382789999997,2499.092305,30.0,24.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,
84,Huskies,2499.092305,2523.249008,27.0,31.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,True,,True,True,,,,,,,,,,,
85,Opponent11,2523.249008,2568.785215,82.0,69.0,-13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,
86,Opponent11,2568.785215,2638.0708510000004,68.0,31.0,-37.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,True,,,,
87,Opponent11,2638.0708510000004,2680.308488,94.0,87.0,-7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,
88,Huskies,2680.308488,2736.112316,8.0,26.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True
89,Opponent11,2736.112316,2795.18282,72.0,80.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
90,Opponent11,2795.18282,2829.470495,75.0,73.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
91,Huskies,2829.470495,3900.0,67.0,83.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
