,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F2,Huskies_D2,Huskies_G1,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_M3,Opponent2_G1,Opponent2_D2,Opponent2_M3,Opponent2_D4,Opponent2_F3,Opponent2_M4,Opponent2_D3,Opponent2_F2,Huskies_D6,Opponent2_M2,Huskies_M4,Opponent2_M1,Huskies_D4,Huskies_M2,Huskies_M6,Opponent2_D5,Opponent2_M5,Huskies_M7
43,Huskies,1262.864606,1268.700549,58.0,43.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,True,,,
44,Opponent2,1268.700549,1284.2112079999995,32.0,33.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,True,,,,True,,
45,Huskies,1284.2112079999995,1309.5547690000005,28.0,33.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,True,,,
46,Huskies,1309.5547690000005,1320.8123589999996,51.0,42.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,
47,Opponent2,1320.8123589999996,1352.6135160000003,34.0,33.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,True,,
48,Huskies,1352.6135160000003,1371.1153990000005,28.0,25.0,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,,
49,Opponent2,1371.1153990000005,1382.1770100000006,37.0,33.0,-4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,True,,,,,,True,,
50,Huskies,1382.1770100000006,1433.7411899999993,38.0,31.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,True,,,
51,Opponent2,1433.7411899999993,1470.7891520000005,45.0,33.0,-12.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,,,True,True,
52,Huskies,1470.7891520000005,1508.4886800000006,42.0,33.0,-9.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,,,,True,,,,True,,True,,,
53,Opponent2,1508.4886800000006,1549.4979590000007,90.0,33.0,-57.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,True,
54,Huskies,1549.4979590000007,1577.743727,29.0,24.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
55,Opponent2,1577.743727,1620.7183539999994,36.0,33.0,-3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,,,,True,,,,,,,,
56,Opponent2,1620.7183539999994,1622.8250609999993,37.0,36.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,,,,,
57,Huskies,1622.8250609999993,1657.981527,60.0,33.0,-27.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,,,,,True,,,,,,,,,
58,Opponent2,1657.981527,1666.4733859999994,13.0,43.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,
59,Opponent2,1666.4733859999994,1672.50587,11.0,33.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,True,,,,,,
60,Huskies,1672.50587,1676.2456840000007,55.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,,,
61,Opponent2,1676.2456840000007,1716.1669330000007,42.0,49.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,,True,,
62,Opponent2,1716.1669330000007,1762.224515,79.0,33.0,-46.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,,,,True,,
63,Opponent2,1762.224515,1797.3047010000003,28.0,33.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,True,,True,,,,,True,
64,Opponent2,1797.3047010000003,1889.499336,97.0,99.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,,
65,Opponent2,1889.499336,1911.396246,30.0,33.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,True,True,
66,Huskies,1911.396246,1992.5639570000005,10.0,45.0,35.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,
67,Opponent2,1992.5639570000005,2031.663808,12.0,33.0,21.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,,,,,,,True,,,,True,,
68,Opponent2,2031.663808,2044.542946,34.0,33.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,True,,,,,,
69,Huskies,2044.542946,2055.835824,30.0,43.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,,,,,
70,Opponent2,2055.835824,2086.537243,89.0,33.0,-56.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,,,,
71,Opponent2,2086.537243,2095.257539,71.0,74.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,True,,
72,Opponent2,2095.257539,2131.7924829999997,54.0,33.0,-21.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,,,,,True,,
73,Huskies,2131.7924829999997,2154.5735480000008,25.0,33.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,,,,,,
74,Opponent2,2154.5735480000008,2165.379635,7.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,
75,Opponent2,2165.379635,2180.191932,37.0,33.0,-4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,,,True,
76,Opponent2,2180.191932,2348.700938,38.0,33.0,-5.0,9.0,1.0,14.0,33.0,6.0,22.0,5.0,3.0,12.0,3.0,18.0,6.0,5.0,3.0,0.0,,,,,,,,,,True,,True,,True,,True,,True,,True,,,,True,True,
77,Opponent2,2348.700938,2400.82802,75.0,33.0,-42.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,,,,True,True,
78,Opponent2,2400.82802,2429.4556829999997,27.0,32.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,
79,Opponent2,2429.4556829999997,2435.044328,38.0,68.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,,
80,Huskies,2435.044328,2441.348895,21.0,9.0,-12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,,,,
81,Opponent2,2441.348895,2525.586862,66.0,33.0,-33.0,9.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,True,,True,,,,,True,
82,Huskies,2525.586862,2554.930155,39.0,59.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,,,,
83,Opponent2,2554.930155,2708.9262329999997,27.0,33.0,6.0,15.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,,,True,
84,Opponent2,2708.9262329999997,2749.147046,7.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
85,Opponent2,2749.147046,2772.9275260000004,37.0,33.0,-4.0,1.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,True,,,,True,,True,,,,,True,
86,Opponent2,2772.9275260000004,2788.6775610000004,71.0,33.0,-38.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,True,True,
87,Huskies,2788.6775610000004,2797.9571140000003,32.0,33.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True,,,,True
88,Opponent2,2797.9571140000003,2835.5151610000007,35.0,33.0,-2.0,4.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,True,,True,,,,True,True,
89,Opponent2,2835.5151610000007,2842.271840000001,97.0,91.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,True,,
90,Opponent2,2842.271840000001,2855.5781629999997,80.0,74.0,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,,True,
91,Opponent2,2855.5781629999997,2932.852162,88.0,33.0,-55.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,True,,,,,,True,,,,True,True,
92,Huskies,2932.852162,2939.922357000001,30.0,33.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,,,,
93,Opponent2,2939.922357000001,2944.309644,41.0,64.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,
94,Opponent2,2944.309644,3900.0,71.0,33.0,-38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,True,,
