,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D1,Huskies_M8,Huskies_G1,Huskies_D3,Opponent3_D4,Opponent3_M2,Opponent3_D5,Opponent3_M4,Opponent3_D2,Opponent3_D1,Opponent3_F2,Opponent3_M3,Opponent3_F4,Opponent3_G1,Opponent3_M5,Huskies_D5,Huskies_M3,Huskies_M4,Huskies_D7,Huskies_M1,Huskies_M6
59,Opponent3,1185.263343,1337.8205560000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,True,,True,,,,,,
60,Huskies,1337.8205560000001,1353.875085,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,,,,
61,Opponent3,1353.875085,1362.485634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
62,Opponent3,1362.485634,1377.564081,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,True,,True,,,,,,
63,Opponent3,1377.564081,1404.150673,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,True,,,,True,,,,,,
64,Huskies,1404.150673,1419.8075609999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,True,,,,True
65,Huskies,1419.8075609999999,1424.0088970000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,
66,Huskies,1424.0088970000002,1482.9563890000002,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,True,True,True,,True
67,Huskies,1482.9563890000002,1496.900915,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,True,,,
68,Huskies,1496.900915,1500.90827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
69,Opponent3,1500.90827,1504.481544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
70,Huskies,1504.481544,1511.877383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
71,Opponent3,1511.877383,1519.934391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,True,,,,,,,,,,
72,Huskies,1519.934391,1532.626459,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,,,,,,,,,,,,,,,True,,
73,Opponent3,1532.626459,1600.8809019999999,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,,,True,,True,,,,,,,
74,Opponent3,1600.8809019999999,1633.383431,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,True,True,True,,True,True,True,True,,,,,,
75,Opponent3,1633.383431,1677.348418,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,True,,True,,,,,,
76,Opponent3,1677.348418,1729.965934,3.0,6.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,True,True,True,,,,True,,,,,,
77,Huskies,1729.965934,1752.253639,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,,,,,,,,,True,,,,,
78,Huskies,1752.253639,1757.6609239999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True
79,Opponent3,1757.6609239999998,1765.09398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
80,Huskies,1765.09398,1771.190572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True
81,Opponent3,1771.190572,1776.926975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,True,,,,,,
82,Huskies,1776.926975,1796.7231570000001,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,True,,,True,,True
83,Opponent3,1796.7231570000001,1819.0247379999998,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,True,True,True,,True,,,,,,
84,Huskies,1819.0247379999998,1839.3636379999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True
85,Opponent3,1839.3636379999998,1856.361541,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,,True,,,,,,,,,
86,Huskies,1856.361541,1929.063603,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,True,True,,True,
87,Opponent3,1929.063603,1979.410626,2.0,7.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,,True,,,True,,,,,,
88,Opponent3,1979.410626,2011.547108,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,True,,True,,,True,,,,,,
89,Huskies,2011.547108,2054.996589,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,True,True,,True,,True
90,Huskies,2054.996589,2060.566777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,
91,Opponent3,2060.566777,2129.939867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
92,Opponent3,2129.939867,2134.17008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,True,,,,,,
93,Huskies,2134.17008,2139.271348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,
94,Huskies,2139.271348,2152.744753,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,True,
95,Huskies,2152.744753,2170.18012,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,True,,True,True,True,
96,Huskies,2170.18012,2191.6239570000002,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,True,,True
97,Opponent3,2191.6239570000002,2223.277443,1.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,
98,Opponent3,2223.277443,2284.830423,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,True,,,,,True,,,,,,
99,Opponent3,2284.830423,2310.466763,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,True,,True,True,,,,True,,,,,,,
100,Opponent3,2310.466763,2375.474307,6.0,19.0,0.0,6.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,True,True,,True,True,,,,,,
101,Opponent3,2375.474307,2378.213065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,
102,Huskies,2378.213065,2391.681874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,
103,Opponent3,2391.681874,2425.935048,2.0,7.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,True,,,,,,,,,
104,Opponent3,2425.935048,2457.587275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,True,,,,,,,,,,
105,Opponent3,2457.587275,2473.3906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,,,,,,
106,Opponent3,2473.3906,2486.323193,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,,,True,,,,,,,,,
107,Huskies,2486.323193,2492.214394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
108,Opponent3,2492.214394,2504.853979,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,True,,,,,,
109,Opponent3,2504.853979,2506.5502309999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
110,Huskies,2506.5502309999997,2512.824736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
111,Opponent3,2512.824736,2539.0904600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,
112,Huskies,2539.0904600000003,2554.870473,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,True,True,,,,
113,Opponent3,2554.870473,2567.603935,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,True,,,,True,,,,,,
114,Opponent3,2567.603935,2638.227006,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,True,,True,,,,,,
115,Huskies,2638.227006,2658.7324320000002,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,True,True,True,True,,True
116,Opponent3,2658.7324320000002,2681.154064,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,True,True,,True,,,,,,
117,Huskies,2681.154064,2698.0380149999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,
118,Opponent3,2698.0380149999996,2712.787475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
119,Opponent3,2712.787475,2748.644331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
120,Opponent3,2748.644331,3900.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,True,True,True,True,,,,,,
