,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_M12,Huskies_M1,Huskies_F2,Huskies_F5,Huskies_M3,Huskies_G1,Huskies_D3,Opponent18_D1,Opponent18_M8,Opponent18_M7,Opponent18_D3,Opponent18_D2,Opponent14_F2,Opponent18_F3,Opponent18_G1,Opponent18_M3,Opponent18_D4,Opponent18_M1,Huskies_D8,Huskies_D4
31,Opponent18,738.542215,751.832709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,
32,Huskies,751.832709,808.5144799999999,9.0,18.0,3.0,16.0,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,True,,True,True,True,,True,True,True,,,,,,,,,,,,True,True
33,Huskies,808.5144799999999,812.74245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
34,Opponent18,812.74245,821.355551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
35,Huskies,821.355551,855.311355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
36,Opponent18,855.311355,864.1042649999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,
37,Huskies,864.1042649999998,884.888823,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,,,,,,,,,,,,,,True
38,Opponent18,884.888823,888.8361289999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,
39,Huskies,888.8361289999999,901.403434,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,,,,,,,,,,,,,True,
40,Huskies,901.403434,910.800114,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,,,True
41,Opponent18,910.800114,917.208522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,
42,Huskies,917.208522,942.620259,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,True,True,True,,True,,,,,,,,,,,,,
43,Huskies,942.620259,948.3352550000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
44,Opponent18,948.3352550000001,971.36757,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,True,,,
45,Opponent18,971.36757,1019.173333,2.0,3.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,True,,,,,True,,,
46,Opponent18,1019.173333,1042.266224,4.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,True,,,True,True,,
47,Huskies,1042.266224,1056.859842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
48,Opponent18,1056.859842,1073.969626,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,,True,,True,True,,,
49,Opponent18,1073.969626,1083.964452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,
50,Huskies,1083.964452,1090.428144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,,,,
51,Opponent18,1090.428144,1156.3778320000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,True,,,,
52,Huskies,1156.3778320000001,1234.386027,2.0,7.0,2.0,6.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,True,,,True,True,,True,True,True,,,,,,,,,,,,,
53,Huskies,1234.386027,1240.058449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
54,Opponent18,1240.058449,1334.15755,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,True,,
55,Huskies,1334.15755,1365.9558279999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,True,True
56,Huskies,1365.9558279999999,1371.956557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,
57,Opponent18,1371.956557,1392.6763720000001,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,True,,True,,,True,True,,
58,Opponent18,1392.6763720000001,1404.632774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
59,Opponent18,1404.632774,1458.700844,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,True,,,,,
60,Huskies,1458.700844,1487.217108,2.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,True,True,,True,,,True,,True,,,,,,,,,,,,True,
61,Opponent18,1487.217108,1528.595319,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,True,True,,
62,Opponent18,1528.595319,1563.6239130000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,
63,Huskies,1563.6239130000001,1600.0257960000001,2.0,12.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,True,True,,True,,,,,,,,,,,,True,True
64,Opponent18,1600.0257960000001,1618.253992,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,,,,True,,
65,Huskies,1618.253992,1623.141515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,
66,Opponent18,1623.141515,1635.591482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
67,Huskies,1635.591482,1673.5504640000001,2.0,9.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,True,,True,,,,,,,,,,,,True,True
68,Opponent18,1673.5504640000001,1684.17585,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,
69,Huskies,1684.17585,1752.238465,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,True,,,,,,,,,,,,,True
70,Opponent18,1752.238465,1792.21084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
71,Huskies,1792.21084,1819.267388,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,True,True,True,,,,,,,,,,,,,
72,Huskies,1819.267388,1863.580859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,
73,Huskies,1863.580859,1905.001691,5.0,15.0,3.0,8.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,,True,,True,True,True,True,,,,,,,,,,,,True,True
74,Huskies,1905.001691,1919.647761,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,True,
75,Huskies,1919.647761,1933.722172,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,True,
76,Huskies,1933.722172,1956.216227,2.0,6.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,True,True,True,True,True,,,,,,,,,,,,,,,True
77,Opponent18,1956.216227,1972.9991710000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
78,Huskies,1972.9991710000002,2014.0377489999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
79,Opponent18,2014.0377489999998,2061.264904,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,True,,,,True,True,True,,
80,Huskies,2061.264904,2088.341254,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,True,,,,,,,,,,,,,,,True
81,Huskies,2088.341254,2116.234027,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,,,,,,,,,,,,,True
82,Opponent18,2116.234027,2242.681045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,
83,Huskies,2242.681045,2264.57618,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,True,,,,,,,,,,,,,,True
84,Opponent18,2264.57618,2277.503484,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,True,,,,,
85,Huskies,2277.503484,2316.6683789999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,True,,,,,,,,,,,,True,
86,Huskies,2316.6683789999997,2323.086737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,True,
87,Huskies,2323.086737,2403.039335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
88,Opponent18,2403.039335,2420.335657,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,,,
89,Opponent18,2420.335657,2436.4289940000003,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,True,True,,
90,Opponent18,2436.4289940000003,2438.636657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,
91,Huskies,2438.636657,2463.471169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,
92,Huskies,2463.471169,2479.2191550000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,
93,Opponent18,2479.2191550000002,2503.944888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,
94,Opponent18,2503.944888,2522.541874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
95,Huskies,2522.541874,2540.149163,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,True,,,,,,,,,,,,True,
96,Opponent18,2540.149163,2598.100059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
97,Opponent18,2598.100059,2625.1536100000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,True,,True,,,,,,,
98,Opponent18,2625.1536100000003,2626.820195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
99,Huskies,2626.820195,2627.93632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
100,Huskies,2627.93632,2641.318967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,
101,Opponent18,2641.318967,2654.630431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,
102,Huskies,2654.630431,2662.590818,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,,,,,,,,,,,
103,Huskies,2662.590818,2774.208559,4.0,15.0,3.0,11.0,0.0,1.0,5.0,1.0,6.0,2.0,1.0,1.0,0.0,True,,,True,True,True,True,True,True,,,,,,,,,,,,,True
104,Huskies,2774.208559,2782.144921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
105,Huskies,2782.144921,2784.554484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True
106,Huskies,2784.554484,2790.254053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True
107,Opponent18,2790.254053,2791.076138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,
108,Huskies,2791.076138,2795.880471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
109,Opponent18,2795.880471,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,
