,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F2,Huskies_D6,Huskies_F1,Huskies_M6,Opponent14_D2,Opponent14_G1,Huskies_D7,Huskies_D2,Huskies_G1,Huskies_D5,Huskies_M8,Opponent14_F1,Huskies_M1,Opponent14_M3,Opponent14_M2,Opponent14_M1,Huskies_M4,Opponent14_D4,Opponent14_D3,Opponent14_D1,Opponent14_D5,Opponent14_F2
23,Opponent14,542.156511,568.5036650000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
24,Huskies,568.5036650000001,596.226016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,True,,,,,,,,,,,,
25,Opponent14,596.226016,622.0310059999999,4.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,True,,True,True,True,True,
26,Huskies,622.0310059999999,639.189237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
27,Huskies,639.189237,666.324805,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,True,,,,,,True,,,,,,,,,
28,Huskies,666.324805,716.516164,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,True,True,,,,True,,,,,,,,,
29,Opponent14,716.516164,720.859786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,
30,Huskies,720.859786,733.222483,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,True,,,,,,,True,,,,,
31,Opponent14,733.222483,853.8016130000002,4.0,9.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,True,True,True,,True,True,True,True,
32,Opponent14,853.8016130000002,861.6801710000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
33,Opponent14,861.6801710000001,890.026527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,True,,
34,Huskies,890.026527,955.488034,5.0,10.0,1.0,8.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,True,True,,True,True,,True,,,,,,,,,
35,Opponent14,955.488034,962.0018550000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,True
36,Huskies,962.0018550000001,1120.6157269999999,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,,,,True,,,,,,,,,,,,,,
37,Opponent14,1120.6157269999999,1196.1113619999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,,,True,,
38,Huskies,1196.1113619999999,1208.4941720000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,True,,,,,,,,,,,
39,Huskies,1208.4941720000002,1228.044896,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,True,,,,True,,,,True,,,,,
40,Opponent14,1228.044896,1252.040322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
41,Opponent14,1252.040322,1286.995325,3.0,6.0,3.0,4.0,2.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,True,True,True,True,
42,Huskies,1286.995325,1305.889661,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,True,,,True,,,,,,,,,
43,Opponent14,1305.889661,1339.9837949999999,6.0,14.0,3.0,5.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,True,True,,True,True,True,True,
44,Huskies,1339.9837949999999,1373.83789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,
45,Opponent14,1373.83789,1381.500925,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,True,
46,Huskies,1381.500925,1386.272155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,True,,,,,,,,,
47,Opponent14,1386.272155,1398.498756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,True,,,,,,,
48,Opponent14,1398.498756,1437.745108,2.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,True,,,True,True,True,,
49,Huskies,1437.745108,1452.326932,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,True,True,,,,,,,,,,,,
50,Opponent14,1452.326932,1505.134386,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,True,,True,,True,True,,,
51,Huskies,1505.134386,1626.903033,3.0,7.0,2.0,5.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,True,,,,True,,,,,True,,,,,,,,,
52,Huskies,1626.903033,1726.4622829999998,4.0,10.0,2.0,8.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,True,True,True,,,,,,True,,,,,
53,Huskies,1726.4622829999998,1736.013607,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,,,,,,,,,,,,,,
54,Opponent14,1736.013607,1741.5293800000002,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,True,,,,
55,Huskies,1741.5293800000002,1770.9123530000002,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,True,,True,,,,,,,,,,,,
56,Opponent14,1770.9123530000002,1790.900276,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,True,True,,,
57,Huskies,1790.900276,1827.1846309999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,True,,True,,,,True,,,,,
58,Huskies,1827.1846309999999,1853.835402,3.0,11.0,1.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,True,True,,,,,True,,,,,,,,,
59,Opponent14,1853.835402,1888.3443989999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,True,
60,Huskies,1888.3443989999998,1897.1012039999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
61,Opponent14,1897.1012039999998,1904.2354940000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,True,,
62,Huskies,1904.2354940000002,1910.114402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,
63,Huskies,1910.114402,1928.1996149999998,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,True,,,,,,,,,,,,,,,
64,Huskies,1928.1996149999998,1952.540533,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,True,,,,,,,,,,,,
65,Opponent14,1952.540533,2018.71271,1.0,3.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,True,,True,True,True,,
66,Huskies,2018.71271,2043.1453559999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,
67,Huskies,2043.1453559999998,2075.4335690000003,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,True,,,,,True,,,,,,,,,
68,Huskies,2075.4335690000003,2151.6145079999997,4.0,15.0,1.0,7.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,True,True,,,True,True,,,True,,True,,,,True,,,,,
69,Huskies,2151.6145079999997,2177.516933,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,True,,,,,True,,,,,,,,,
70,Huskies,2177.516933,2223.101927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,
71,Opponent14,2223.101927,2236.0104699999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,True,True,,,
72,Huskies,2236.0104699999997,2254.213455,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,True,,,True,,,,,,,,,,,
73,Opponent14,2254.213455,2277.704157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True
74,Huskies,2277.704157,2361.224102,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,True,True,,,,,True,,,,True,,,,,
75,Opponent14,2361.224102,2391.811885,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,True,,,,,,
76,Opponent14,2391.811885,2408.626793,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,True,,
77,Huskies,2408.626793,2445.957777,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,,,,,,,
78,Huskies,2445.957777,2454.279866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,True,,,,,
79,Huskies,2454.279866,2461.7132890000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,True,,,,,,,,,
80,Opponent14,2461.7132890000003,2478.502221,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,True,True,,
81,Opponent14,2478.502221,2489.4283739999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
82,Huskies,2489.4283739999996,2496.122017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,
83,Huskies,2496.122017,2506.5123829999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,True,,,,,,True,,,,,
84,Opponent14,2506.5123829999998,2529.9207579999998,5.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,True,True,,True,True,,,
85,Opponent14,2529.9207579999998,2533.2086489999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,
86,Huskies,2533.2086489999997,2542.430678,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,True,,,,,,,,,,,,,
87,Opponent14,2542.430678,2582.058909,4.0,13.0,1.0,7.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,True,True,,True,True,True,,
88,Huskies,2582.058909,2608.04383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,,,,,
89,Huskies,2608.04383,2644.168407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,True,,,,,,,,,,,
90,Opponent14,2644.168407,2763.62092,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,True,True,True,,
91,Opponent14,2763.62092,2820.5904149999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
92,Huskies,2820.5904149999997,2823.6901550000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,
93,Opponent14,2823.6901550000002,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True
