,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent7_M1,Opponent7_D3,Opponent7_F1,Huskies_D4,Huskies_D2,Huskies_M1,Huskies_M3,Huskies_F4,Huskies_D5,Huskies_M9,Huskies_M6,Opponent7_D2,Huskies_D1,Opponent7_G1,Opponent7_D4,Opponent7_M4,Huskies_F1,Huskies_G1,Opponent7_M2,Opponent7_D1,Opponent7_M5,Opponent7_M3,Huskies_F2,Huskies_M4,Huskies_F3
12,Huskies,264.528049,354.28886999999986,53.0,29.0,-24.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,True,,True,,,,,,True,,,,,,,,
13,Huskies,354.28886999999986,360.98094799999984,22.0,65.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,,,
14,Opponent7,360.98094799999984,362.36638799999986,33.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,,,,
15,Huskies,362.36638799999986,378.59770100000014,58.0,29.0,-29.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,True,,True,,,,True,,,,,,,,,,,,
16,Opponent7,378.59770100000014,388.66536300000007,32.0,29.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,True,,,,
17,Huskies,388.66536300000007,460.657862,19.0,29.0,10.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,True,,,,,True,,,,,,,
18,Opponent7,460.657862,501.89429100000007,62.0,29.0,-33.0,2.0,0.0,6.0,9.0,4.0,10.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,True,,,True,True,,,,True,,True,,,
19,Huskies,501.89429100000007,583.290837,36.0,29.0,-7.0,7.0,0.0,1.0,6.0,1.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,True,,,,True,,,,True,,,,,,,,
20,Huskies,583.290837,590.776304,19.0,29.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,True,,,,,,,
21,Huskies,590.776304,657.0178510000002,39.0,65.0,26.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,,,,
22,Huskies,657.0178510000002,677.2110109999999,28.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,
23,Huskies,677.2110109999999,702.183129,92.0,29.0,-63.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,
24,Opponent7,702.183129,708.672681,11.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,
25,Huskies,708.672681,766.5987660000002,43.0,29.0,-14.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,True,,,,,True,,,,,,,,,,,,
26,Huskies,766.5987660000002,768.2457530000001,38.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,,
27,Huskies,768.2457530000001,934.3004729999997,75.0,64.0,-11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,
28,Huskies,934.3004729999997,985.080836,52.0,29.0,-23.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,True,,,,,,,,,,,,
29,Huskies,985.080836,1007.757482,38.0,29.0,-9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,True,,,,,True,,,,,,,
30,Opponent7,1007.757482,1013.2327650000003,14.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,
31,Huskies,1013.2327650000003,1032.7437630000002,68.0,29.0,-39.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,True,,True,,True,,,,,,,,,,,,
32,Opponent7,1032.7437630000002,1038.6752379999998,18.0,29.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,
33,Huskies,1038.6752379999998,1087.5450340000002,75.0,29.0,-46.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,True,,,,,,,,,True,,,,,,,,
34,Huskies,1087.5450340000002,1102.454658,29.0,15.0,-14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,,,
35,Huskies,1102.454658,1128.4310759999996,31.0,29.0,-2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,True,,True,,True,,,,True,,,,,,,,
36,Opponent7,1128.4310759999996,1176.3270120000002,17.0,28.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,
37,Huskies,1176.3270120000002,1195.154708,7.0,29.0,22.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,True,,,,,,,,,,True,,,,,,,
38,Opponent7,1195.154708,1200.6865360000004,10.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,
39,Huskies,1200.6865360000004,1243.0684440000005,62.0,29.0,-33.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,,,True,True,,,,,,,
40,Opponent7,1243.0684440000005,1260.384406,69.0,75.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,,,,
41,Opponent7,1260.384406,1272.1033390000002,18.0,29.0,11.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,True,,,,,,,,,
42,Opponent7,1272.1033390000002,1327.7683359999999,71.0,29.0,-42.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,True,,,,
43,Huskies,1327.7683359999999,1333.5400369999998,50.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,,,,
44,Huskies,1333.5400369999998,1351.4259780000002,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,
45,Opponent7,1351.4259780000002,1361.1641069999996,62.0,29.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,,,,,,,,,,
46,Huskies,1361.1641069999996,1474.9601970000006,13.0,29.0,16.0,10.0,1.0,1.0,7.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,True,True,,,True,,,,,,,,,,True,,
47,Opponent7,1474.9601970000006,1610.5617599999994,35.0,29.0,-6.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,True,,,True,,,True,,,
48,Opponent7,1610.5617599999994,1623.642992,70.0,29.0,-41.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,True,True,True,,,,
49,Huskies,1623.642992,1636.4230349999998,27.0,29.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,True,
50,Huskies,1636.4230349999998,1695.912878,42.0,74.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,True,,
51,Huskies,1695.912878,1699.9311790000004,62.0,77.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,,
52,Opponent7,1699.9311790000004,1704.9885739999997,14.0,35.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,,
53,Huskies,1704.9885739999997,1741.7036280000002,79.0,89.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,
54,Huskies,1741.7036280000002,1755.2966070000002,59.0,29.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,True,,
55,Opponent7,1755.2966070000002,1761.5244489999993,7.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,
56,Huskies,1761.5244489999993,1782.1369089999996,44.0,29.0,-15.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,True,,,,,,,True,
57,Opponent7,1782.1369089999996,1808.3340550000007,55.0,54.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,,,,
58,Huskies,1808.3340550000007,1856.8754710000005,28.0,29.0,1.0,2.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,True,,,,True,,,,,,,,,,True,,
59,Huskies,1856.8754710000005,1875.066827,76.0,29.0,-47.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,,,,True,,,,,,,True,
60,Opponent7,1875.066827,1886.007136,11.0,29.0,18.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,True,,,,,,,,True,,,,,
61,Huskies,1886.007136,1902.746559,40.0,29.0,-11.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,True,,,,,,,,,,,,True,,
62,Huskies,1902.746559,1935.239949,73.0,29.0,-44.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,,,True,,,,,,,,,,,,True,True,
63,Huskies,1935.239949,1948.8063190000007,56.0,78.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,,,
64,Huskies,1948.8063190000007,1965.785964,42.0,63.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,
65,Huskies,1965.785964,1976.0735550000002,48.0,60.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,True,,
66,Huskies,1976.0735550000002,2019.668501,64.0,29.0,-35.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,True,True,
67,Huskies,2019.668501,2063.801815,96.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,
68,Huskies,2063.801815,2074.243186,62.0,71.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,,,,
69,Opponent7,2074.243186,2095.5322210000004,35.0,29.0,-6.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,True,,,,True,,,True,,,,,,
70,Huskies,2095.5322210000004,2117.613026,26.0,29.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,True,,,,,True,,,,,,True,
71,Opponent7,2117.613026,2124.025922,21.0,41.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,,,,
72,Huskies,2124.025922,2194.397285,24.0,29.0,5.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,,True,,,,,True,,
73,Huskies,2194.397285,2256.521545,48.0,29.0,-19.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,True,,True
74,Huskies,2256.521545,2263.996337,42.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,
75,Opponent7,2263.996337,2308.387191,25.0,29.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,True,,,
76,Huskies,2308.387191,2327.456572,42.0,29.0,-13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True
77,Huskies,2327.456572,2332.661795,90.0,75.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True
78,Huskies,2332.661795,2370.282569,87.0,95.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,
79,Huskies,2370.282569,2391.471522,67.0,29.0,-38.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,,,True,
80,Huskies,2391.471522,2461.0328090000007,82.0,29.0,-53.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,True,,,,,,,,,True,,,,,True,True,
81,Huskies,2461.0328090000007,2576.475472,67.0,29.0,-38.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,True,,,,,,,,
82,Opponent7,2576.475472,2584.1157590000007,66.0,44.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,
83,Opponent7,2584.1157590000007,2632.420431,75.0,29.0,-46.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,True,True,,,
84,Huskies,2632.420431,2641.322776,69.0,29.0,-40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,True,,
85,Huskies,2641.322776,2751.174438,64.0,29.0,-35.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,True
86,Huskies,2751.174438,2800.7744700000007,65.0,29.0,-36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,
87,Huskies,2800.7744700000007,2818.004669,36.0,34.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,,
88,Huskies,2818.004669,2854.634969,50.0,29.0,-21.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,True,,,,,,,,True
89,Huskies,2854.634969,2901.10437,68.0,29.0,-39.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,,True
90,Huskies,2901.10437,2955.547783,34.0,29.0,-5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,,,,,,,,,,,,
91,Huskies,2955.547783,3900.0,74.0,80.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,,True
