,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent8_D3,Opponent8_M3,Huskies_G1,Huskies_D3,Huskies_D1,Opponent8_M1,Opponent8_D2,Huskies_M1,Huskies_D6,Huskies_D4,Huskies_F2,Huskies_M9,Huskies_M3,Huskies_M6,Opponent8_F1,Opponent8_M5,Opponent8_M4,Opponent8_G1,Opponent8_D1,Opponent8_M2,Opponent8_D4,Huskies_F1,Huskies_F4,Opponent8_F2,Opponent8_D5,Huskies_M5,Opponent8_F3,Huskies_M4
16,Opponent8,296.5107309999998,308.2666880000002,81.0,82.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,
17,Huskies,308.2666880000002,311.684796,38.0,27.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
18,Opponent8,311.684796,327.8797490000002,40.0,30.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,
19,Huskies,327.8797490000002,372.3399220000002,25.0,30.0,5.0,6.0,0.0,3.0,8.0,1.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,True,True,True,,True,,,,,,,,,True,,,,,,
20,Huskies,372.3399220000002,378.83927399999993,73.0,30.0,-43.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,,,,,,,
21,Opponent8,378.83927399999993,384.908719,34.0,44.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,
22,Huskies,384.908719,390.45863000000014,62.0,30.0,-32.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,
23,Opponent8,390.45863000000014,410.67404100000016,41.0,30.0,-11.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,,True,True,,,True,,,,,,,,,
24,Huskies,410.67404100000016,430.39697199999995,45.0,64.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
25,Huskies,430.39697199999995,457.77336699999984,57.0,68.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,
26,Huskies,457.77336699999984,492.0467629999998,55.0,30.0,-25.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
27,Huskies,492.0467629999998,524.8641259999998,87.0,81.0,-6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
28,Opponent8,524.8641259999998,552.9356560000001,11.0,30.0,19.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,
29,Opponent8,552.9356560000001,576.0002770000001,23.0,30.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,True,,,,,,,,,,
30,Huskies,576.0002770000001,584.7068330000002,26.0,30.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,
31,Huskies,584.7068330000002,815.4758870000002,44.0,30.0,-14.0,11.0,1.0,5.0,13.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,True,True,,True,True,,,,,,,,,True,,,,,,
32,Opponent8,815.4758870000002,830.489986,39.0,30.0,-9.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,True,,,True,True,,,,,,,
33,Huskies,830.489986,904.6071210000001,13.0,30.0,17.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,True,True,,True,,,,,,,,,,,,,,,
34,Opponent8,904.6071210000001,911.642371,53.0,30.0,-23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,True,,,,,,,,
35,Huskies,911.642371,945.6568570000001,50.0,30.0,-20.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,True,,,,,,
36,Opponent8,945.6568570000001,990.3832819999997,20.0,30.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,
37,Opponent8,990.3832819999997,994.79254,81.0,84.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,
38,Huskies,994.79254,999.423273,27.0,30.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,
39,Opponent8,999.423273,1019.527907,47.0,30.0,-17.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,True,True,,,,,,,,,
40,Opponent8,1019.527907,1128.3654699999995,28.0,30.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,True,,,,,,,
41,Huskies,1128.3654699999995,1137.1054480000005,59.0,30.0,-29.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,True,,,,,,
42,Opponent8,1137.1054480000005,1217.1449540000006,32.0,30.0,-2.0,6.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,True,True,,,,,,,
43,Huskies,1217.1449540000006,1222.3049959999996,24.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
44,Opponent8,1222.3049959999996,1510.5249030000007,57.0,30.0,-27.0,25.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,True,,,,,,,
45,Huskies,1510.5249030000007,1515.9657109999996,79.0,30.0,-49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,
46,Opponent8,1515.9657109999996,1528.9215290000004,29.0,30.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,True,,,,True,,,,,,,,
47,Huskies,1528.9215290000004,1688.939467,30.0,76.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,
48,Opponent8,1688.939467,1735.4499610000007,9.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,
49,Opponent8,1735.4499610000007,1753.8792910000002,92.0,91.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,
50,Opponent8,1753.8792910000002,1813.430837,96.0,30.0,-66.0,8.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,True,,,,,True,,,True,,,,
51,Opponent8,1813.430837,1852.836757,78.0,30.0,-48.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,,,True,,,,
52,Opponent8,1852.836757,1888.682217,72.0,30.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,
53,Huskies,1888.682217,1902.732647,24.0,30.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,,True,,,,,,,,,,,,,,,,,
54,Opponent8,1902.732647,1918.2139760000002,45.0,30.0,-15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,True,,,,,,,,
55,Huskies,1918.2139760000002,1933.150809,11.0,30.0,19.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,True,,True,,True,,,,,,,,,,,,,,,
56,Opponent8,1933.150809,1978.3823700000007,60.0,62.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,
57,Huskies,1978.3823700000007,2001.031169,68.0,30.0,-38.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,True,,True,True,,,,,,,,True,,,,,,
58,Opponent8,2001.031169,2007.6493840000005,29.0,25.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,
59,Huskies,2007.6493840000005,2020.81813,33.0,30.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,
60,Opponent8,2020.81813,2022.076312,9.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,
61,Opponent8,2022.076312,2027.186896,10.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
62,Huskies,2027.186896,2083.8931620000008,60.0,30.0,-30.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,True,,,,,,,,,,,,True,,,,,
63,Huskies,2083.8931620000008,2136.693053,51.0,88.0,37.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,
64,Huskies,2136.693053,2144.180538,26.0,30.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,
65,Opponent8,2144.180538,2174.895375,67.0,30.0,-37.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,True,,,,
66,Opponent8,2174.895375,2189.7175030000003,73.0,87.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,
67,Opponent8,2189.7175030000003,2283.195734,81.0,30.0,-51.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,True,,,,True,,,,
68,Huskies,2283.195734,2292.3930219999997,42.0,34.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,
69,Opponent8,2292.3930219999997,2301.789878,9.0,30.0,21.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,True,,,
70,Huskies,2301.789878,2375.1689610000008,28.0,8.0,-20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,
71,Huskies,2375.1689610000008,2386.853502,25.0,30.0,5.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,,,,,,,,,,,,,True,,
72,Opponent8,2386.853502,2413.8834739999998,47.0,30.0,-17.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,True,,,,,True,,,True,
73,Huskies,2413.8834739999998,2478.4899149999997,13.0,36.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,
74,Opponent8,2478.4899149999997,2529.4802520000007,75.0,30.0,-45.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,
75,Huskies,2529.4802520000007,2696.6434329999997,36.0,27.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,
76,Huskies,2696.6434329999997,2786.393549000001,7.0,26.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True
77,Opponent8,2786.393549000001,2802.992206,67.0,89.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,
78,Opponent8,2802.992206,2826.348997,58.0,30.0,-28.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,,,True,,,True,
79,Huskies,2826.348997,2883.706722,36.0,30.0,-6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,True,,,,,,
80,Huskies,2883.706722,2905.040575,27.0,38.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,
81,Huskies,2905.040575,2921.1204350000003,74.0,85.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True
82,Opponent8,2921.1204350000003,3900.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,
