,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent17_F3,Opponent17_M1,Opponent17_D5,Opponent17_F4,Opponent17_M3,Huskies_D1,Huskies_M12,Huskies_D4,Huskies_F2,Huskies_M1,Huskies_M3,Huskies_F6,Huskies_D3,Huskies_D8,Huskies_F5,Opponent17_M7,Huskies_G1,Opponent17_D2,Opponent17_D1,Opponent17_D3,Opponent17_M2,Opponent17_G2
20,Huskies,493.55138700000003,502.742995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
21,Opponent17,502.742995,539.283781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,
22,Huskies,539.283781,542.720216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
23,Opponent17,542.720216,553.96376,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,True,True,,True
24,Opponent17,553.96376,557.9125700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,
25,Huskies,557.9125700000001,607.304768,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,True,True,,,,,,,,
26,Opponent17,607.304768,638.121133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,
27,Opponent17,638.121133,659.93868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,
28,Opponent17,659.93868,697.835242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
29,Huskies,697.835242,718.832866,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,True,,,True,,,,,
30,Opponent17,718.832866,729.852065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,
31,Huskies,729.852065,750.570459,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,True,True,,,True,,,,,
32,Opponent17,750.570459,809.7100019999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,True,,
33,Opponent17,809.7100019999999,823.590843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
34,Huskies,823.590843,862.2999580000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,True,True,,,,,,,,,,,
35,Opponent17,862.2999580000001,870.398427,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,,,,,,
36,Huskies,870.398427,891.105439,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,True,True,True,,,,,,,,,,
37,Opponent17,891.105439,908.120962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
38,Opponent17,908.120962,923.5466029999999,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,True,True,True,True
39,Huskies,923.5466029999999,967.377691,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,True,True,,,,,,,,,,
40,Huskies,967.377691,974.9808859999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
41,Huskies,974.9808859999999,1054.0369050000002,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,True,,,True,,,,True,,,,,,,
42,Huskies,1054.0369050000002,1084.047768,2.0,9.0,2.0,10.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,True,True,True,,,,,,,,
43,Opponent17,1084.047768,1103.2602960000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,True,,,,,,
44,Huskies,1103.2602960000002,1109.636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
45,Opponent17,1109.636362,1117.505816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,
46,Huskies,1117.505816,1125.745875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,True,,,,,,,,
47,Opponent17,1125.745875,1132.578048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,,
48,Huskies,1132.578048,1192.179076,1.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,True,,,True,True,,,,,,,,
49,Opponent17,1192.179076,1199.992329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,
50,Huskies,1199.992329,1208.8117220000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
51,Opponent17,1208.8117220000001,1214.696302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
52,Huskies,1214.696302,1232.311913,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,,True,,,,,,,,
53,Opponent17,1232.311913,1240.830326,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,True,
54,Huskies,1240.830326,1255.31816,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,,,,,,,,,,,
55,Huskies,1255.31816,1265.0849859999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,True,,,,,,,,,
56,Opponent17,1265.0849859999998,1313.597965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
57,Huskies,1313.597965,1348.0325380000002,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,True,,,,,,,
58,Huskies,1348.0325380000002,1382.477282,2.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,True,True,,True,True,,,,,,,
59,Huskies,1382.477282,1385.4072130000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
60,Opponent17,1385.4072130000002,1418.927971,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,True,,,,,,
61,Huskies,1418.927971,1458.0657640000002,6.0,14.0,5.0,9.0,1.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,,,,,,True,True,True,,True,True,,True,,True,,,,,,,
62,Opponent17,1458.0657640000002,1485.300506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
63,Huskies,1485.300506,1502.796542,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,True,,,,,,,,,
64,Opponent17,1502.796542,1525.211443,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,True,,True
65,Huskies,1525.211443,1566.1368699999998,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,True,,True,True,,,True,,,,,
66,Opponent17,1566.1368699999998,1571.418002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,
67,Huskies,1571.418002,1589.1785849999999,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,True,,True,,,,,,,,,
68,Huskies,1589.1785849999999,1614.109931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,True,,,,,,,
69,Huskies,1614.109931,1625.9445039999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,True,,,,,,,,,
70,Opponent17,1625.9445039999998,1639.902486,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,,True,,,
71,Huskies,1639.902486,1662.5897029999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,True,True,,True,,,,,
72,Huskies,1662.5897029999999,1702.838453,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,True,,,,,,,,,
73,Opponent17,1702.838453,1735.7476420000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,,,,
74,Opponent17,1735.7476420000003,1759.0487670000002,2.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,True,,,True,True,True,
75,Huskies,1759.0487670000002,1786.142241,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,True,True,,,,,True,,,,,
76,Opponent17,1786.142241,1818.488345,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,True
77,Opponent17,1818.488345,1850.479227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
78,Opponent17,1850.479227,1854.203837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
79,Huskies,1854.203837,1896.3890350000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,,,,,,,,,
80,Huskies,1896.3890350000001,1951.8591940000001,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,True,True,,,True,,,,,
81,Huskies,1951.8591940000001,2038.174211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,
82,Huskies,2038.174211,2092.25125,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,True,,,,,,,,,,,,
83,Opponent17,2092.25125,2094.7237210000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
84,Huskies,2094.7237210000003,2108.15317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,
85,Opponent17,2108.15317,2172.6863940000003,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,True,,,,,,
86,Huskies,2172.6863940000003,2180.984205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
87,Huskies,2180.984205,2226.3534050000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,True,,,,,,,,
88,Huskies,2226.3534050000003,2274.184166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,True,,,,,
89,Opponent17,2274.184166,2295.5334239999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
90,Opponent17,2295.5334239999997,2309.896338,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,True,,,,,True,
91,Huskies,2309.896338,2315.895603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,
92,Huskies,2315.895603,2322.795144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,
93,Opponent17,2322.795144,2327.295411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,
94,Huskies,2327.295411,2341.048225,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
95,Huskies,2341.048225,2380.473348,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,,,,,,,,,
96,Huskies,2380.473348,2445.460114,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,True,,,,,,,,,
97,Huskies,2445.460114,2490.7062579999997,5.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,True,True,,True,True,True,True,True,True,True,,,,,,,
98,Opponent17,2490.7062579999997,2499.4052030000003,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,True,,,,,,
99,Huskies,2499.4052030000003,2506.897593,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,True,,,,,,,,,
100,Opponent17,2506.897593,2513.320493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
101,Huskies,2513.320493,2526.545778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,
102,Huskies,2526.545778,2536.5288370000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
103,Huskies,2536.5288370000003,2565.006498,3.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,True,,True,,,,,,,,,
104,Opponent17,2565.006498,2615.044327,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,True,,True,
105,Opponent17,2615.044327,2668.634926,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,True,
106,Opponent17,2668.634926,2672.866984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
107,Huskies,2672.866984,2698.03811,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,True,,True,,,,,
108,Huskies,2698.03811,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,
