,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent5_M4,Opponent5_D6,Opponent5_M5,Opponent5_D1,Opponent5_D7,Opponent5_M6,Opponent5_D5,Huskies_M3,Huskies_D5,Huskies_M12,Opponent5_M7,Opponent5_M1,Opponent5_F3,Huskies_D1,Huskies_G1,Opponent5_G1,Huskies_M9,Huskies_F2,Huskies_D6,Huskies_M4,Huskies_F4,Huskies_D2
13,Huskies,315.98447400000003,324.8208590000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,True,
14,Opponent5,324.8208590000001,369.69148800000005,2.0,3.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,True,True,,,,,,,,,
15,Huskies,369.69148800000005,402.430115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,True,,
16,Opponent5,402.430115,404.800156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
17,Huskies,404.800156,409.812601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
18,Opponent5,409.812601,476.86325300000004,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,True,,,,,True,,,,,,,,,,,
19,Huskies,476.86325300000004,533.677427,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,True,,,
20,Huskies,533.677427,543.698629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,True,,,,,,,
21,Huskies,543.698629,555.791626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
22,Opponent5,555.791626,575.109083,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,True,True,,,,,,,,,,
23,Huskies,575.109083,590.4651200000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,True,,,
24,Huskies,590.4651200000001,625.4551280000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,True,
25,Opponent5,625.4551280000001,677.985937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
26,Huskies,677.985937,730.982516,8.0,15.0,6.0,16.0,2.0,2.0,7.0,6.0,7.0,2.0,2.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,True,True,True,True,,
27,Opponent5,730.982516,750.0011360000002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,True,,,,,,
28,Opponent5,750.0011360000002,809.6316179999999,11.0,23.0,6.0,21.0,3.0,0.0,8.0,4.0,10.0,2.0,0.0,0.0,0.0,,True,True,True,True,True,True,,,,True,True,True,,,,,,,,,
29,Opponent5,809.6316179999999,946.218526,13.0,28.0,8.0,23.0,2.0,1.0,10.0,3.0,6.0,2.0,1.0,1.0,0.0,True,True,True,True,True,True,True,,,,,True,True,,,True,,,,,,
30,Opponent5,946.218526,981.964715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,
31,Huskies,981.964715,1008.931509,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,True,,,,True,,,True
32,Opponent5,1008.931509,1010.475194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
33,Huskies,1010.475194,1094.630042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,True,,
34,Opponent5,1094.630042,1100.581383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
35,Huskies,1100.581383,1126.339193,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,True,,,True
36,Huskies,1126.339193,1127.419455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,
37,Huskies,1127.419455,1171.5198599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,True,
38,Opponent5,1171.5198599999999,1242.00246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
39,Opponent5,1242.00246,1255.2587039999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,,,,,,,,
40,Opponent5,1255.2587039999999,1294.687776,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,,,,,,True,True,,,,,,,,,
41,Huskies,1294.687776,1327.85615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True
42,Opponent5,1327.85615,1351.697639,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,,,,,True,,,,,,,,,,
43,Huskies,1351.697639,1364.512319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True
44,Opponent5,1364.512319,1386.03699,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,True,True,,,,,,,,,
45,Opponent5,1386.03699,1398.0625300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,
46,Huskies,1398.0625300000002,1456.9800460000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,True,,,,
47,Huskies,1456.9800460000001,1470.658298,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,True,,True,True,
48,Opponent5,1470.658298,1493.363055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,True,,,,,,,,,,,
49,Opponent5,1493.363055,1609.559614,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,True,,,,,,,,,,
50,Huskies,1609.559614,1616.1053650000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
51,Opponent5,1616.1053650000001,1629.79114,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,True,,,,True,True,,,,,,,,,,
52,Huskies,1629.79114,1648.470961,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,True,,,True,
53,Opponent5,1648.470961,1691.454759,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,True,True,,,,True,True,True,,,,,,,,,
54,Opponent5,1691.454759,1735.734481,8.0,15.0,5.0,9.0,3.0,3.0,7.0,1.0,4.0,1.0,3.0,1.0,0.0,True,,True,True,True,True,True,,,,True,True,,,,,,,,,,
55,Opponent5,1735.734481,1742.6377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
56,Huskies,1742.6377,1791.291102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,True,,
57,Huskies,1791.291102,1806.218687,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,True,,,True
58,Opponent5,1806.218687,1852.184762,7.0,17.0,4.0,15.0,0.0,0.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,,True,True,True,,True,True,,,,True,True,True,,,,,,,,,
59,Opponent5,1852.184762,1872.086889,1.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,True,True,,True,,,,,True,True,,,,,,,,,,
60,Huskies,1872.086889,1909.337778,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,True,,,True,,,,True
61,Huskies,1909.337778,1924.813848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
62,Huskies,1924.813848,1951.2956390000002,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,True,True,,True,True,
63,Huskies,1951.2956390000002,1962.852516,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,True
64,Huskies,1962.852516,1974.887298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
65,Opponent5,1974.887298,2004.7836300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
66,Opponent5,2004.7836300000001,2021.359655,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,True,,,,,,True,,,,,,,,,,
67,Huskies,2021.359655,2061.038941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
68,Huskies,2061.038941,2062.670185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,
69,Huskies,2062.670185,2094.1416280000003,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,True,True,True,,True,
70,Opponent5,2094.1416280000003,2100.696797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,True,,,,,,
71,Huskies,2100.696797,2126.83724,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,True,,
72,Opponent5,2126.83724,2130.031932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,,,,,,
73,Huskies,2130.031932,2145.515057,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,True,True,,
74,Huskies,2145.515057,2157.667504,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,True,,,
75,Opponent5,2157.667504,2159.097404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
76,Huskies,2159.097404,2169.7839879999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,True,,,
77,Opponent5,2169.7839879999997,2204.4947079999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,True,,,,,,,,,
78,Opponent5,2204.4947079999997,2223.439889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,True,,,,,,,,,
79,Opponent5,2223.439889,2253.677965,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,,,True,,,,,,,,,,,
80,Opponent5,2253.677965,2270.96776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
81,Huskies,2270.96776,2277.0048260000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,
82,Huskies,2277.0048260000003,2304.462048,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,True,True,True,,
83,Opponent5,2304.462048,2365.530044,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,True,,True,,,,,,,,,
84,Huskies,2365.530044,2388.363479,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,True,True,True,,
85,Opponent5,2388.363479,2438.452143,4.0,7.0,5.0,11.0,0.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0,True,,True,,True,True,True,,,,,True,,,,True,,,,,,
86,Opponent5,2438.452143,2493.292187,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,True,,,,,True,,,,,,
87,Opponent5,2493.292187,2498.5787170000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,
88,Huskies,2498.5787170000003,2590.542,2.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,True,,True,True,True,,True,True
89,Opponent5,2590.542,2665.805265,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,True,,,,,,
90,Opponent5,2665.805265,2673.980189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,,,,,,,,,
91,Opponent5,2673.980189,2693.809504,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,True,,,,,,,,,,,
92,Huskies,2693.809504,2702.57186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,True,
93,Opponent5,2702.57186,2734.565084,1.0,5.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,,True,True,True,,,,True,True,True,,,,,,,,,
94,Huskies,2734.565084,3900.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,True,,,True,
