,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F2,Opponent4_M1,Opponent4_M2,Opponent4_D5,Opponent4_D1,Opponent4_D4,Huskies_D4,Huskies_M4,Huskies_M3,Opponent4_F1,Huskies_M1,Huskies_D5,Opponent4_M3,Opponent4_M4,Huskies_M6,Opponent4_D3,Opponent4_D2,Opponent4_G1,Huskies_D2,Huskies_F1,Huskies_G1,Opponent4_M6,Huskies_M9,Opponent4_F2,Opponent4_M5
10,Opponent4,233.648557,274.31346399999984,46.0,30.0,-16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,True,,,,,,,,,,,
11,Huskies,274.31346399999984,289.5215210000001,13.0,11.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,
12,Opponent4,289.5215210000001,304.9139310000001,80.0,30.0,-50.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,True,,,,,,,,,,,
13,Huskies,304.9139310000001,352.8714159999999,12.0,30.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,,,,,
14,Huskies,352.8714159999999,359.14642700000013,63.0,72.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,,,,
15,Huskies,359.14642700000013,362.59788199999997,67.0,73.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,,,
16,Opponent4,362.59788199999997,378.63143499999984,32.0,30.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,True,,True,,,,,,,,,
17,Huskies,378.63143499999984,403.09114600000015,27.0,14.0,-13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,,,,,
18,Opponent4,403.09114600000015,416.83521100000013,43.0,30.0,-13.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,True,,,,,,,,
19,Opponent4,416.83521100000013,452.16671200000013,34.0,30.0,-4.0,2.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,,,True,True,,,,,,,,,,,
20,Opponent4,452.16671200000013,474.10467699999987,84.0,30.0,-54.0,2.0,0.0,4.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,True,,,,True,,,True,,,True,,,,,,,,,
21,Opponent4,474.10467699999987,510.207633,69.0,30.0,-39.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,True,True,,,,,,,,,,,
22,Huskies,510.207633,543.6527190000002,33.0,30.0,-3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,True,,True,True,,,True,,,,,,,,,,
23,Opponent4,543.6527190000002,559.5088609999998,6.0,30.0,24.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,True,True,,,,,,,
24,Opponent4,559.5088609999998,569.8428520000002,34.0,54.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,,,,,
25,Huskies,569.8428520000002,577.8426669999999,36.0,30.0,-6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,True,,,,,,,,,,
26,Opponent4,577.8426669999999,641.2308779999997,50.0,30.0,-20.0,9.0,0.0,2.0,5.0,4.0,6.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,,,,,True,True,,,,,,,,
27,Huskies,641.2308779999997,651.4555310000002,68.0,30.0,-38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,True,,,,,,,,,,,,,
28,Opponent4,651.4555310000002,657.0577229999999,25.0,30.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,True,,,,,,,,
29,Opponent4,657.0577229999999,751.7230180000001,46.0,37.0,-9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,,,,,
30,Opponent4,751.7230180000001,774.6819909999998,46.0,30.0,-16.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,,,,,,,,,,True,,,,,,,,,
31,Opponent4,774.6819909999998,781.1930769999999,59.0,64.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,
32,Opponent4,781.1930769999999,805.4072919999999,73.0,30.0,-43.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,True,,,,,,,,,,,,,,,
33,Opponent4,805.4072919999999,816.0212999999999,58.0,30.0,-28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,,,,,,,,,,
34,Huskies,816.0212999999999,837.4992659999997,25.0,30.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,,,True,,,,,,
35,Opponent4,837.4992659999997,873.9892629999998,5.0,30.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,,,,,
36,Opponent4,873.9892629999998,885.3874019999997,40.0,30.0,-10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,
37,Huskies,885.3874019999997,899.255784,12.0,30.0,18.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,,,,,,,,True,True,,,,
38,Opponent4,899.255784,930.0320929999997,43.0,30.0,-13.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,True,,,,,,,,,,,,
39,Huskies,930.0320929999997,961.1954380000003,14.0,27.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,
40,Opponent4,961.1954380000003,993.9308970000003,54.0,30.0,-24.0,2.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,True,,,,True,,,True,,,,True,,,,,,,,
41,Opponent4,993.9308970000003,1038.482656,75.0,30.0,-45.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,True,True,,True,True,True,,,,,,,
42,Opponent4,1038.482656,1067.674938,58.0,30.0,-28.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,,,,True,,,,,,,
43,Huskies,1067.674938,1140.5243380000004,44.0,30.0,-14.0,4.0,0.0,15.0,23.0,6.0,17.0,0.0,3.0,5.0,3.0,9.0,2.0,1.0,1.0,0.0,True,True,,,,,,True,True,True,,True,True,,,,,,,True,True,,,,,
44,Opponent4,1140.5243380000004,1192.19767,9.0,30.0,21.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,,True,True,,,,,,,,,True,,,,True,,,,,,,
45,Opponent4,1192.19767,1207.3864119999996,70.0,30.0,-40.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,True,,,True,,,,,,,True,,,True,,,,,,,,,
46,Huskies,1207.3864119999996,1237.330726,30.0,30.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,True,,,,,,,,,,,,,
47,Opponent4,1237.330726,1286.246814,27.0,30.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,True,True,,,,,,,
48,Huskies,1286.246814,1318.931168,56.0,30.0,-26.0,2.0,0.0,3.0,9.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,True,,True,True,,,,,,,True,,,,,,
49,Opponent4,1318.931168,1375.5640750000002,14.0,30.0,16.0,17.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,True,,,,,,,
50,Opponent4,1375.5640750000002,1415.448625,75.0,30.0,-45.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,True,,,,,,,,,,,,,,,
51,Opponent4,1415.448625,1426.41662,31.0,30.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,True,,,True,,,,,,,,,
52,Huskies,1426.41662,1434.5796449999998,21.0,7.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,,,
53,Opponent4,1434.5796449999998,1466.9463809999993,47.0,99.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,,,,
54,Huskies,1466.9463809999993,1473.5802219999994,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True,,,,
55,Opponent4,1473.5802219999994,1533.7694659999993,30.0,30.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,True,True,True,,,,,,,
56,Opponent4,1533.7694659999993,1539.5043990000006,74.0,72.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,
57,Opponent4,1539.5043990000006,1548.7933979999998,73.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,,,,,
58,Huskies,1548.7933979999998,1558.2446680000005,14.0,30.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,,,,True,,,,
59,Opponent4,1558.2446680000005,1581.310611,27.0,30.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,,True,True,,,,,,,
60,Huskies,1581.310611,1635.6058300000007,65.0,30.0,-35.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,,True,,,True,,,,,,,,,,
61,Huskies,1635.6058300000007,1746.3068560000004,76.0,90.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,
62,Huskies,1746.3068560000004,1790.7099360000002,60.0,30.0,-30.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,True,True,,,True,,,,True,,,,,,
63,Opponent4,1790.7099360000002,1798.165648,21.0,30.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,True,,,,,,,,
64,Huskies,1798.165648,1959.0578400000006,20.0,30.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,True,,,,
65,Huskies,1959.0578400000006,1960.184567,67.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,,,,
66,Opponent4,1960.184567,1973.722525,21.0,16.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,,,,
67,Huskies,1973.722525,1983.747425,55.0,30.0,-25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,,,True,,,,,,,,,,
68,Opponent4,1983.747425,1986.360127,13.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,,,,,
69,Huskies,1986.360127,2035.04471,65.0,30.0,-35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,True,,True,True,,,,,,,,,,,,,
70,Opponent4,2035.04471,2092.7299940000007,7.0,14.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,
71,Huskies,2092.7299940000007,2117.6617050000004,35.0,30.0,-5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,True,,True,,,,
72,Huskies,2117.6617050000004,2126.3821789999997,69.0,30.0,-39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,True,,
73,Opponent4,2126.3821789999997,2155.467462,23.0,30.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,True,,,,,,,,,,,
74,Huskies,2155.467462,2166.976174000001,26.0,30.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,True,,,,
75,Huskies,2166.976174000001,2188.369294,33.0,30.0,-3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,True,,,,True,,,,,,
76,Opponent4,2188.369294,2204.222731,12.0,30.0,18.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,True,,,,True,,,
77,Huskies,2204.222731,2223.3621080000007,28.0,30.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,True,,,,,,,,,,True,,,,True,,
78,Opponent4,2223.3621080000007,2245.865684000001,31.0,30.0,-1.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,True,True,,,,,True,,,
79,Huskies,2245.865684000001,2423.369638,39.0,30.0,-9.0,13.0,3.0,8.0,16.0,2.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,True,True,,,True,,,True,,,,True,,,,True,,
80,Opponent4,2423.369638,2435.216708,24.0,6.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,,,,,
81,Huskies,2435.216708,2458.889207,35.0,30.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,,,,,
82,Opponent4,2458.889207,2476.816741,13.0,30.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,True,
83,Opponent4,2476.816741,2485.925891,71.0,30.0,-41.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,True,
84,Huskies,2485.925891,2514.525463,34.0,30.0,-4.0,2.0,0.0,1.0,8.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,True,,,True,,,,True,True,,,True,,
85,Opponent4,2514.525463,2525.358107,10.0,18.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,,,,,
86,Huskies,2525.358107,2533.496664,50.0,30.0,-20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,,,,,,,,,,,,,
87,Opponent4,2533.496664,2572.7988160000004,34.0,30.0,-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,True,,,
88,Opponent4,2572.7988160000004,2612.343742,69.0,30.0,-39.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,True,,True,
89,Opponent4,2612.343742,2657.191454,25.0,98.0,73.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,
90,Huskies,2657.191454,2675.351232,62.0,30.0,-32.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,True,,,,,,,,,,
91,Huskies,2675.351232,2689.027182,66.0,93.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,
92,Huskies,2689.027182,2721.257705,26.0,30.0,4.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,True,,,True,,,,,,,True,,,,True,,
93,Huskies,2721.257705,2760.045838,77.0,30.0,-47.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,True,,,,,,,,,,
94,Huskies,2760.045838,2789.964746,30.0,30.0,0.0,11.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,True,,,,True,,
95,Huskies,2789.964746,2821.822949000001,32.0,30.0,-2.0,1.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,True,,,,True,,
96,Huskies,2821.822949000001,2908.060656,69.0,30.0,-39.0,14.0,1.0,3.0,14.0,2.0,7.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,,,,,,True,True,True,,,True,,,True,,,,True,,,,,,
97,Opponent4,2908.060656,3900.0,89.0,30.0,-59.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,True,,True,True
