,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent19_F1,Opponent19_D2,Huskies_M13,Huskies_M3,Huskies_M12,Huskies_D5,Huskies_D2,Huskies_G1,Opponent19_M4,Opponent19_G1,Opponent19_D3,Huskies_F5,Huskies_F6,Huskies_D7,Huskies_M6,Opponent19_M5,Opponent19_M3,Opponent19_M1,Opponent19_F2,Opponent19_D1,Opponent19_D4,Huskies_D6,Huskies_F2,Huskies_F4,Opponent19_M2,Opponent19_M6,Opponent19_D5
37,Huskies,1173.0961310000002,1195.8235249999998,68.0,26.0,-42.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,
38,Huskies,1195.8235249999998,1225.139427,48.0,26.0,-22.0,3.0,0.0,4.0,6.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,True,,,,,,,True,True,,,,
39,Opponent19,1225.139427,1268.0314120000005,17.0,26.0,9.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,True,,True,True,,,,,,,
40,Huskies,1268.0314120000005,1269.7255489999998,20.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,,
41,Opponent19,1269.7255489999998,1300.210156,73.0,76.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,,,,,,
42,Huskies,1300.210156,1323.520313,20.0,26.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,True,,,,
43,Opponent19,1323.520313,1328.9931589999997,45.0,61.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
44,Huskies,1328.9931589999997,1366.4622900000004,14.0,26.0,12.0,6.0,0.0,1.0,4.0,1.0,8.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,,,,,,,,,,,,,,True,True,,,,
45,Opponent19,1366.4622900000004,1373.95511,32.0,26.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,
46,Huskies,1373.95511,1415.6347800000005,33.0,26.0,-7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,True,True,,,,,,,,,True,,,,
47,Opponent19,1415.6347800000005,1422.291104,26.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,,
48,Huskies,1422.291104,1452.1371099999994,63.0,26.0,-37.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,True,True,,,,,,,,,True,,,,
49,Huskies,1452.1371099999994,1534.780799,84.0,26.0,-58.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,True,True,,,
50,Huskies,1534.780799,1546.9283770000004,17.0,26.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,,,,,,,,,True,,,,
51,Opponent19,1546.9283770000004,1576.7872420000006,63.0,80.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
52,Opponent19,1576.7872420000006,1583.7361039999994,39.0,43.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,,
53,Opponent19,1583.7361039999994,1682.7340590000006,59.0,65.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,
54,Opponent19,1682.7340590000006,1694.30317,54.0,26.0,-28.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,True,,,,,,,,,
55,Opponent19,1694.30317,1765.9943890000006,61.0,60.0,-1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,,,
56,Huskies,1765.9943890000006,1780.4101929999995,28.0,26.0,-2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,True,,,
57,Huskies,1780.4101929999995,1795.3011580000002,73.0,88.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,,
58,Huskies,1795.3011580000002,1879.3644980000001,34.0,26.0,-8.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,True,,,,,,,,,True,,,,
59,Opponent19,1879.3644980000001,1915.271736,18.0,30.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
60,Huskies,1915.271736,1975.548897,43.0,71.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,True,,,
61,Opponent19,1975.548897,1979.8665,76.0,74.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,
62,Huskies,1979.8665,1980.802742,33.0,46.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,True,,,
63,Opponent19,1980.802742,2090.481258,51.0,26.0,-25.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,True,,,True,,,,,,,
64,Huskies,2090.481258,2114.792166,61.0,70.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
65,Opponent19,2114.792166,2123.488858,53.0,63.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,,,,
66,Opponent19,2123.488858,2132.88421,47.0,53.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,
67,Huskies,2132.88421,2169.813661,5.0,26.0,21.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,True,,,,,,,,,,,,,,True,,,,,
68,Huskies,2169.813661,2181.376537,10.0,26.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,,
69,Opponent19,2181.376537,2219.729255,64.0,26.0,-38.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,True,,,,,,
70,Opponent19,2219.729255,2222.3822630000004,26.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,,
71,Huskies,2222.3822630000004,2269.0717010000003,66.0,46.0,-20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,,
72,Huskies,2269.0717010000003,2279.384091,12.0,7.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,,
73,Opponent19,2279.384091,2305.7844760000003,46.0,26.0,-20.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,True,,,,,,,
74,Opponent19,2305.7844760000003,2366.121647,44.0,26.0,-18.0,11.0,1.0,2.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,True,True,,,,True,,
75,Huskies,2366.121647,2374.09776,69.0,26.0,-43.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,True,,,,,
76,Huskies,2374.09776,2385.026011,89.0,26.0,-63.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,True,,,
77,Huskies,2385.026011,2392.262334,83.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,True,,,
78,Opponent19,2392.262334,2397.7416970000004,18.0,45.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,,,
79,Huskies,2397.7416970000004,2430.542728000001,68.0,26.0,-42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,True,,,,
80,Opponent19,2430.542728000001,2492.510701,46.0,62.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,,True,
81,Huskies,2492.510701,2497.784934,63.0,61.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,,,,,
82,Opponent19,2497.784934,2504.372797,54.0,26.0,-28.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,,,,True,,
83,Opponent19,2504.372797,2533.15902,44.0,26.0,-18.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,True,,True,True,,,,,,
84,Huskies,2533.15902,2650.334383000001,56.0,72.0,16.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,
85,Huskies,2650.334383000001,2655.503345,59.0,66.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,True,,,
86,Opponent19,2655.503345,2664.829784,20.0,26.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,True,
87,Huskies,2664.829784,2675.829716,42.0,80.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,,,,,
88,Huskies,2675.829716,2712.242398000001,46.0,26.0,-20.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,True,,,,
89,Opponent19,2712.242398000001,2732.191829000001,13.0,71.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
90,Huskies,2732.191829000001,2767.671612,12.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,
91,Huskies,2767.671612,2778.692351,34.0,26.0,-8.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,True,,,,,,,,,,,,
92,Huskies,2778.692351,2806.339384,71.0,26.0,-45.0,3.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,,,,,,True,True,,,,
93,Opponent19,2806.339384,2850.665992,56.0,81.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,,
94,Huskies,2850.665992,2862.612728,8.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,,,,,
95,Huskies,2862.612728,2891.502723,25.0,26.0,1.0,0.0,0.0,3.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,,,True,,,,
96,Huskies,2891.502723,2907.5837850000003,69.0,26.0,-43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True,True,,,,
97,Huskies,2907.5837850000003,2954.337652,78.0,26.0,-52.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,True,,,,
98,Opponent19,2954.337652,2956.726141,75.0,85.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,,True,
99,Huskies,2956.726141,2981.5133480000004,15.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
100,Opponent19,2981.5133480000004,2986.5442650000005,27.0,50.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,True
101,Huskies,2986.5442650000005,3017.3707000000004,42.0,26.0,-16.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,,,,,,,,True,,,,,
102,Opponent19,3017.3707000000004,3079.100862,39.0,26.0,-13.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,,True,
103,Opponent19,3079.100862,3108.477289000001,56.0,26.0,-30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,True,True
104,Opponent19,3108.477289000001,3111.7660400000004,39.0,62.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,True
105,Huskies,3111.7660400000004,3900.0,36.0,29.0,-7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,True,,,,
