,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D1,Huskies_M1,Huskies_F2,Opponent1_G1,Opponent1_F1,Opponent1_D2,Huskies_M2,Huskies_M3,Opponent1_D1,Opponent1_M1,Opponent1_F2,Opponent1_D3,Opponent1_M2,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Opponent1_D4,Opponent1_M3,Opponent1_F3,Huskies_F3
10,Opponent1,318.875721,325.77883,55.0,62.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,
11,Huskies,325.77883,349.651805,19.0,59.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,,,,,,,
12,Huskies,349.651805,380.02212000000003,47.0,59.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,True,,,,,
13,Opponent1,380.02212000000003,390.709116,19.0,59.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,True,,
14,Huskies,390.709116,432.039458,8.0,59.0,51.0,2.0,0.0,5.0,11.0,4.0,13.0,0.0,0.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,,True,True,True,,,,True,True,,,,,,True,True,True,,,,,
15,Opponent1,432.039458,470.526751,42.0,59.0,17.0,0.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,True,,True,True,,,,,,,True,,
16,Huskies,470.526751,504.396917,38.0,59.0,21.0,0.0,0.0,2.0,7.0,3.0,7.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,True,True,,,,,
17,Opponent1,504.396917,605.781783,54.0,59.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,True,,True,,,,,,True,True,
18,Opponent1,605.781783,628.545296,62.0,59.0,-3.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,True,,,,,,True,,
19,Opponent1,628.545296,634.315811,53.0,75.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,
20,Huskies,634.315811,638.7163360000001,35.0,32.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
21,Huskies,638.7163360000001,694.4147320000001,20.0,59.0,39.0,0.0,0.0,4.0,11.0,4.0,12.0,0.0,2.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,,True,True,,,,,True,True,,,,,,,True,True,True,,,,
22,Opponent1,694.4147320000001,717.476578,13.0,59.0,46.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,True,,,,,,,,
23,Huskies,717.476578,763.935874,88.0,59.0,-29.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
24,Huskies,763.935874,831.334785,31.0,59.0,28.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,True,True,,,,,
25,Huskies,831.334785,876.588559,20.0,59.0,39.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,
26,Huskies,876.588559,888.4075290000002,41.0,59.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True
27,Huskies,888.4075290000002,907.768956,43.0,76.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True
28,Opponent1,907.768956,918.9819679999999,19.0,59.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
29,Huskies,918.9819679999999,940.147302,29.0,54.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True
30,Huskies,940.147302,948.6267939999999,28.0,27.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,
31,Opponent1,948.6267939999999,974.161228,30.0,59.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,True,,,,,,,,
32,Opponent1,974.161228,977.642684,58.0,73.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
33,Huskies,977.642684,978.084482,36.0,27.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,,,,,
34,Opponent1,978.084482,1017.845967,71.0,59.0,-12.0,5.0,0.0,5.0,12.0,2.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,True,True,,,,,,True,,
35,Opponent1,1017.845967,1048.457823,78.0,59.0,-19.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,,,,,,,,
36,Opponent1,1048.457823,1080.525643,80.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,
37,Huskies,1080.525643,1114.347374,15.0,59.0,44.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,True,,True,True,,,,
38,Huskies,1114.347374,1124.0566210000002,58.0,41.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
39,Huskies,1124.0566210000002,1184.199743,62.0,59.0,-3.0,7.0,0.0,1.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,True,,,,,True,,,,,,,,True,True,,,,
40,Huskies,1184.199743,1212.753315,70.0,65.0,-5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
41,Opponent1,1212.753315,1234.888756,33.0,59.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,True,
42,Huskies,1234.888756,1285.762328,28.0,59.0,31.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,True,,,,,,,True,,True,,,,
43,Huskies,1285.762328,1323.783423,29.0,59.0,30.0,2.0,0.0,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,True,,,,,,,True,True,True,,,,,
44,Huskies,1323.783423,1336.828397,70.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
45,Huskies,1336.828397,1480.756475,60.0,59.0,-1.0,5.0,1.0,6.0,9.0,7.0,15.0,0.0,1.0,6.0,5.0,3.0,2.0,1.0,1.0,0.0,True,True,True,,,,,True,True,,,,,,,True,True,True,,,,True
46,Huskies,1480.756475,1497.018515,50.0,59.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,True,,,,
47,Huskies,1497.018515,1563.5650890000002,57.0,59.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,True,,,,,True
48,Huskies,1563.5650890000002,1633.128835,53.0,59.0,6.0,2.0,0.0,5.0,16.0,1.0,8.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,,,True,True,,,,,,,True,True,,,,,
49,Huskies,1633.128835,1657.171668,47.0,59.0,12.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,True,,,,
50,Huskies,1657.171668,1693.228444,9.0,59.0,50.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,True,,True,,,,True,True,,,,,,True,True,True,True,,,,
51,Opponent1,1693.228444,1704.0390300000001,38.0,62.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
52,Huskies,1704.0390300000001,1746.9033359999999,23.0,47.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
53,Huskies,1746.9033359999999,1791.1042489999998,56.0,59.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,,,,,,,True,True,,,,,
54,Opponent1,1791.1042489999998,1812.953534,79.0,59.0,-20.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,True,,,,,,,True,,,
55,Huskies,1812.953534,1888.7192929999999,9.0,59.0,50.0,0.0,0.0,9.0,13.0,5.0,18.0,0.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,True,,,,,,True,True,True,,,,,
56,Huskies,1888.7192929999999,1999.175661,58.0,59.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
57,Opponent1,1999.175661,2033.788496,91.0,84.0,-7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
58,Opponent1,2033.788496,2118.7642739999997,78.0,59.0,-19.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,True,,True,,,,,,,,True,,
59,Huskies,2118.7642739999997,2156.892131,39.0,59.0,20.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,True,True,,,,,
60,Huskies,2156.892131,2160.6479170000002,42.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
61,Opponent1,2160.6479170000002,2179.7071539999997,30.0,59.0,29.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,True,True,,,,,,,,,
62,Huskies,2179.7071539999997,2203.7086329999997,34.0,59.0,25.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,True,,,,,,,True,True,,,,,
63,Opponent1,2203.7086329999997,2218.9205699999998,34.0,59.0,25.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,,,,True,,
64,Huskies,2218.9205699999998,2259.099422,4.0,59.0,55.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,True,True,,,,,,,,,,,,,
65,Huskies,2259.099422,2281.555748,47.0,59.0,12.0,4.0,0.0,3.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,True,True,,,,,True
66,Opponent1,2281.555748,2300.892312,35.0,59.0,24.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,,,,,,,True,
67,Huskies,2300.892312,2308.140323,58.0,59.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,True
68,Opponent1,2308.140323,2373.696063,22.0,59.0,37.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,True,True,
69,Huskies,2373.696063,2444.350446,26.0,59.0,33.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,True,,,,
70,Opponent1,2444.350446,2477.697656,20.0,59.0,39.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,
71,Opponent1,2477.697656,2608.514427,13.0,59.0,46.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
72,Opponent1,2608.514427,2636.5241960000003,78.0,59.0,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,True,,
73,Huskies,2636.5241960000003,2652.505927,31.0,59.0,28.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,True,True,,,,
74,Opponent1,2652.505927,2694.677345,53.0,59.0,6.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,True,,
75,Huskies,2694.677345,2710.221447,35.0,59.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,,
76,Huskies,2710.221447,2789.997921,79.0,59.0,-20.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,True
77,Opponent1,2789.997921,3900.0,43.0,59.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,True,,,,,,,True,,
