,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F3,Opponent3_D2,Opponent3_M1,Huskies_G1,Huskies_D4,Huskies_M6,Opponent3_D3,Opponent3_M4,Opponent3_D1,Opponent3_F1,Opponent3_F2,Opponent3_M3,Huskies_D2,Opponent3_D4,Huskies_D1,Opponent3_G1,Huskies_D6,Huskies_M4,Huskies_F2,Huskies_M1,Opponent3_M2
33,Opponent3,964.1254769999999,982.240384,2.0,4.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,True,True,,,,,,,,,True
34,Huskies,982.240384,1001.715773,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,True,,,,,,,,,True,,True,True,True,True,
35,Opponent3,1001.715773,1035.135333,3.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,True,True,,,,True,,,,,,,True
36,Opponent3,1035.135333,1058.0916789999999,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,True,True,True,,,,,,,,,
37,Opponent3,1058.0916789999999,1104.92245,3.0,5.0,2.0,7.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,True,True,,,,True,True,,,,True,,,,,,,,,
38,Huskies,1104.92245,1118.843585,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,True,,True,True,
39,Huskies,1118.843585,1137.805089,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,True,,,True,,True,
40,Opponent3,1137.805089,1169.4704140000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,,,,,,,
41,Huskies,1169.4704140000001,1188.915159,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,,True,,,True,True,True,
42,Huskies,1188.915159,1271.789204,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,,True,,,
43,Opponent3,1271.789204,1281.780731,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,True,,,,,
44,Huskies,1281.780731,1291.607473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
45,Opponent3,1291.607473,1346.756874,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,True,,,,,,,
46,Opponent3,1346.756874,1357.162478,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,True,,True,,,,,,,
47,Huskies,1357.162478,1384.385291,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,True,True,True,
48,Huskies,1384.385291,1416.367642,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,True,,,,,,,,,,,True,True,True,True,
49,Opponent3,1416.367642,1453.668177,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,True,True,,True,,,,,,,,,
50,Opponent3,1453.668177,1493.98127,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,True,,True,True,,,,,,,,,
51,Opponent3,1493.98127,1538.427467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,True
52,Opponent3,1538.427467,1577.708743,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,True,True,,True,,,,,,,,,
53,Opponent3,1577.708743,1649.1574859999998,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,True,,,,,,,,,,,
54,Huskies,1649.1574859999998,1665.180405,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,True,,
55,Opponent3,1665.180405,1706.8294170000001,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,,,,True,,,,,
56,Huskies,1706.8294170000001,1714.281475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,
57,Opponent3,1714.281475,1735.464243,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,,True,True,True,,,,,True,,,,,
58,Huskies,1735.464243,1778.357248,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,True,,,,True,True,,,
59,Opponent3,1778.357248,1789.684558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
60,Huskies,1789.684558,1799.1007829999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,True,,,,,,,,
61,Opponent3,1799.1007829999999,1856.1543149999998,5.0,7.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,True,,,True,,True,,,,,
62,Huskies,1856.1543149999998,1904.704075,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,True,True,True,,
63,Huskies,1904.704075,2003.6166489999998,6.0,17.0,6.0,16.0,0.0,0.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,True,True,,,,True,True,,,,,,,True,,True,,True,True,True,True,
64,Opponent3,2003.6166489999998,2019.052802,4.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,True,True,,True,,,,,,,
65,Huskies,2019.052802,2072.725214,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,True,True,,
66,Opponent3,2072.725214,2177.538875,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,True,,True,,,,,
67,Huskies,2177.538875,2196.6309,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,True,,True,True,,True,
68,Opponent3,2196.6309,2230.429506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,True,,,,,
69,Opponent3,2230.429506,2257.625532,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,,,True,True,,,,,,True,,,True,,True,,,,,,,
70,Opponent3,2257.625532,2264.596079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
71,Huskies,2264.596079,2272.3363449999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,True,,,,
72,Huskies,2272.3363449999997,2281.613582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
73,Opponent3,2281.613582,2287.814288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True
74,Huskies,2287.814288,2312.651515,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,True,,True,,,True,,True,
75,Opponent3,2312.651515,2346.175111,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,True,,True,,,,,,,,,
76,Opponent3,2346.175111,2367.387248,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,True,,,,,,,,,
77,Opponent3,2367.387248,2432.26093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
78,Huskies,2432.26093,2441.424564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,True,,
79,Opponent3,2441.424564,2463.362275,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,True,,,,,True,,True,,,,,
80,Opponent3,2463.362275,2473.351765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,
81,Opponent3,2473.351765,2479.422023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
82,Huskies,2479.422023,2492.22858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,True,,,,,,,,
83,Opponent3,2492.22858,2514.540477,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,True,,,,,,,,,,True
84,Huskies,2514.540477,2589.336241,4.0,12.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,True,,True,,True,True,,True,
85,Opponent3,2589.336241,2598.892061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
86,Huskies,2598.892061,2619.48663,0.0,4.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,True,,True,,,,,True,
87,Huskies,2619.48663,2656.076351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,
88,Huskies,2656.076351,2692.6142839999998,3.0,10.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,True,,True,,,True,True,True,
89,Huskies,2692.6142839999998,2768.23735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
90,Opponent3,2768.23735,2790.61058,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,True,True,True,True,,,,,,,,,,
91,Huskies,2790.61058,2798.4587890000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
92,Opponent3,2798.4587890000003,2810.849581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,
93,Huskies,2810.849581,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,True,,,
