,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_F2,Huskies_D3,Opponent8_M2,Opponent8_M1,Huskies_M1,Huskies_G1,Huskies_D6,Huskies_D4,Huskies_D1,Huskies_M3,Huskies_M6,Opponent8_D3,Opponent8_D4,Opponent8_M4,Opponent8_G1,Opponent8_F1,Huskies_M9,Opponent8_M5,Opponent8_D1,Opponent8_M3,Opponent8_D2
11,Huskies,256.439702,279.67359799999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,True,,,,
12,Opponent8,279.67359799999997,311.953529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,True,,,
13,Huskies,311.953529,321.438007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,,,,,,,,,,,
14,Opponent8,321.438007,342.139054,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,True,True,
15,Huskies,342.139054,373.580317,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,True,,,,,,,,,,,
16,Opponent8,373.580317,382.828669,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,True,
17,Huskies,382.828669,389.486689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,
18,Opponent8,389.486689,399.550473,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,True,,True,
19,Huskies,399.550473,420.714322,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,True,,,,,,True,,,,
20,Opponent8,420.714322,432.977236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
21,Huskies,432.977236,455.75964500000003,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,True,,True,,,,,,,True,,,,
22,Opponent8,455.75964500000003,463.87350999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,
23,Huskies,463.87350999999995,509.003995,5.0,9.0,4.0,7.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,,,True,,,True,True,True,True,True,,,,,,,,,,,,
24,Opponent8,509.003995,526.676788,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,True,True,True
25,Opponent8,526.676788,534.314732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
26,Opponent8,534.314732,548.917295,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,True,,
27,Huskies,548.917295,559.64169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,,,,,,,,,
28,Opponent8,559.64169,601.632749,3.0,10.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,True,True,True,True,,,True,True,True
29,Huskies,601.632749,637.395923,4.0,10.0,2.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,True,True,,,True,,True,True,True,True,,,,,,,,,,,
30,Opponent8,637.395923,673.3723209999999,2.0,8.0,2.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,True,True,,,True,True,True,True
31,Huskies,673.3723209999999,682.08822,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,,,,,,,,,,
32,Huskies,682.08822,731.024368,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,True,,,,,,,,,,,,
33,Huskies,731.024368,741.7043570000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
34,Huskies,741.7043570000001,753.7811929999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,
35,Huskies,753.7811929999999,762.3610940000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
36,Huskies,762.3610940000001,908.7395439999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,True,,,,,,,,,,
37,Opponent8,908.7395439999999,934.964042,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,True,,,,,
38,Opponent8,934.964042,957.135496,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,True,True,,
39,Opponent8,957.135496,969.37973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,
40,Opponent8,969.37973,980.059933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
41,Huskies,980.059933,1000.099291,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,True,,,,,,,,,,,,
42,Huskies,1000.099291,1045.813321,5.0,16.0,5.0,18.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,True,True,True,,,True,,True,True,True,True,True,,,,,,True,,,,
43,Opponent8,1045.813321,1080.680288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
44,Opponent8,1080.680288,1127.973654,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,True,,,,,
45,Huskies,1127.973654,1131.994076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
46,Huskies,1131.994076,1193.184676,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,True,,,,
47,Opponent8,1193.184676,1196.766121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
48,Huskies,1196.766121,1212.554301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
49,Huskies,1212.554301,1293.718423,6.0,6.0,5.0,15.0,0.0,1.0,5.0,9.0,3.0,2.0,1.0,1.0,0.0,True,,True,,,True,,True,True,True,True,,,,,,,,,,,
50,Opponent8,1293.718423,1386.535689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,True,
51,Huskies,1386.535689,1474.95685,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,True,,,,
52,Opponent8,1474.95685,1511.434015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,True,
53,Huskies,1511.434015,1571.8406810000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
54,Huskies,1571.8406810000001,1578.31586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
55,Huskies,1578.31586,1580.801609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
56,Opponent8,1580.801609,1609.047701,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,True,,True,,True,
57,Huskies,1609.047701,1650.960136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,,,,,,,,,,,
58,Huskies,1650.960136,1682.2314010000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
59,Huskies,1682.2314010000002,1727.9810280000002,2.0,6.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,True,True,,True,True,,,,,,,,,,,,
60,Opponent8,1727.9810280000002,1733.404306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,
61,Huskies,1733.404306,1739.21275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,True,,,,
62,Huskies,1739.21275,1751.51853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
63,Opponent8,1751.51853,1787.102628,1.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,True,,True,True,True,True
64,Opponent8,1787.102628,1805.370427,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,True,,,,,,,True
65,Huskies,1805.370427,1855.569473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,,,,,,,,,,,,,,
66,Opponent8,1855.569473,1902.6514920000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,
67,Opponent8,1902.6514920000002,1933.302837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,True,,
68,Opponent8,1933.302837,1944.720655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,True,,,,,,,
69,Opponent8,1944.720655,1953.322084,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,True,True,
70,Opponent8,1953.322084,1963.093956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,True
71,Huskies,1963.093956,1972.62455,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,,,,,,,,,,
72,Opponent8,1972.62455,1984.98707,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,True,
73,Huskies,1984.98707,2074.8179210000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,True,,,,,,,,,,
74,Huskies,2074.8179210000003,2086.6519719999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,,,,,,,,,,,,
75,Opponent8,2086.6519719999997,2096.866282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,
76,Huskies,2096.866282,2100.745311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,
77,Opponent8,2100.745311,2118.594675,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,True,,
78,Opponent8,2118.594675,2167.042601,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,,,,,,True,,True
79,Opponent8,2167.042601,2231.495105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True
80,Huskies,2231.495105,2247.557932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,True,,,,,,,,,,,
81,Opponent8,2247.557932,2258.754856,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,True,True
82,Huskies,2258.754856,2265.059566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
83,Opponent8,2265.059566,2275.4683809999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,True
84,Huskies,2275.4683809999997,2290.6577429999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,True,,True,,,,,,,,,,,,
85,Opponent8,2290.6577429999998,2299.040585,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,True,True,,,,,,,
86,Huskies,2299.040585,2308.876006,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,True,,,,,,,True,,,,
87,Opponent8,2308.876006,2391.0604,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,True,True
88,Opponent8,2391.0604,2433.37855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
89,Opponent8,2433.37855,2469.001933,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,True
90,Huskies,2469.001933,2489.405222,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,True,,,,,,,,,,,,
91,Opponent8,2489.405222,2533.562966,3.0,9.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,True,True,True,,,True,,,True
92,Opponent8,2533.562966,2545.477596,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,True,True,True,
93,Huskies,2545.477596,2564.4402010000003,1.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,,,True,,,True,,True,,,,,,,,,,,
94,Opponent8,2564.4402010000003,2588.343347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,True,
95,Opponent8,2588.343347,2638.537391,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,True,True,,True,,,,,
96,Huskies,2638.537391,2702.855625,0.0,1.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,,True,,,,,,,,,,,,
97,Opponent8,2702.855625,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,True,,,,,
