,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent15_M7,Opponent15_D1,Huskies_M9,Huskies_F6,Huskies_M1,Huskies_D8,Opponent15_M6,Opponent15_F4,Opponent15_F3,Opponent15_D6,Opponent15_D3,Huskies_M3,Huskies_D4,Huskies_F2,Opponent15_M5,Opponent15_D5,Opponent15_M3,Huskies_F5,Huskies_D1,Huskies_D3,Opponent15_G1,Opponent15_M8,Huskies_M4,Opponent15_D4,Huskies_G1,Huskies_F4,Huskies_D10
10,Opponent15,222.14366900000005,239.97940299999985,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,True,,,,,,,,,,
11,Huskies,239.97940299999985,281.6488589999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,,,,,,
12,Opponent15,281.6488589999999,295.6076400000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,True,,,,,,,,,,
13,Opponent15,295.6076400000002,347.45921300000015,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,True,,,,True,True,True,,,,,,,,,,
14,Huskies,347.45921300000015,363.592799,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,True,True,True,,,,,,,
15,Opponent15,363.592799,377.9808830000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,,,,,,
16,Huskies,377.9808830000002,432.85023099999984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,,,,,,
17,Opponent15,432.85023099999984,447.72925600000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
18,Huskies,447.72925600000013,463.532342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,True,,,,,,,,,,,,,
19,Opponent15,463.532342,617.4119190000001,4.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,True,True,True,,,,,,,,,,
20,Opponent15,617.4119190000001,622.5602260000002,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,True,,,,,,,,,,,,
21,Huskies,622.5602260000002,634.4787500000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,
22,Opponent15,634.4787500000002,640.971446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,True,,,,,,,,,,
23,Huskies,640.971446,652.2517440000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,,
24,Opponent15,652.2517440000001,668.0918139999999,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,True,,,,True,,,,,,
25,Huskies,668.0918139999999,697.075554,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,True,,True,,,,True,,True,,,,,,,
26,Opponent15,697.075554,753.1695500000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,True,,,,,,,,,,,
27,Opponent15,753.1695500000002,765.310023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,True,,,,,,,,,,,,
28,Opponent15,765.310023,796.4826429999997,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,True,True,True,,,,,,,,,,
29,Huskies,796.4826429999997,854.3913859999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
30,Opponent15,854.3913859999997,884.76188,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,True,,,,,
31,Huskies,884.76188,906.1233960000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,True,,,,,,,,,
32,Opponent15,906.1233960000001,919.8620070000003,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,True,,,,,,,True,,,,,,,,,,
33,Opponent15,919.8620070000003,959.4621699999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
34,Huskies,959.4621699999997,971.027752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,True,,,,,,,
35,Opponent15,971.027752,1102.7097709999996,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,,,,,,,True,,,,,
36,Opponent15,1102.7097709999996,1128.439661,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,,,,,,True,,,,,,,,,,
37,Huskies,1128.439661,1147.3758610000004,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,,,,,,,,,True,,,,
38,Opponent15,1147.3758610000004,1153.729461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,,,,,,,,,,,
39,Huskies,1153.729461,1159.1991040000005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,True,,,,,,,
40,Opponent15,1159.1991040000005,1178.2551620000004,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,True,,True,,,,,,,,,,
41,Huskies,1178.2551620000004,1241.1759309999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,,,,,,
42,Huskies,1241.1759309999998,1249.6934490000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,True,,,,,,,,
43,Opponent15,1249.6934490000006,1257.9794270000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
44,Huskies,1257.9794270000002,1264.801904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
45,Opponent15,1264.801904,1276.8713100000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,True,,,,,,,,,,
46,Huskies,1276.8713100000004,1332.6816630000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,,,,,,
47,Opponent15,1332.6816630000005,1365.0040680000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,
48,Opponent15,1365.0040680000004,1375.9237519999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
49,Huskies,1375.9237519999995,1381.974298,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,
50,Opponent15,1381.974298,1392.5776589999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,,,,,,
51,Huskies,1392.5776589999994,1427.1503819999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,,
52,Opponent15,1427.1503819999996,1482.2540980000006,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,True,,,,,True,,True,,,
53,Huskies,1482.2540980000006,1497.738053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,,,,,,
54,Opponent15,1497.738053,1512.56992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,True,,,,,,,,,,
55,Huskies,1512.56992,1528.7904470000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,True,,
56,Opponent15,1528.7904470000005,1570.9098510000006,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,True,True,,,,,
57,Opponent15,1570.9098510000006,1640.6279470000002,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,True,,,,,
58,Huskies,1640.6279470000002,1655.0707709999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,,,,,,
59,Opponent15,1655.0707709999995,1701.3236379999996,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,True,,,,,,,,,True,,,,,,True,,,,True,,,,,,
60,Opponent15,1701.3236379999996,1712.9356639999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,True,,,,,
61,Opponent15,1712.9356639999994,1723.6421719999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,True,,,,,
62,Opponent15,1723.6421719999996,1805.296871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,True,,,
63,Opponent15,1805.296871,1866.1182620000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,,,,
64,Opponent15,1866.1182620000002,1872.3727150000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,
65,Huskies,1872.3727150000007,1895.007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,,,,,,
66,Huskies,1895.007324,1898.336287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,,
67,Huskies,1898.336287,1987.832158,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,True,,,,,,,,,,True,,,True,
68,Opponent15,1987.832158,1991.8177739999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,,,,,,
69,Huskies,1991.8177739999999,2007.2572870000006,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,True,,,,,True,True,True
70,Huskies,2007.2572870000006,2084.64616,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,,,,,,True,,,,,,,True
71,Huskies,2084.64616,2111.9805579999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,True,
72,Opponent15,2111.9805579999997,2131.592786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
73,Opponent15,2131.592786,2161.388613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,True,,,,,
74,Huskies,2161.388613,2193.631139,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,
75,Opponent15,2193.631139,2218.498802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,True,,,,,,,,,,
76,Huskies,2218.498802,2224.0578530000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,True,,
77,Opponent15,2224.0578530000007,2257.3066500000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,True,,,,,,
78,Opponent15,2257.3066500000004,2341.114586,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,
79,Opponent15,2341.114586,2399.142332000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True,,,,,
80,Huskies,2399.142332000001,2421.36208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
81,Opponent15,2421.36208,2515.103432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,
82,Huskies,2515.103432,2526.440831,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,,,,,,,,,,,,,,
83,Opponent15,2526.440831,2567.4379150000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,,,True,,,
84,Huskies,2567.4379150000004,2578.876271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,True,
85,Opponent15,2578.876271,2631.507672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,,,,,,
86,Huskies,2631.507672,2642.2658300000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,,,True,
87,Huskies,2642.2658300000007,2650.011029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,
88,Huskies,2650.011029,2744.911459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,True
89,Opponent15,2744.911459,2752.2135420000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
90,Huskies,2752.2135420000004,2773.100874,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,,True,,,,
91,Huskies,2773.100874,2803.316735000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,True,,,,,,,
92,Huskies,2803.316735000001,2846.782826,3.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,True,,,,,,,,,,,,True,True,True
93,Huskies,2846.782826,2849.429182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,,,,,
94,Opponent15,2849.429182,2930.35607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,
95,Huskies,2930.35607,2956.7479590000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,,,,True,
96,Opponent15,2956.7479590000007,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,
