,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent3_M4,Opponent3_F1,Opponent3_M1,Opponent3_G1,Opponent3_D4,Opponent3_D2,Opponent3_M3,Opponent3_D1,Opponent3_F2,Opponent3_D3,Opponent3_M2,Huskies_D2,Huskies_M1,Huskies_D4,Huskies_D3,Huskies_M7,Huskies_F2,Huskies_M6,Huskies_F3,Huskies_D1,Huskies_G1,Huskies_D6,Huskies_F1,Opponent3_M5,Opponent3_F3,Huskies_M8,Opponent3_D5
31,Huskies,1034.2466259999999,1086.234351,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,,,True,,True,,,,,
32,Opponent3,1086.234351,1167.033254,3.0,12.0,3.0,4.0,2.0,0.0,4.0,0.0,7.0,2.0,2.0,0.0,0.0,True,,,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,
33,Huskies,1167.033254,1173.4759000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,True,,,,
34,Opponent3,1173.4759000000004,1215.2716449999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,True,True,,,,,,,,,,,,,,,,
35,Huskies,1215.2716449999998,1239.8984680000005,1.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,True,,,,,,,
36,Huskies,1239.8984680000005,1249.0142830000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,,
37,Opponent3,1249.0142830000004,1275.965464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,,,,,,
38,Opponent3,1275.965464,1315.6684960000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,,,,,,,,,,,,,,,,,,,
39,Opponent3,1315.6684960000002,1336.6495349999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,,,,,,
40,Huskies,1336.6495349999996,1348.746572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,True,,,,
41,Opponent3,1348.746572,1361.7511299999996,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,True,,,,,,,,,,,,,,,,
42,Huskies,1361.7511299999996,1380.6011909999993,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,True,,,,,,
43,Opponent3,1380.6011909999993,1436.2311,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,True,,True,,,,,,,,,,,,,,,,
44,Huskies,1436.2311,1541.151385,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,True,,,,
45,Opponent3,1541.151385,1573.7110519999994,4.0,9.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,True,True,True,True,,True,,,,,,,,,,,,,,,,,
46,Huskies,1573.7110519999994,1605.0503419999993,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,
47,Huskies,1605.0503419999993,1625.5204449999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,True,,,,True,True,True,,,,,
48,Opponent3,1625.5204449999999,1661.5450099999996,2.0,6.0,2.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,
49,Huskies,1661.5450099999996,1695.4231670000001,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,True,True,,True,,True,,,True,,,,
50,Opponent3,1695.4231670000001,1721.6560440000005,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,True,True,,,,,,,,,,,,,,,,,,
51,Opponent3,1721.6560440000005,1746.7021720000002,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,
52,Opponent3,1746.7021720000002,1811.4651420000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
53,Huskies,1811.4651420000002,1860.0864760000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,,
54,Opponent3,1860.0864760000006,1891.4943449999998,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,
55,Huskies,1891.4943449999998,1904.9037900000005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,True,True,,,,
56,Opponent3,1904.9037900000005,1955.348655,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,,,,True,,,
57,Huskies,1955.348655,1982.538525,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,True,True,True,True,,,,
58,Opponent3,1982.538525,2041.684796,1.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,,True,True,,,,,,,,,,,,,,,,
59,Huskies,2041.684796,2048.523697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,True,,,,,,,,,,
60,Huskies,2048.523697,2059.275368,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,True,True,,,,,,,,,
61,Opponent3,2059.275368,2070.624475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,,
62,Opponent3,2070.624475,2198.697343,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,True,,,,True,,,,,,,,,,,,,True,,,
63,Opponent3,2198.697343,2214.66028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,
64,Opponent3,2214.66028,2298.8738399999997,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,True,,,,,,,,,,,,,,True,,,
65,Huskies,2298.8738399999997,2397.5737230000004,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,True,,,,True,,,,True,
66,Opponent3,2397.5737230000004,2412.34407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,True,True,,
67,Opponent3,2412.34407,2453.629489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
68,Opponent3,2453.629489,2506.348626,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,True,True,,,,,,,,,,,,,,,,
69,Huskies,2506.348626,2546.239313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,,,,,True,
70,Huskies,2546.239313,2623.815164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,True,,,,
71,Opponent3,2623.815164,2644.0389920000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,True,,
72,Opponent3,2644.0389920000002,2683.860097,1.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,True,,True,,,,,,,,,,,,,,True,True,,True
73,Huskies,2683.860097,2688.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,True,,,,
74,Huskies,2688.3182,2693.638357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,,,
75,Opponent3,2693.638357,2740.7580789999997,3.0,6.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,True,,True,,,,,,,,,,,,,,True,True,,True
76,Huskies,2740.7580789999997,2747.7734370000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,True,,,,
77,Opponent3,2747.7734370000003,2774.329239,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,True
78,Opponent3,2774.329239,2785.91965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,True,,
79,Opponent3,2785.91965,2801.396657,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,True,,,,,,,,,,,,,,,,,,,,
80,Opponent3,2801.396657,2837.107932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,
81,Opponent3,2837.107932,2841.511762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,True
82,Opponent3,2841.511762,2860.762713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
83,Opponent3,2860.762713,3900.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,True,,,,,,,,,,,,,,,,,,True,,True
