,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_M4,Opponent5_M4,Opponent5_D6,Opponent5_M1,Opponent5_F3,Opponent5_D1,Opponent5_M6,Opponent5_M7,Opponent5_D5,Opponent5_M5,Opponent5_D7,Huskies_M12,Huskies_M3,Huskies_D2,Huskies_F2,Huskies_F4,Huskies_G1,Huskies_D5,Huskies_M9,Huskies_D6,Opponent5_G1,Huskies_M13,Huskies_M8,Opponent5_F2,Huskies_F1
12,Huskies,410.580602,416.46728200000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
13,Opponent5,416.46728200000007,460.4125589999999,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,True,,True,True,,,,,,,,,,,True,,,,
14,Opponent5,460.4125589999999,495.71225300000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,,,,,
15,Huskies,495.71225300000015,505.6882679999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,True,,,,,
16,Opponent5,505.6882679999998,523.005349,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,,,,,,,,,,,,,,
17,Opponent5,523.005349,584.7043060000002,1.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,,True,True,,,True,True,True,,,,,,,,,,,,,,,
18,Opponent5,584.7043060000002,624.6865750000002,6.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,,,,
19,Huskies,624.6865750000002,652.23153,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,True,,,,,,,
20,Huskies,652.23153,663.755725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,,,,,
21,Opponent5,663.755725,731.313091,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,True,True,,,,,,,,,,,,,,,,,
22,Huskies,731.313091,783.3548820000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,,,,,,,,,,,,,
23,Huskies,783.3548820000002,796.2010529999997,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,True,,,,,
24,Opponent5,796.2010529999997,840.6436819999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,
25,Opponent5,840.6436819999999,874.9598860000001,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,,,True,True,,,,,,,,,,,,,,
26,Opponent5,874.9598860000001,928.5711640000001,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,True,True,,True,,,,,,,,,,,,,,,
27,Opponent5,928.5711640000001,946.649857,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,,,,True,,True,,,,,,,,,,,,,,,
28,Opponent5,946.649857,1037.776906,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,True,,True,,,,,,,,,,,,,,,
29,Opponent5,1037.776906,1104.5548980000003,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,True,,,,,,,,,,,,,,,
30,Opponent5,1104.5548980000003,1146.7573140000004,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,,True,True,,,,,,,,,,,,,,,
31,Huskies,1146.7573140000004,1159.5401430000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,
32,Opponent5,1159.5401430000004,1202.4575000000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,True,,True,,,,,,,,,,,,,,,
33,Huskies,1202.4575000000004,1205.0281370000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,,
34,Opponent5,1205.0281370000002,1225.6105669999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,True,,,,
35,Opponent5,1225.6105669999995,1264.001881,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,True,True,,,,,,,,,,True,,,,
36,Opponent5,1264.001881,1275.4258,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,True,,,,,,,,,,,,,,
37,Opponent5,1275.4258,1291.9554989999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
38,Opponent5,1291.9554989999995,1344.9305430000004,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,,,,True,,,,,,,,,,,,,,
39,Opponent5,1344.9305430000004,1355.3933439999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,
40,Opponent5,1355.3933439999998,1366.1125949999996,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,True,,,,,,,,,,,,,,
41,Huskies,1366.1125949999996,1387.4791969999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,,True,,
42,Opponent5,1387.4791969999994,1401.3804449999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
43,Opponent5,1401.3804449999998,1427.3440920000005,2.0,4.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,True,True,,,,,True,True,True,,,,,,,,,,,,,,,
44,Huskies,1427.3440920000005,1486.211005,8.0,20.0,3.0,11.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,True,,True,True,True,True,,,True,True,,
45,Opponent5,1486.211005,1495.0788460000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
46,Huskies,1495.0788460000006,1563.7608959999998,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,True,True,,,,,
47,Opponent5,1563.7608959999998,1577.8088669999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,,,,,,,,,,,,,,,,,
48,Huskies,1577.8088669999993,1598.1035499999996,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,,,True,,True,True,,,,,
49,Huskies,1598.1035499999996,1620.6288530000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
50,Huskies,1620.6288530000004,1624.24391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,
51,Huskies,1624.24391,1662.655436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,True,,,
52,Huskies,1662.655436,1674.2698659999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,,,,
53,Huskies,1674.2698659999994,1725.7187459999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,,,,,
54,Opponent5,1725.7187459999993,1734.1733739999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,
55,Opponent5,1734.1733739999997,1753.795771,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,True,,,,,,,,,,,,,,
56,Huskies,1753.795771,1804.973292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,True,True,,
57,Huskies,1804.973292,1811.841023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,,,,,
58,Opponent5,1811.841023,1821.9987730000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,True,,,,,,,,,,,,,,,,
59,Huskies,1821.9987730000007,1841.350138,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,True,,,,True,True,,
60,Huskies,1841.350138,1856.0969710000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,True,,True,,,
61,Opponent5,1856.0969710000002,1857.697928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,
62,Opponent5,1857.697928,1945.792065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
63,Huskies,1945.792065,1948.505311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,
64,Opponent5,1948.505311,1976.121864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
65,Opponent5,1976.121864,2015.162149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
66,Huskies,2015.162149,2053.1268649999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
67,Opponent5,2053.1268649999997,2099.123054,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,True,True,True,True,,,,,,,,,,,,,,True,
68,Opponent5,2099.123054,2171.426617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,,,,,
69,Huskies,2171.426617,2230.777354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
70,Opponent5,2230.777354,2234.23189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,
71,Opponent5,2234.23189,2334.526248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,,,,,
72,Opponent5,2334.526248,2341.3608600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,,,,
73,Huskies,2341.3608600000002,2350.3900540000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,,,,
74,Opponent5,2350.3900540000004,2358.261065,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,,,,,,,,,
75,Opponent5,2358.261065,2380.880125,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,True,
76,Opponent5,2380.880125,2461.449743,5.0,11.0,5.0,26.0,0.0,5.0,12.0,15.0,5.0,5.0,5.0,5.0,12.0,,,True,True,True,,True,True,,True,True,,,,,,,,,,,,,,,
77,Opponent5,2461.449743,2540.563825,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,True,,,,,,,,,,,,,,
78,Opponent5,2540.563825,2644.716222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,True,,,,
79,Opponent5,2644.716222,2681.410975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True,
80,Huskies,2681.410975,2706.06932,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,,,,,True,True,,True,,,True
81,Huskies,2706.06932,2844.320441,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,True,,,
82,Huskies,2844.320441,2880.318603,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,,,,True,True,True,,True,True,,
83,Huskies,2880.318603,2891.5974899999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,,,,,
84,Huskies,2891.5974899999997,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,
