,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent15_F1,Opponent15_M1,Opponent15_D2,Opponent15_D1,Opponent15_M2,Huskies_M1,Huskies_G1,Opponent15_D3,Opponent15_G1,Opponent15_M3,Huskies_M8,Huskies_F1,Huskies_D7,Huskies_M4,Opponent15_D4,Opponent15_F2,Huskies_D2,Huskies_D5,Huskies_D6,Huskies_F2,Opponent15_F3,Huskies_M6
10,Opponent15,271.495611,313.706384,33.0,30.0,-3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
11,Huskies,313.706384,319.6412430000001,8.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,
12,Opponent15,319.6412430000001,369.380191,27.0,33.0,6.0,0.0,0.0,1.0,3.0,2.0,7.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,True,True,True,,,,,True,,,,,,,
13,Opponent15,369.380191,381.21209500000003,66.0,33.0,-33.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,True,,,,,,,
14,Opponent15,381.21209500000003,404.332866,59.0,33.0,-26.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,,True,,,,,,,,,,,,
15,Opponent15,404.332866,476.416714,64.0,59.0,-5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
16,Opponent15,476.416714,502.708492,17.0,33.0,16.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,True,True,,,,,,,,,,,,,
17,Huskies,502.708492,529.64939,11.0,33.0,22.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,,,,,,,,,
18,Huskies,529.64939,532.737113,24.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,
19,Huskies,532.737113,588.47273,33.0,23.0,-10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,
20,Opponent15,588.47273,643.951638,13.0,55.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
21,Huskies,643.951638,663.11643,55.0,68.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,
22,Huskies,663.11643,692.247535,42.0,33.0,-9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,True,,,
23,Huskies,692.247535,735.339103,44.0,33.0,-11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,True,,
24,Opponent15,735.339103,754.415157,64.0,61.0,-3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,
25,Huskies,754.415157,759.029938,29.0,24.0,-5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,
26,Opponent15,759.029938,761.099347,65.0,75.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
27,Huskies,761.099347,817.260855,23.0,33.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,
28,Opponent15,817.260855,826.8233299999998,40.0,29.0,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,
29,Opponent15,826.8233299999998,881.75397,27.0,33.0,6.0,2.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,True,,,True,,True,,,,,,,,,,,True,
30,Opponent15,881.75397,892.3785600000001,67.0,64.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
31,Opponent15,892.3785600000001,953.5756130000001,69.0,33.0,-36.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,,,,,,,,
32,Huskies,953.5756130000001,964.158372,60.0,45.0,-15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,
33,Opponent15,964.158372,1033.246996,27.0,11.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
34,Huskies,1033.246996,1056.800919,29.0,33.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,,,,,True,,,
35,Opponent15,1056.800919,1095.982174,41.0,23.0,-18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,
36,Opponent15,1095.982174,1098.2575960000001,64.0,67.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,
37,Huskies,1098.2575960000001,1109.8680769999999,10.0,33.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,True
38,Opponent15,1109.8680769999999,1114.654863,29.0,24.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
39,Huskies,1114.654863,1176.810651,56.0,33.0,-23.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,True,True,,,
40,Huskies,1176.810651,1184.675778,24.0,11.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,
41,Opponent15,1184.675778,1221.378288,71.0,89.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,
42,Huskies,1221.378288,1258.294075,36.0,33.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,True,,,
43,Opponent15,1258.294075,1260.614925,71.0,63.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
44,Huskies,1260.614925,1323.489926,19.0,33.0,14.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,True,,,,,,True,,
45,Opponent15,1323.489926,1355.541461,7.0,22.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,,,,
46,Opponent15,1355.541461,1372.478282,34.0,33.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,True,,,,,,,
47,Huskies,1372.478282,1468.5351269999999,10.0,33.0,23.0,9.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,,,True,True,,True,,
48,Opponent15,1468.5351269999999,1503.612976,70.0,85.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
49,Huskies,1503.612976,1536.299694,71.0,33.0,-38.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,True
50,Huskies,1536.299694,1541.657524,71.0,33.0,-38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,
51,Huskies,1541.657524,1630.9308800000001,70.0,33.0,-37.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,,,,,,True,,
52,Opponent15,1630.9308800000001,1641.6008160000001,72.0,33.0,-39.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,True,,,,,,
53,Huskies,1641.6008160000001,1665.578981,12.0,33.0,21.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,True,,,True,,True
54,Huskies,1665.578981,1685.866798,66.0,33.0,-33.0,2.0,0.0,2.0,8.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,True,True,,,,True,,True,True,,True
55,Huskies,1685.866798,1717.929438,80.0,75.0,-5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
56,Opponent15,1717.929438,1737.78659,31.0,9.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,
57,Opponent15,1737.78659,1791.457809,34.0,33.0,-1.0,6.0,0.0,5.0,16.0,1.0,8.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,True,True,,,,,,,,,,,True,
58,Opponent15,1791.457809,1816.576026,61.0,33.0,-28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,True,True,,,,,,,True,,,,,,,,,,,,
59,Huskies,1816.576026,1824.3616129999998,30.0,33.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,True,,
60,Opponent15,1824.3616129999998,1858.271471,53.0,33.0,-20.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,True,,,,,,,,,,,,True,
61,Opponent15,1858.271471,1881.423198,38.0,33.0,-5.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,True,,,,,,True,,,,,,,,,,,,
62,Huskies,1881.423198,1895.60811,9.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
63,Opponent15,1895.60811,1933.250072,63.0,33.0,-30.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,
64,Opponent15,1933.250072,1938.534715,66.0,33.0,-33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,True,,,,,,,
65,Huskies,1938.534715,1960.234763,22.0,33.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,True,,True
66,Opponent15,1960.234763,1971.357456,50.0,33.0,-17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,True,,,,,,,,,,,,
67,Opponent15,1971.357456,2019.617148,41.0,33.0,-8.0,4.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,True,,True,,,,,True,,,,,,,
68,Opponent15,2019.617148,2032.161527,33.0,33.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,True,,,,,,,,,,,,,
69,Huskies,2032.161527,2036.1704809999999,26.0,34.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
70,Opponent15,2036.1704809999999,2041.747205,65.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
71,Huskies,2041.747205,2181.541635,19.0,4.0,-15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
72,Huskies,2181.541635,2222.074946,83.0,90.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,
73,Opponent15,2222.074946,2231.286469,31.0,25.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
74,Huskies,2231.286469,2440.207349,45.0,33.0,-12.0,11.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,True,,,True,,True,True,,
75,Huskies,2440.207349,2464.712282,29.0,33.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True
76,Opponent15,2464.712282,2494.961602,68.0,33.0,-35.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,True,
77,Huskies,2494.961602,2503.3767980000002,29.0,33.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,True,,
78,Huskies,2503.3767980000002,2513.7698100000002,29.0,33.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,True,True,,True,,True
79,Huskies,2513.7698100000002,2535.095803,61.0,33.0,-28.0,4.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,True,,,,,,True,,True
80,Huskies,2535.095803,2543.771563,71.0,33.0,-38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,True,,
81,Huskies,2543.771563,2567.767214,77.0,33.0,-44.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,True,True,True,,,
82,Opponent15,2567.767214,2721.555372,62.0,33.0,-29.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,True,,,,,,
83,Huskies,2721.555372,2788.834848,10.0,33.0,23.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,True,,,
84,Opponent15,2788.834848,2792.853806,67.0,65.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,
85,Huskies,2792.853806,2812.597596,29.0,33.0,4.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,,,True,,
86,Opponent15,2812.597596,2820.0906219999997,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
87,Opponent15,2820.0906219999997,2856.7964079999997,49.0,33.0,-16.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,True,,,,,,,,,,,,
88,Huskies,2856.7964079999997,2864.007185,13.0,10.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
89,Huskies,2864.007185,3900.0,43.0,0.0,-43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True
