,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent18_D1,Opponent18_M1,Huskies_D5,Huskies_M6,Huskies_F1,Huskies_M1,Opponent18_D2,Opponent18_M3,Huskies_D2,Huskies_D6,Huskies_M3,Opponent18_D3,Opponent18_M2,Opponent18_F1,Huskies_D7,Huskies_M8,Huskies_F2,Opponent18_M5,Opponent18_M4,Opponent18_D4,Opponent18_F2,Huskies_G1,Opponent18_G1
36,Huskies,868.8397769999998,906.740511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True,
37,Opponent18,906.740511,917.8172369999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,
38,Huskies,917.8172369999999,979.58117,2.0,5.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,True,True,,,,,,True,,,,,,
39,Huskies,979.58117,1025.8420839999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,True,,,,,,,,
40,Opponent18,1025.8420839999999,1032.2929470000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,
41,Huskies,1032.2929470000001,1041.173587,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,True,,,,,,,,,,,,,,
42,Opponent18,1041.173587,1045.324003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,
43,Huskies,1045.324003,1091.85628,4.0,12.0,3.0,9.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,True,,True,,,True,,True,,,,True,True,True,,,,,,
44,Huskies,1091.85628,1134.7470210000001,1.0,8.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,True,True,True,,,,True,True,True,,,,,,
45,Huskies,1134.7470210000001,1192.51391,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,True,True,,,,,,True,,,,,,
46,Opponent18,1192.51391,1244.464776,3.0,9.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,True,True,,,,,True,True,,True,,True
47,Opponent18,1244.464776,1271.751034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,
48,Huskies,1271.751034,1318.409529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,
49,Opponent18,1318.409529,1327.973949,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,True,,,,,,,,,,
50,Opponent18,1327.973949,1341.2851890000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,True,,,,,,,,,,,
51,Huskies,1341.2851890000002,1367.023993,6.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,True,True,True,,,,,True,True,,,,,,
52,Opponent18,1367.023993,1401.498391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,,
53,Huskies,1401.498391,1408.6053140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,,
54,Opponent18,1408.6053140000001,1416.614599,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,True,,,,
55,Huskies,1416.614599,1459.643687,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,True,,,,,,,,,,,,
56,Huskies,1459.643687,1472.810368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,True,
57,Opponent18,1472.810368,1499.5049960000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,
58,Opponent18,1499.5049960000001,1549.4374890000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,
59,Opponent18,1549.4374890000001,1570.225596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True
60,Opponent18,1570.225596,1607.80042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,True,,,,,,,,,,,
61,Huskies,1607.80042,1614.5875529999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
62,Huskies,1614.5875529999998,1686.75512,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,True,,,,,,,True,,,,,,
63,Opponent18,1686.75512,1697.5342460000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,,
64,Opponent18,1697.5342460000002,1839.258145,1.0,6.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,True,True,,,,,True,True,True,,,
65,Huskies,1839.258145,1845.645307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,
66,Huskies,1845.645307,1859.993847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,True,
67,Huskies,1859.993847,1872.229504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,
68,Opponent18,1872.229504,1875.7286420000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,
69,Huskies,1875.7286420000003,1886.25201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,True,,,,,,
70,Huskies,1886.25201,1934.667637,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,True,,,,,,
71,Opponent18,1934.667637,1942.712292,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,,,True,,
72,Huskies,1942.712292,1977.926213,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,True,,,,,,,,,,,,,True,
73,Opponent18,1977.926213,1981.6767739999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,
74,Opponent18,1981.6767739999998,2004.764366,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,True,,,
75,Opponent18,2004.764366,2018.522279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,True,,,
76,Opponent18,2018.522279,2149.4370940000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,True,True,,,,
77,Huskies,2149.4370940000003,2159.784913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,
78,Opponent18,2159.784913,2242.4726370000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,True,,,,,,True,True,,,,
79,Opponent18,2242.4726370000003,2246.268292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,
80,Huskies,2246.268292,2269.805634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,,
81,Huskies,2269.805634,2315.6978440000003,3.0,10.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,True,True,,,,True,,True,,,,,,
82,Opponent18,2315.6978440000003,2399.230865,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,True,,,True
83,Huskies,2399.230865,2411.09748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,
84,Opponent18,2411.09748,2432.390859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,,,,,,,,,,
85,Opponent18,2432.390859,2484.974157,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,True,True,,,
86,Huskies,2484.974157,2572.067439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,,,,,,
87,Huskies,2572.067439,2576.267899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,
88,Opponent18,2576.267899,2579.15629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,
89,Huskies,2579.15629,2587.2194059999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,
90,Opponent18,2587.2194059999997,2613.101284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,,
91,Huskies,2613.101284,2630.1523899999997,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,True,,,,True,,,,,,,,
92,Opponent18,2630.1523899999997,2647.087425,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,True,,,,,True,True,,True,,
93,Huskies,2647.087425,2682.330514,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,True,,,,,,,,,,,True,
94,Opponent18,2682.330514,2694.65185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,,True
95,Huskies,2694.65185,2728.894866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,True,,,,,,,,
96,Huskies,2728.894866,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,
