,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M4,Huskies_D3,Huskies_M3,Huskies_D4,Huskies_M1,Huskies_F5,Huskies_G1,Huskies_D10,Huskies_D1,Huskies_M9,Huskies_D8,Opponent13_D2,Opponent13_D4,Opponent13_M8,Opponent13_M7,Opponent13_M2,Opponent13_D3,Opponent13_M1,Opponent13_D6,Opponent13_F1,Opponent13_G2,Opponent13_D5,Huskies_F4,Opponent13_M4,Opponent13_F2,Huskies_M2
43,Opponent13,1419.6559779999998,1425.741363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,
44,Opponent13,1425.741363,1516.9934489999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,
45,Huskies,1516.9934489999994,1522.0981000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,,,,,
46,Opponent13,1522.0981000000004,1560.3745950000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,,
47,Opponent13,1560.3745950000002,1616.9925050000004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,,,,,,
48,Huskies,1616.9925050000004,1622.0564560000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,
49,Opponent13,1622.0564560000007,1631.723435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True,,,,
50,Huskies,1631.723435,1634.746271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
51,Opponent13,1634.746271,1636.463742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,,,
52,Huskies,1636.463742,1652.5247769999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,True,,,,,,,,,,,,,,,
53,Huskies,1652.5247769999994,1673.0129800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,
54,Huskies,1673.0129800000007,1701.583689,4.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,True,,,True,True,True,,,,,,,,,,,,,,,,,
55,Opponent13,1701.583689,1714.7708380000006,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,True,,
56,Huskies,1714.7708380000006,1746.0439029999998,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,True,,,,,,,,,,,,,,,True,,,
57,Huskies,1746.0439029999998,1807.4957420000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,True,,,,,,,,,,,,,,,
58,Huskies,1807.4957420000003,1880.586079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,
59,Huskies,1880.586079,1899.618647,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
60,Huskies,1899.618647,1949.523029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,
61,Huskies,1949.523029,1966.759899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,,,,,,,,,,,
62,Opponent13,1966.759899,2101.180662,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,True,True,,,,,,,True,True,
63,Huskies,2101.180662,2175.552859000001,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,True
64,Huskies,2175.552859000001,2186.3354010000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,
65,Opponent13,2186.3354010000007,2227.1034550000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,,,True,
66,Huskies,2227.1034550000004,2273.415568000001,10.0,22.0,1.0,11.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,True,,True,True,True,,True,True,True,,True,,,,,,,,,,,,,,,True
67,Opponent13,2273.415568000001,2439.250048,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,,,,,,
68,Opponent13,2439.250048,2460.906966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,,True,,
69,Huskies,2460.906966,2474.322141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,True
70,Huskies,2474.322141,2526.374503,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,True,,,,,,,,,,,,,,,True,,,
71,Huskies,2526.374503,2555.086928,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,True,,True,True,,,True,,,,,,,,,,,,,,,
72,Huskies,2555.086928,2571.754921,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,,,,,,,,,,,,,,,
73,Huskies,2571.754921,2583.5781070000007,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,True,,,,,,,,,,,,,,,,,,
74,Huskies,2583.5781070000007,2598.865005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,True
75,Opponent13,2598.865005,2612.17023,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,True,True,
76,Huskies,2612.17023,2623.5486520000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,True,,,,,,,,,,,,,,,,,,True
77,Huskies,2623.5486520000004,2660.798596,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,,,,,,,,,,,,,,True
78,Opponent13,2660.798596,2666.727264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,True,
79,Huskies,2666.727264,2797.666647,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,,,,,,,,,,,,,,,,,,True
80,Huskies,2797.666647,2914.628501,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,True,,,
81,Huskies,2914.628501,2960.344532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,,,,True
82,Opponent13,2960.344532,2982.639795,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,True,,
83,Huskies,2982.639795,3003.033466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,,True,,,
84,Huskies,3003.033466,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
