,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent18_D1,Opponent14_F2,Opponent18_D2,Opponent18_M8,Opponent18_D3,Huskies_D8,Huskies_M1,Huskies_F2,Huskies_M3,Huskies_G1,Huskies_M12,Huskies_D1,Opponent18_M5,Opponent18_M1,Opponent18_D4,Opponent18_F3,Opponent18_G1,Opponent18_M7,Huskies_D3,Huskies_F6,Huskies_F5,Huskies_D4,Opponent18_F2,Huskies_M11,Huskies_D10,Huskies_M9
10,Opponent18,321.97129799999993,357.93809300000015,66.0,26.0,-40.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,True,,,,,,,,,,
11,Huskies,357.93809300000015,362.255615,28.0,21.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,,,,,
12,Opponent18,362.255615,367.66138,43.0,26.0,-17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,True,,,,,,,,
13,Huskies,367.66138,375.8539759999999,45.0,26.0,-19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,True,,,,,
14,Opponent18,375.8539759999999,398.54217000000017,12.0,26.0,14.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,True,,,,,,,,,,,,,
15,Huskies,398.54217000000017,425.75911700000006,15.0,26.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,True,,,,,
16,Opponent18,425.75911700000006,442.47366400000016,50.0,26.0,-24.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,True,,,,,,,,
17,Huskies,442.47366400000016,448.5837179999999,35.0,26.0,-9.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,True,,,,,,,,,,,,,,,
18,Huskies,448.5837179999999,451.11036299999984,23.0,31.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,,
19,Huskies,451.11036299999984,476.41981200000015,23.0,26.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,True,,,,,
20,Huskies,476.41981200000015,660.3183709999997,18.0,45.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
21,Huskies,660.3183709999997,671.5802090000002,31.0,26.0,-5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,True,,,,,
22,Huskies,671.5802090000002,729.0416930000001,68.0,26.0,-42.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,True,,,,,,
23,Opponent18,729.0416930000001,733.2601089999997,51.0,52.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
24,Huskies,733.2601089999997,744.9943549999997,38.0,26.0,-12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,True,,,,,,,,,,,,True,,,,
25,Opponent18,744.9943549999997,770.2740239999997,52.0,26.0,-26.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,True,,,,,,,,
26,Huskies,770.2740239999997,785.2105230000003,31.0,26.0,-5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,,,,,,,,True,True,,,,
27,Opponent18,785.2105230000003,828.3059079999997,22.0,26.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,True,,,,,,,,,
28,Huskies,828.3059079999997,858.0770309999997,25.0,34.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True,,,,
29,Opponent18,858.0770309999997,894.4752680000001,80.0,60.0,-20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,,,,,
30,Huskies,894.4752680000001,900.8460269999999,32.0,27.0,-5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,,,
31,Opponent18,900.8460269999999,927.91041,76.0,26.0,-50.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,True,,,,,,,,,,,,,
32,Huskies,927.91041,1000.8043980000003,22.0,26.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,True,,,,
33,Huskies,1000.8043980000003,1014.548984,66.0,26.0,-40.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,True,,,,,,,True,,,True,,,,
34,Opponent18,1014.548984,1017.7444800000003,7.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,,,,,
35,Huskies,1017.7444800000003,1046.7310280000004,63.0,70.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
36,Opponent18,1046.7310280000004,1057.3825029999996,60.0,26.0,-34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,True,,,True,,,,,,,,
37,Huskies,1057.3825029999996,1093.4648969999996,19.0,26.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,,,,,,,,,,,,
38,Opponent18,1093.4648969999996,1106.9219940000003,77.0,26.0,-51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,
39,Opponent18,1106.9219940000003,1119.701489,61.0,26.0,-35.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,True,,,,,,,,,,,,,
40,Huskies,1119.701489,1178.225915,11.0,4.0,-7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True,,,,
41,Huskies,1178.225915,1203.898728,77.0,26.0,-51.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,True,,,,,,,,,,,True,,,,
42,Huskies,1203.898728,1208.8303070000004,26.0,71.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,True,,,,,
43,Opponent18,1208.8303070000004,1215.7408939999996,30.0,26.0,-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,True,,,,,,,,
44,Huskies,1215.7408939999996,1245.033628,37.0,26.0,-11.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,True,,,,,,,,,,,,,,,
45,Huskies,1245.033628,1252.1557679999996,27.0,26.0,-1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,True,,,,
46,Opponent18,1252.1557679999996,1266.8019729999996,52.0,26.0,-26.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,True,,,,True,,,,,,,,
47,Opponent18,1266.8019729999996,1281.217721,83.0,86.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,True,,,
48,Huskies,1281.217721,1286.6292449999999,34.0,28.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True,,,,
49,Opponent18,1286.6292449999999,1310.696822,30.0,26.0,-4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,True,,,,,,,,,,
50,Opponent18,1310.696822,1322.5259779999994,64.0,26.0,-38.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,True,,,,,,,,
51,Huskies,1322.5259779999994,1325.8069189999997,22.0,36.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,
52,Opponent18,1325.8069189999997,1332.8108039999995,58.0,65.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,
53,Opponent18,1332.8108039999995,1446.681536,78.0,93.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,,,,,
54,Opponent18,1446.681536,1495.1795739999998,73.0,80.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,
55,Opponent18,1495.1795739999998,1553.1140450000007,37.0,26.0,-11.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,,,,,,True,,,
56,Opponent18,1553.1140450000007,1662.262012,77.0,88.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,,,
57,Huskies,1662.262012,1681.0100989999999,61.0,97.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,,
58,Opponent18,1681.0100989999999,1715.8325089999996,11.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,,,,
59,Huskies,1715.8325089999996,1728.9607999999996,61.0,26.0,-35.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,True,True,,,,
60,Opponent18,1728.9607999999996,1739.6733720000002,10.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,,,,,
61,Huskies,1739.6733720000002,1775.5945979999995,27.0,26.0,-1.0,2.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,,,,,True,True,True,True,,True,,
62,Huskies,1775.5945979999995,1797.9560979999994,25.0,26.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,,,,,,,,,True,,,,
63,Opponent18,1797.9560979999994,1815.291144,16.0,26.0,10.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,True,True,,,,,,,,,,,
64,Huskies,1815.291144,1819.7152600000002,40.0,52.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
65,Opponent18,1819.7152600000002,1881.309574,53.0,52.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,,,,
66,Opponent18,1881.309574,1923.041884,74.0,26.0,-48.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,True,,,,,,,,
67,Opponent18,1923.041884,1999.392601,94.0,89.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,True,,,
68,Opponent18,1999.392601,2029.707091,62.0,82.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,
69,Huskies,2029.707091,2042.8647570000005,27.0,35.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,True,,
70,Opponent18,2042.8647570000005,2075.020148,37.0,31.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,
71,Huskies,2075.020148,2174.4344,45.0,26.0,-19.0,9.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,True,,,,True,,,,,,,,True,,,,True,,
72,Huskies,2174.4344,2189.485344,27.0,26.0,-1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,True,,True,,,,,
73,Opponent18,2189.485344,2222.259873,39.0,26.0,-13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,,,,,,
74,Huskies,2222.259873,2230.999907000001,24.0,35.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,
75,Opponent18,2230.999907000001,2321.842628000001,58.0,72.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,True,,,
76,Huskies,2321.842628000001,2329.4468739999998,25.0,77.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,,,,,
77,Opponent18,2329.4468739999998,2338.321236,36.0,45.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,True,,,
78,Huskies,2338.321236,2352.287197,66.0,26.0,-40.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,True,,,True,,True,True,
79,Opponent18,2352.287197,2382.6151800000002,22.0,26.0,4.0,0.0,0.0,2.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,True,True,True,True,,True,,,,,True,,,
80,Opponent18,2382.6151800000002,2494.662143,65.0,90.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,,,,,
81,Huskies,2494.662143,2526.038968,25.0,26.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,True,True,True,,,True,
82,Huskies,2526.038968,2614.150928,93.0,26.0,-67.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,True,True,,,True,
83,Huskies,2614.150928,2619.38635,18.0,12.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,True,,
84,Huskies,2619.38635,2623.379615,37.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,,True
85,Huskies,2623.379615,2637.411868,39.0,26.0,-13.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,True,,True,True,
86,Opponent18,2637.411868,2682.375301,26.0,10.0,-16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,,,,,
87,Opponent18,2682.375301,2723.732152,62.0,46.0,-16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,
88,Opponent18,2723.732152,2740.3833780000004,70.0,52.0,-18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,
89,Opponent18,2740.3833780000004,2780.316132,55.0,64.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,
90,Huskies,2780.316132,2796.885553,83.0,26.0,-57.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,True,,True
91,Huskies,2796.885553,3900.0,97.0,26.0,-71.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,True,,True,,
