,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D6,Huskies_M6,Opponent16_D2,Opponent16_M1,Opponent16_D1,Opponent16_F1,Opponent16_D4,Opponent16_F2,Opponent16_M2,Opponent16_M3,Huskies_D2,Huskies_M4,Huskies_D5,Opponent16_D3,Opponent16_G1,Huskies_M1,Huskies_D7,Huskies_F2,Huskies_F1,Huskies_F4,Opponent16_F3,Huskies_G1
31,Opponent16,919.653782,992.731019,59.0,31.0,-28.0,1.0,0.0,9.0,14.0,8.0,19.0,0.0,1.0,7.0,9.0,3.0,2.0,1.0,1.0,0.0,,,True,True,True,True,True,,True,True,,,,True,True,,,,,,True,
32,Opponent16,992.731019,1046.577851,63.0,31.0,-32.0,7.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,True,True,True,,,,True,,,,,,,True,
33,Opponent16,1046.577851,1107.085796,58.0,31.0,-27.0,3.0,0.0,6.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,,True,True,True,True,True,,,,True,,,,,,,,
34,Opponent16,1107.085796,1119.142709,29.0,31.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,True,
35,Opponent16,1119.142709,1158.330283,37.0,31.0,-6.0,2.0,0.0,2.0,8.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,,,,,True,,,,,,,,
36,Huskies,1158.330283,1163.3360519999999,12.0,56.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
37,Opponent16,1163.3360519999999,1202.643353,47.0,31.0,-16.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,True,,,,True,,,,,,,,
38,Opponent16,1202.643353,1239.752159,39.0,31.0,-8.0,2.0,0.0,3.0,9.0,3.0,8.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,,,True,True,True,,True,,,True,,,,True,,,,,,,True,
39,Opponent16,1239.752159,1244.237054,68.0,84.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
40,Huskies,1244.237054,1301.934579,7.0,23.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,,,,,,,,
41,Opponent16,1301.934579,1420.053139,52.0,31.0,-21.0,7.0,0.0,4.0,12.0,4.0,8.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,True,,True,,,,True,,,,,,,True,
42,Opponent16,1420.053139,1431.621124,32.0,31.0,-1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,True,,,,,,,,,,,,True,
43,Huskies,1431.621124,1434.594553,45.0,41.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
44,Opponent16,1434.594553,1446.268932,33.0,48.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
45,Huskies,1446.268932,1448.172832,55.0,57.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
46,Opponent16,1448.172832,1465.2804800000001,39.0,31.0,-8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,True,,,,,,,,
47,Opponent16,1465.2804800000001,1481.0630529999999,65.0,31.0,-34.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,,,,,,,,,,,,,,
48,Opponent16,1481.0630529999999,1510.222712,95.0,89.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,
49,Huskies,1510.222712,1523.093028,68.0,31.0,-37.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,True,True,True,,
50,Opponent16,1523.093028,1545.000949,34.0,31.0,-3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,True,,,,,,,
51,Huskies,1545.000949,1556.627883,52.0,31.0,-21.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,True,True,,
52,Opponent16,1556.627883,1578.4439960000002,10.0,31.0,21.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,True,,True,,True,,,,True,,,,,,,,
53,Opponent16,1578.4439960000002,1607.032829,66.0,31.0,-35.0,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,True,True,True,,,,,True,,,,,,,,
54,Opponent16,1607.032829,1608.9404029999998,71.0,69.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
55,Huskies,1608.9404029999998,1614.001447,11.0,37.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
56,Opponent16,1614.001447,1706.670829,67.0,66.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,
57,Huskies,1706.670829,1720.787516,45.0,31.0,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,True
58,Opponent16,1720.787516,1762.198588,18.0,31.0,13.0,2.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,True,,,,,True,True,,,,,,,
59,Opponent16,1762.198588,1817.4513239999999,54.0,31.0,-23.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,True,,,,,,,,,,,,
60,Opponent16,1817.4513239999999,1869.6502670000002,71.0,31.0,-40.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,True,,,,,,,,
61,Huskies,1869.6502670000002,1873.6637,55.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
62,Opponent16,1873.6637,1895.656316,33.0,31.0,-2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,True,
63,Opponent16,1895.656316,1922.093615,93.0,31.0,-62.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,True,,,,True,,,,,,,,
64,Opponent16,1922.093615,1949.3964010000002,76.0,31.0,-45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,True,True,,,,,,,,,,,,,
65,Opponent16,1949.3964010000002,1975.0736600000002,45.0,31.0,-14.0,2.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,True,,True,,,,,True,,,,,,,,
66,Opponent16,1975.0736600000002,1981.6773219999998,79.0,92.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,
67,Opponent16,1981.6773219999998,1996.789942,68.0,31.0,-37.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,True,,,,,,,,
68,Opponent16,1996.789942,2054.291673,80.0,31.0,-49.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,True,,,,,,,,
69,Huskies,2054.291673,2108.783382,70.0,82.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
70,Huskies,2108.783382,2211.572948,53.0,38.0,-15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,
71,Opponent16,2211.572948,2227.116072,51.0,31.0,-20.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,True,True,,,,,,,,,,,True,
72,Opponent16,2227.116072,2242.77903,70.0,31.0,-39.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,True,,,,,,,,
73,Huskies,2242.77903,2257.211461,20.0,31.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,True,,
74,Opponent16,2257.211461,2301.0639079999996,49.0,31.0,-18.0,0.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,True,True,,,,,True,,,,,,,,
75,Opponent16,2301.0639079999996,2337.110478,54.0,31.0,-23.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,True,True,,,,,,,,,,,,
76,Opponent16,2337.110478,2387.884859,73.0,31.0,-42.0,0.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,True,,,,True,,,,,,,,
77,Huskies,2387.884859,2396.351154,13.0,78.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
78,Opponent16,2396.351154,2472.479675,14.0,31.0,17.0,2.0,0.0,4.0,9.0,2.0,6.0,0.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,,,,True,,True,True,,True,True,,,,True,True,,,,,,,
79,Opponent16,2472.479675,2587.168407,39.0,31.0,-8.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,True,,,,,,,,,,,,True,
80,Opponent16,2587.168407,2592.565693,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,
81,Huskies,2592.565693,2599.039911,17.0,9.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,True
82,Opponent16,2599.039911,2602.647178,30.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
83,Huskies,2602.647178,2608.146714,30.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,True,,,,
84,Opponent16,2608.146714,2643.0211280000003,28.0,31.0,3.0,0.0,0.0,4.0,7.0,2.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,True,,,,True,,,,,,,,
85,Opponent16,2643.0211280000003,2727.0689239999997,79.0,31.0,-48.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,True,,True,,,,True,,,,,,,,
86,Opponent16,2727.0689239999997,2742.543569,38.0,37.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,
87,Opponent16,2742.543569,2798.161006,62.0,69.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,
88,Huskies,2798.161006,2823.7964660000002,65.0,39.0,-26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,True,,,,
89,Opponent16,2823.7964660000002,3900.0,10.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,
