,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent2_F1,Opponent2_D2,Opponent2_D4,Opponent2_M1,Opponent2_M4,Huskies_F6,Huskies_F2,Huskies_D8,Huskies_D3,Opponent2_M3,Opponent2_D1,Opponent2_M2,Opponent2_F3,Opponent2_D6,Huskies_M3,Huskies_F5,Huskies_M12,Opponent2_G1,Huskies_F1,Huskies_G1,Huskies_M4,Huskies_D4,Huskies_D1,Opponent2_M5,Huskies_M11,Opponent2_M6,Huskies_F4,Opponent2_D5
58,Huskies,2260.040119,2287.806510000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,
59,Huskies,2287.806510000001,2304.353373,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,True,,,True,,,
60,Huskies,2304.353373,2312.6052040000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,
61,Huskies,2312.6052040000004,2331.533026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,
62,Opponent2,2331.533026,2412.723102,6.0,10.0,4.0,14.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,True,True,,True,,,,True,,,,,,True,,True,,
63,Opponent2,2412.723102,2435.039856000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,True,,,,,,,,,,,,,,True,,
64,Opponent2,2435.039856000001,2510.787416,5.0,18.0,2.0,9.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,True,True,True,True,,,,,,,True,True,,True,,,,,,,,,,True,,,,
65,Opponent2,2510.787416,2523.3860170000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,,,,,,,,,,,,,,,
66,Huskies,2523.3860170000003,2530.830292,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,True,,,
67,Opponent2,2530.830292,2576.876728,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,True
68,Opponent2,2576.876728,2611.896912,10.0,21.0,0.0,6.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,True,,,,,,,True,,,,,,True,,True,,
69,Huskies,2611.896912,2644.4714719999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,True,,,True,,,,,
70,Opponent2,2644.4714719999997,2665.048634,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,True,,,,,,,True,,,,,,,,True,,
71,Huskies,2665.048634,2740.2412280000003,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,True,True,,True,,,
72,Opponent2,2740.2412280000003,2765.035105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,
73,Huskies,2765.035105,2782.889098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,
74,Huskies,2782.889098,2801.609110000001,2.0,7.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,True,,,,,True,,True,
75,Huskies,2801.609110000001,2808.70381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,
76,Opponent2,2808.70381,2812.651592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True
77,Huskies,2812.651592,2829.9754139999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,
78,Huskies,2829.9754139999995,2841.335712,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,,True,,,,,
79,Opponent2,2841.335712,3900.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,True,,,,,,,,,,,,True,,True,,
