,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F5,Huskies_M1,Huskies_D4,Huskies_F4,Huskies_M3,Huskies_D3,Huskies_M4,Huskies_M2,Opponent14_M3,Opponent14_M6,Huskies_D8,Opponent14_D1,Opponent14_M5,Huskies_G1,Opponent14_G2,Opponent14_D4,Opponent14_F1,Opponent14_M1,Opponent14_M4,Opponent14_D6,Opponent14_D2,Huskies_F6,Huskies_M12,Opponent14_M2,Opponent14_D7
59,Opponent14,2006.5572540000005,2015.2233880000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,True,,,,,,,
60,Opponent14,2015.2233880000006,2045.357773,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,True,True,,,,,,
61,Opponent14,2045.357773,2054.502239000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,,,,,
62,Opponent14,2054.502239000001,2067.135146,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,True,,,,
63,Opponent14,2067.135146,2096.4996260000003,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,True,True,True,True,True,,,,
64,Huskies,2096.4996260000003,2107.691235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,,,,,,,,,,
65,Huskies,2107.691235,2186.683156,9.0,17.0,3.0,10.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,True,True,,,True,,,,,,,,,,,True,,,
66,Opponent14,2186.683156,2281.596126000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,,,,
67,Huskies,2281.596126000001,2289.9234030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,
68,Opponent14,2289.9234030000002,2292.455882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
69,Huskies,2292.455882,2347.177197,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,True,,,,,,,,,,,True,True,,
70,Huskies,2347.177197,2461.397214,3.0,10.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,True,,,,,,,,,,,True,,,
71,Huskies,2461.397214,2515.5557510000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,True,,
72,Opponent14,2515.5557510000003,2614.4780539999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,True,,,,,,
73,Huskies,2614.4780539999997,2668.90513,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,True,,,,,,,,,,,,,,True,True,,
74,Huskies,2668.90513,2714.0041680000004,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,True,,,,,,,,,,,,,,True,,,
75,Opponent14,2714.0041680000004,3900.0,9.0,29.0,6.0,15.0,4.0,0.0,5.0,0.0,15.0,3.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,True,True,,True,True,,,,True,True
