,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_G1,Huskies_D3,Huskies_D5,Opponent10_M2,Opponent10_M3,Huskies_F4,Huskies_D8,Huskies_M4,Huskies_F2,Huskies_M1,Opponent10_M5,Opponent10_G1,Opponent10_M7,Opponent10_D5,Opponent10_F2,Opponent10_D3,Opponent10_D6,Opponent10_M6,Opponent10_F1,Huskies_M6
49,Huskies,1433.458304,1452.916025,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,True,True,,,,,,,,,,,
50,Huskies,1452.916025,1547.143699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True
51,Huskies,1547.143699,1589.8366210000002,4.0,10.0,2.0,8.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,True,True,,True,,,,,,,,,,True
52,Huskies,1589.8366210000002,1602.000371,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,True,True,True,,,,,,,,,,
53,Opponent10,1602.000371,1614.704949,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,True,,True,,
54,Huskies,1614.704949,1679.05217,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,True,True,,,,,,,,,,True
55,Opponent10,1679.05217,1686.187871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
56,Huskies,1686.187871,1741.498543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,
57,Huskies,1741.498543,1819.7002530000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,True
58,Huskies,1819.7002530000002,1826.6652179999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,,,,,,,,,,
59,Huskies,1826.6652179999999,1829.621603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,
60,Opponent10,1829.621603,1838.2708260000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,
61,Opponent10,1838.2708260000002,2032.231096,5.0,12.0,3.0,10.0,1.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,True,,True,,True,,,
62,Huskies,2032.231096,2066.175686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
63,Opponent10,2066.175686,2074.7754370000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,True,,
64,Opponent10,2074.7754370000002,2087.473203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
65,Opponent10,2087.473203,2110.420391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,True,,,
66,Huskies,2110.420391,2119.21571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,,,,,,,,,,,,
67,Huskies,2119.21571,2183.213722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,True,,,,,,,,,,,,
68,Huskies,2183.213722,2243.927654,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,True
69,Opponent10,2243.927654,2254.248145,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,True,,True,,,,,
70,Opponent10,2254.248145,2283.791277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,
71,Huskies,2283.791277,2389.98326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,True
72,Opponent10,2389.98326,2446.441702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,
73,Huskies,2446.441702,2474.080985,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,True,True,True,True,,,,,,,,,,
74,Opponent10,2474.080985,2490.946222,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,True,,,
75,Huskies,2490.946222,2505.188418,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,True,,True,,,,,,,,,,
76,Huskies,2505.188418,2548.210293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,
77,Huskies,2548.210293,2577.836842,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,True,,True,,,,,,,,,,,
78,Huskies,2577.836842,2607.737735,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,True,,,,,,,,,,True
79,Opponent10,2607.737735,2637.325238,2.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,True,True,,True,True,True,,
80,Huskies,2637.325238,2657.711234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,
81,Huskies,2657.711234,2662.348464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True
82,Opponent10,2662.348464,2712.780747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
83,Huskies,2712.780747,2742.354808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True
84,Huskies,2742.354808,2791.467982,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,True,True,,,True,,,,,,,,,,
85,Opponent10,2791.467982,3900.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,True,
