,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F5,Huskies_M12,Opponent16_F3,Opponent16_F6,Huskies_D4,Huskies_M3,Huskies_M4,Opponent16_M1,Opponent16_M4,Huskies_D3,Huskies_D8,Opponent13_D1,Opponent16_D1,Opponent16_M3,Opponent16_D4,Huskies_F2,Huskies_G1,Opponent16_F1,Opponent16_D5,Opponent16_G2
58,Huskies,1509.4271880000001,1523.2617599999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,True,,,,
59,Opponent16,1523.2617599999999,1535.778655,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,True,,True
60,Opponent16,1535.778655,1606.484187,2.0,7.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,True,True,True,,,,,True
61,Opponent16,1606.484187,1640.066299,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,True,,,,,True,
62,Opponent16,1640.066299,1666.4965630000002,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,True,True,,,,True,
63,Opponent16,1666.4965630000002,1699.8661949999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
64,Opponent16,1699.8661949999998,1783.4609289999999,4.0,8.0,3.0,9.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,True,True,,,True,True,True,True,,,,,True
65,Opponent16,1783.4609289999999,1793.995177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
66,Huskies,1793.995177,1813.9029719999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,,,
67,Opponent16,1813.9029719999999,1831.536892,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,True,True,,True,,,,,True
68,Opponent16,1831.536892,1855.298869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,
69,Opponent16,1855.298869,1894.879336,5.0,15.0,5.0,14.0,0.0,0.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,,,,,True,True,,,,True,True,,,True,,True,True,,,,,
70,Opponent16,1894.879336,1913.140994,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,True,True,,,,,
71,Opponent16,1913.140994,1958.067746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,
72,Opponent16,1958.067746,2001.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,True
73,Opponent16,2001.09,2099.748678,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,True,,,,True,,
74,Opponent16,2099.748678,2119.252407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,True,,,,,
75,Huskies,2119.252407,2188.079207,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,True,True,,,,,True,,,,
76,Huskies,2188.079207,2202.298406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,True,,,,,,,,,
77,Huskies,2202.298406,2230.7143760000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,,,,
78,Opponent16,2230.7143760000004,2247.606163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
79,Opponent16,2247.606163,2260.581063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,True,
80,Opponent16,2260.581063,2280.945736,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,True,True,,,,,
81,Huskies,2280.945736,2287.3699739999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,,,,
82,Opponent16,2287.3699739999997,2298.929963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,True
83,Huskies,2298.929963,2310.945798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
84,Opponent16,2310.945798,2381.817818,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,,,True,,,True,,,,True,
85,Opponent16,2381.817818,2392.0050260000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,
86,Opponent16,2392.0050260000003,2402.664056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
87,Huskies,2402.664056,2407.483538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,
88,Opponent16,2407.483538,2487.366962,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,,,,,True,,,,,True,
89,Opponent16,2487.366962,2572.04038,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,True,
90,Opponent16,2572.04038,2620.368098,8.0,13.0,6.0,14.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,True,,True,,,,True,True
91,Opponent16,2620.368098,2626.029626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
92,Opponent16,2626.029626,2696.160267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,
93,Huskies,2696.160267,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,
