,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent3_M2,Opponent3_F2,Opponent3_F4,Opponent3_M5,Opponent3_M3,Opponent3_M4,Opponent3_D5,Huskies_D7,Huskies_D3,Huskies_D1,Huskies_F3,Huskies_M6,Opponent3_G1,Opponent3_D2,Huskies_D2,Huskies_M11,Opponent3_D4,Huskies_G1,Huskies_F1,Huskies_M3,Huskies_D5,Opponent3_D1,Opponent3_M1,Opponent3_F3,Opponent3_D6
10,Opponent3,359.7089569999998,381.29943,77.0,84.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,381.29943,397.30821699999984,26.0,77.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,,,,
12,Opponent3,397.30821699999984,400.1974030000002,36.0,31.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,
13,Huskies,400.1974030000002,416.53206800000004,50.0,40.0,-10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,True,True,,,,,,
14,Huskies,416.53206800000004,419.7798349999998,59.0,65.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,,,,,
15,Huskies,419.7798349999998,452.6383099999998,59.0,91.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,,,,
16,Huskies,452.6383099999998,496.87610799999993,88.0,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,
17,Opponent3,496.87610799999993,510.585908,12.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,
18,Huskies,510.585908,530.6991029999998,21.0,40.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,True,,,,
19,Huskies,530.6991029999998,536.6387180000002,54.0,40.0,-14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,
20,Huskies,536.6387180000002,550.761336,55.0,40.0,-15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,True,True,,,,
21,Huskies,550.761336,559.353083,64.0,40.0,-24.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,True,True,,,,
22,Opponent3,559.353083,599.262882,20.0,40.0,20.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,,,,,,,,
23,Huskies,599.262882,611.715103,34.0,25.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,,,
24,Opponent3,611.715103,621.9985590000001,30.0,40.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,True,,,
25,Huskies,621.9985590000001,780.3952140000001,27.0,40.0,13.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,True,True,,,,,,,,,
26,Opponent3,780.3952140000001,792.1201970000003,14.0,40.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,,,,
27,Opponent3,792.1201970000003,798.9115849999997,35.0,40.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,True,,,
28,Huskies,798.9115849999997,803.90767,44.0,40.0,-4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,True,,,,,,,,,
29,Opponent3,803.90767,806.9392480000001,37.0,36.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True,,,
30,Huskies,806.9392480000001,814.472867,55.0,64.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,
31,Opponent3,814.472867,857.0655969999997,53.0,40.0,-13.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,True,True,,,,,,,,,,,,,,,,,,,
32,Opponent3,857.0655969999997,874.881265,30.0,40.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,,,,,,,,True,,,
33,Huskies,874.881265,928.8037619999999,48.0,40.0,-8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,True,,,True,,True,,,,
34,Huskies,928.8037619999999,935.6298350000003,67.0,71.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,
35,Huskies,935.6298350000003,938.607349,75.0,84.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,
36,Opponent3,938.607349,950.6365689999997,14.0,40.0,26.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,True,,,,,,,,,,,,,,,,,,,
37,Huskies,950.6365689999997,986.251424,27.0,40.0,13.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,True,True,True,True,,,,
38,Opponent3,986.251424,1012.76991,35.0,56.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,
39,Opponent3,1012.76991,1028.671848,66.0,40.0,-26.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,True,True,,True,,,,,,,,,,,,,,,True,,,
40,Opponent3,1028.671848,1069.369288,84.0,82.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,
41,Opponent3,1069.369288,1108.589833,26.0,40.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,,,,,,True,,,,,,,,True,,,
42,Huskies,1108.589833,1126.3133369999996,63.0,52.0,-11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,
43,Huskies,1126.3133369999996,1140.1029589999996,48.0,40.0,-8.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,True,,,True,,True,,,,
44,Opponent3,1140.1029589999996,1143.339011,16.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,True,,
45,Huskies,1143.339011,1151.41936,60.0,73.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,,,,
46,Huskies,1151.41936,1157.0221570000006,66.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,,,,
47,Opponent3,1157.0221570000006,1186.3455679999995,32.0,36.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,
48,Opponent3,1186.3455679999995,1214.1197920000004,42.0,40.0,-2.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,,,True,True,,,,,,,,,,,,,True,,,,,True,,,
49,Opponent3,1214.1197920000004,1233.4131730000001,66.0,40.0,-26.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,True,True,,
50,Opponent3,1233.4131730000001,1247.2796019999996,91.0,40.0,-51.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,True,,
51,Opponent3,1247.2796019999996,1257.517549,70.0,40.0,-30.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,,,,,,
52,Opponent3,1257.517549,1275.4563719999996,67.0,40.0,-27.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,True,,
53,Opponent3,1275.4563719999996,1327.5243,42.0,40.0,-2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,True,,,,,,,,True,True,,
54,Huskies,1327.5243,1329.5602639999995,63.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,,,,
55,Opponent3,1329.5602639999995,1348.1363359999996,28.0,40.0,12.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,,,True,,,,,,,,
56,Opponent3,1348.1363359999996,1355.08576,39.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,True,,,,,,,,
57,Huskies,1355.08576,1374.8339480000006,46.0,40.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,
58,Opponent3,1374.8339480000006,1385.971901,62.0,40.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,
59,Opponent3,1385.971901,1399.619245,84.0,40.0,-44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,True,,
60,Opponent3,1399.619245,1410.2885740000004,84.0,80.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,
61,Opponent3,1410.2885740000004,1420.5710660000007,93.0,40.0,-53.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,,,,,,,,,,,,,,,True,,
62,Opponent3,1420.5710660000007,1427.687734,76.0,40.0,-36.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,True,,
63,Opponent3,1427.687734,1443.256561,69.0,74.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,True,,
64,Opponent3,1443.256561,1453.3691740000006,75.0,40.0,-35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,True,,
65,Opponent3,1453.3691740000006,1530.627576,58.0,40.0,-18.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,True,,,,,,,,,,,
66,Huskies,1530.627576,1555.1502170000006,47.0,40.0,-7.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,True,True,,,,
67,Opponent3,1555.1502170000006,1565.805131,26.0,27.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,,,
68,Opponent3,1565.805131,1597.7161070000002,67.0,40.0,-27.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,True,,,,,,,True,
69,Huskies,1597.7161070000002,1607.2287180000005,16.0,75.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,,,,
70,Opponent3,1607.2287180000005,1611.13105,18.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,
71,Huskies,1611.13105,1652.750852,54.0,40.0,-14.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,True,,,,True,,,,,
72,Opponent3,1652.750852,1664.490328,31.0,40.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,,,,True,True,,
73,Huskies,1664.490328,1679.9006769999994,32.0,40.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,True,,,,,,
74,Opponent3,1679.9006769999994,1729.7295169999998,50.0,40.0,-10.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,True,True,
75,Opponent3,1729.7295169999998,1767.1250309999994,26.0,40.0,14.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,True,,,,,,True,True,,,,,,,,True,True,,
76,Huskies,1767.1250309999994,1784.956005,34.0,40.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,True,,,,,
77,Opponent3,1784.956005,1877.5352100000002,41.0,40.0,-1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,True,True,True,
78,Opponent3,1877.5352100000002,1943.094355,36.0,40.0,4.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,True,,,,,,,,,True,True,,
79,Huskies,1943.094355,1959.4124330000006,28.0,40.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,True,,True,,,,,
80,Opponent3,1959.4124330000006,1982.595995,36.0,40.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,True,True,,
81,Huskies,1982.595995,1992.1058289999999,13.0,40.0,27.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,True,,,,
82,Huskies,1992.1058289999999,2005.974353,52.0,40.0,-12.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,True,,,,,,
83,Opponent3,2005.974353,2088.542092,32.0,40.0,8.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,,True,,
84,Opponent3,2088.542092,2136.587085,78.0,40.0,-38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,True
85,Huskies,2136.587085,2184.408633,12.0,40.0,28.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,True,,,,,,,
86,Opponent3,2184.408633,2193.857731,95.0,90.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,,True
87,Huskies,2193.857731,2200.550154,4.0,32.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,
88,Opponent3,2200.550154,2234.298438,68.0,40.0,-28.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,True,,
89,Huskies,2234.298438,2246.468725,27.0,23.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,
90,Huskies,2246.468725,2310.908433,23.0,40.0,17.0,0.0,0.0,8.0,16.0,3.0,7.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,True,True,,,True,True,True,,,,
91,Opponent3,2310.908433,2373.6409240000007,30.0,40.0,10.0,5.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,,True,,True
92,Opponent3,2373.6409240000007,2413.863016,34.0,40.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,True,True,,
93,Opponent3,2413.863016,2462.677315,78.0,40.0,-38.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,,,True
94,Opponent3,2462.677315,2486.9976460000003,78.0,83.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,
95,Huskies,2486.9976460000003,2495.490057,15.0,65.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,,,,
96,Huskies,2495.490057,2503.030232,59.0,40.0,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,True,,,,,
97,Opponent3,2503.030232,2520.43582,32.0,40.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,True,True,,
98,Huskies,2520.43582,2552.6542219999997,27.0,21.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,,,,
99,Opponent3,2552.6542219999997,2574.229953,41.0,40.0,-1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,True,,,,,True,True,,
100,Opponent3,2574.229953,2672.5161820000008,38.0,40.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,True,True,,True
101,Huskies,2672.5161820000008,2675.984368000001,84.0,73.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,,,
102,Opponent3,2675.984368000001,2677.804831000001,21.0,40.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,
103,Huskies,2677.804831000001,2740.868675,64.0,40.0,-24.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,True,,,,,
104,Opponent3,2740.868675,2761.4195059999997,78.0,40.0,-38.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,True,,,True,,,,,,,,
105,Opponent3,2761.4195059999997,2773.125454,72.0,40.0,-32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,True,,
106,Opponent3,2773.125454,2810.176968,83.0,90.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,True
107,Opponent3,2810.176968,2846.180343,24.0,40.0,16.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,True,,,,,True,True,,True
108,Huskies,2846.180343,2894.345796,7.0,0.0,-7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,,,
