,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent14_F1,Opponent14_D5,Opponent14_D2,Opponent14_M4,Huskies_M3,Huskies_D8,Opponent14_M1,Opponent14_M3,Opponent14_D6,Opponent14_M5,Huskies_M1,Huskies_D10,Huskies_D1,Huskies_M4,Huskies_D3,Huskies_F4,Opponent14_D4,Opponent14_G2,Huskies_D4,Opponent14_D1,Huskies_F5,Huskies_G1,Opponent14_M6
18,Opponent14,478.658326,510.607501,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,True,,True,,,,,,,,,,True,,,
19,Opponent14,510.607501,517.228425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,
20,Opponent14,517.228425,529.21409,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,,,,,,,,,True,,,
21,Opponent14,529.21409,553.005095,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,,,True,,,True,,,,,,,,,,,,,
22,Opponent14,553.005095,560.017638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,
23,Opponent14,560.017638,584.3623230000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,,
24,Huskies,584.3623230000001,614.928963,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,True,,,True,,True,,
25,Opponent14,614.928963,633.022325,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,True,,,
26,Huskies,633.022325,643.429382,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,,,True,,,,,,,
27,Opponent14,643.429382,664.1726639999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,
28,Opponent14,664.1726639999999,672.062043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,,
29,Huskies,672.062043,743.541432,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,True,True,,,,,,,
30,Opponent14,743.541432,756.288943,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,True,,,,True,,,,,,,,,,,,,,,,
31,Huskies,756.288943,781.273057,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,True,,,,,True,,
32,Opponent14,781.273057,786.772034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,
33,Opponent14,786.772034,808.766837,2.0,8.0,1.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,,,,,True,,True,True,,,,,,,,,,True,,,
34,Opponent14,808.766837,1106.482617,3.0,9.0,1.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,True,True,True,,,,,,,,True,,,,,,
35,Huskies,1106.482617,1272.572527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,True,,
36,Huskies,1272.572527,1295.12374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,
37,Huskies,1295.12374,1311.621753,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,True,,,,,,,,True,,
38,Opponent14,1311.621753,1320.919313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,
39,Opponent14,1320.919313,1368.023176,7.0,17.0,4.0,17.0,0.0,1.0,5.0,7.0,6.0,2.0,1.0,1.0,0.0,True,,True,True,,,True,True,True,True,,,,,,,True,,,True,,,True
40,Huskies,1368.023176,1377.549139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,True,,
41,Opponent14,1377.549139,1418.946281,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,True,True,,,,,True
42,Huskies,1418.946281,1424.058879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,,
43,Opponent14,1424.058879,1429.241524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,
44,Opponent14,1429.241524,1436.5669560000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,
45,Huskies,1436.5669560000001,1490.6851279999998,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,True,True,,,,,True,,True,,
46,Opponent14,1490.6851279999998,1513.737282,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,True,,,,,,,,True,,,,,
47,Opponent14,1513.737282,1574.999828,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,True,,True,,,,,,,,,,True,,,
48,Opponent14,1574.999828,1595.671632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,,
49,Huskies,1595.671632,1624.21033,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,True,
50,Huskies,1624.21033,1631.485894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,True,,,,,,,
51,Opponent14,1631.485894,1796.9694690000001,5.0,13.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,True,,,,,,,True,,,True,,,
52,Opponent14,1796.9694690000001,1812.1700329999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,,True,,,,,
53,Opponent14,1812.1700329999999,1885.013516,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,True,,,,,True
54,Opponent14,1885.013516,1939.857535,2.0,9.0,1.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,True,,,,True,True,,True,,,,,,,True,,,,,,
55,Opponent14,1939.857535,2032.783025,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,,,,,,True
56,Opponent14,2032.783025,2040.431216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,
57,Opponent14,2040.431216,2069.7378710000003,2.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,True,,,True,,,True,,,,,,,True,,,,,,True
58,Huskies,2069.7378710000003,2094.840349,3.0,9.0,1.0,6.0,2.0,2.0,3.0,2.0,6.0,0.0,2.0,0.0,0.0,,,,,True,True,,,,,True,,True,True,,True,,,,,,,
59,Huskies,2094.840349,2106.181216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,
60,Opponent14,2106.181216,2169.206175,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,True,,,,,True
61,Opponent14,2169.206175,2188.530852,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,True,,,,,
62,Huskies,2188.530852,2255.59824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,,
63,Huskies,2255.59824,2271.743447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,
64,Opponent14,2271.743447,2356.4367829999997,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,True,,,,,,,,,,True,,,True
65,Huskies,2356.4367829999997,2360.1768260000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,
66,Huskies,2360.1768260000003,2363.5635350000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,True,,
67,Opponent14,2363.5635350000002,2374.5835460000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,,,,,,
68,Huskies,2374.5835460000003,2392.372131,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,True,,True,True,
69,Opponent14,2392.372131,2398.245697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,True,,,
70,Huskies,2398.245697,2463.119202,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,True,,
71,Huskies,2463.119202,2506.475172,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,True,
72,Opponent14,2506.475172,2520.0858399999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,True
73,Huskies,2520.0858399999997,2536.134673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,
74,Opponent14,2536.134673,2547.584974,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,True,,,,,
75,Opponent14,2547.584974,2569.2542710000002,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,True,,,,,,,,,,True,,,True
76,Opponent14,2569.2542710000002,2579.9176239999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,True,,,,,
77,Opponent14,2579.9176239999997,2589.4096280000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
78,Huskies,2589.4096280000003,2639.089911,2.0,6.0,2.0,8.0,0.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,6.0,,,,,True,,,,,,True,,True,True,,True,,,True,,,,
79,Opponent14,2639.089911,2651.331028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,True,,,,,
80,Huskies,2651.331028,2709.7251899999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,,,True,,True,,
81,Huskies,2709.7251899999997,2729.515786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,,,,,,
82,Opponent14,2729.515786,2750.713883,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,True,,,,,,,,,,,,,
83,Opponent14,2750.713883,2807.8364109999998,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,True
84,Huskies,2807.8364109999998,2818.099459,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,True,,,,,,,
85,Opponent14,2818.099459,2903.9686030000003,1.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,True,,,,,,,True,,,,,,True
86,Huskies,2903.9686030000003,2922.201196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,
87,Opponent14,2922.201196,3900.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,True,,,,,,,,,True,,,,,
