,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent4_D6,Opponent4_M1,Opponent4_D1,Huskies_G1,Huskies_D5,Huskies_M1,Huskies_D3,Huskies_M13,Huskies_D7,Huskies_F2,Opponent4_D5,Opponent4_M3,Opponent4_M5,Opponent4_F1,Opponent4_F2,Opponent4_D2,Opponent4_G1,Huskies_D6,Huskies_F5,Opponent4_M4,Huskies_M6,Huskies_M12,Huskies_M8,Huskies_F1,Opponent4_M7,Huskies_M3,Opponent4_M2,Opponent4_M8
71,Opponent4,1822.0848400000007,1840.9597260000003,68.0,32.0,-36.0,2.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,True,,True,,True,,,,,,,,,,True,,,
72,Huskies,1840.9597260000003,1848.0269030000002,34.0,32.0,-2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,True,,,,,
73,Opponent4,1848.0269030000002,1876.154883,30.0,32.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,,True,,,,,True,,,
74,Huskies,1876.154883,1921.0984780000001,10.0,71.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
75,Opponent4,1921.0984780000001,1930.5741,10.0,32.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,True,,,,,,,,,,,
76,Huskies,1930.5741,1948.6928070000006,36.0,32.0,-4.0,0.0,0.0,4.0,7.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,,,,,,,,,,,,,True,,,True,,
77,Opponent4,1948.6928070000006,1954.8194110000006,30.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
78,Huskies,1954.8194110000006,1979.9730710000006,36.0,32.0,-4.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,,,,,,,,True,,,True,,,True,,True,,
79,Opponent4,1979.9730710000006,2025.085889,38.0,32.0,-6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,True,,,,,,,,
80,Huskies,2025.085889,2058.643832,43.0,32.0,-11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,True,,,,,,True,,True,,
81,Huskies,2058.643832,2062.4809149999996,56.0,32.0,-24.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,True,,,,,
82,Opponent4,2062.4809149999996,2113.1806640000004,44.0,83.0,39.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,
83,Opponent4,2113.1806640000004,2142.615866,17.0,32.0,15.0,1.0,0.0,3.0,10.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,True,,True,True,,True,True,,,,,,,,True,,,
84,Opponent4,2142.615866,2343.360147000001,75.0,32.0,-43.0,6.0,2.0,11.0,21.0,5.0,28.0,1.0,6.0,14.0,6.0,4.0,3.0,2.0,2.0,0.0,True,True,True,,,,,,,,True,,,,True,True,True,,,True,,,,,,,True,
85,Opponent4,2343.360147000001,2352.158064,25.0,32.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,True,,,,,,,,
86,Opponent4,2352.158064,2354.766739,39.0,44.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,
87,Huskies,2354.766739,2376.130883,42.0,78.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,
88,Opponent4,2376.130883,2408.0941989999997,8.0,32.0,24.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,True,True,,,True,,,,,True,,True,
89,Huskies,2408.0941989999997,2413.330303,28.0,47.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,
90,Opponent4,2413.330303,2423.00732,31.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,
91,Huskies,2423.00732,2440.629698,24.0,32.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,True,,,,,True,,
92,Opponent4,2440.629698,2533.3209030000003,61.0,32.0,-29.0,2.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,True,,,,,True,,,,True,,,,,True,,,
93,Opponent4,2533.3209030000003,2536.24593,71.0,32.0,-39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,
94,Opponent4,2536.24593,2553.561986,69.0,32.0,-37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,
95,Huskies,2553.561986,2579.7617410000007,9.0,32.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,,,,True,,
96,Huskies,2579.7617410000007,2584.842169,35.0,28.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
97,Opponent4,2584.842169,2604.627037,24.0,32.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,True
98,Huskies,2604.627037,2619.8493850000004,45.0,32.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,True,,,,,,,,,,,,,,,,True,,
99,Opponent4,2619.8493850000004,2628.8691150000004,28.0,10.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Opponent4,2628.8691150000004,2657.194881000001,50.0,32.0,-18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,,True,,True,
101,Huskies,2657.194881000001,2703.941841,41.0,32.0,-9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,True,,,,,,,,,,,,,True,,,True,,
102,Huskies,2703.941841,2707.209309,67.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,
103,Opponent4,2707.209309,2715.512067,6.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
