,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_D3,Huskies_F2,Opponent1_D1,Opponent1_F1,Huskies_G1,Huskies_D5,Huskies_D4,Huskies_F1,Huskies_M1,Huskies_F3,Huskies_M3,Opponent1_F3,Opponent1_F2,Opponent1_M2,Opponent1_M1,Opponent1_D3,Opponent1_G1,Opponent1_D2,Huskies_M2,Opponent1_M3,Opponent1_D4,Huskies_M4,Opponent1_F5,Opponent1_F4,Huskies_M5
20,Opponent1,454.9852970000002,478.974084,65.0,27.0,-38.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,True,,,,,
21,Huskies,478.974084,493.589767,8.0,27.0,19.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,True,,,,,,,,,,,,,,
22,Opponent1,493.589767,504.40397200000007,73.0,27.0,-46.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,True,,,,,,,
23,Huskies,504.40397200000007,529.2367810000002,56.0,89.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,,,,,
24,Huskies,529.2367810000002,568.7282700000002,71.0,27.0,-44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,
25,Huskies,568.7282700000002,598.946931,72.0,27.0,-45.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,True,,,,,,
26,Huskies,598.946931,646.0948560000003,60.0,27.0,-33.0,2.0,0.0,5.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,True,,True,,,,,,,,True,,,,,,
27,Opponent1,646.0948560000003,653.2827579999997,58.0,66.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,,,,
28,Opponent1,653.2827579999997,744.610369,77.0,27.0,-50.0,7.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
29,Opponent1,744.610369,754.9596609999999,61.0,92.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,True,,,,
30,Huskies,754.9596609999999,759.6437540000003,10.0,7.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,
31,Huskies,759.6437540000003,763.195655,11.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,,,,,
32,Opponent1,763.195655,803.9936050000001,81.0,75.0,-6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,,
33,Opponent1,803.9936050000001,820.5567510000002,68.0,27.0,-41.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,True,,,,,
34,Opponent1,820.5567510000002,824.6218220000002,26.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,,
35,Huskies,824.6218220000002,847.9019579999998,49.0,27.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,
36,Opponent1,847.9019579999998,915.375191,17.0,27.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,True,,,,,,,
37,Huskies,915.375191,934.164116,80.0,27.0,-53.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,,,,,,,,,,,,
38,Opponent1,934.164116,951.292096,24.0,39.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,,,,
39,Huskies,951.292096,962.923698,73.0,27.0,-46.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,True,,,,,,,,,,,True,,,
40,Huskies,962.923698,971.5105160000003,76.0,27.0,-49.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,,,,,,,,,,,,,,
41,Huskies,971.5105160000003,1010.356484,78.0,88.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
42,Opponent1,1010.356484,1020.36477,61.0,75.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,
43,Huskies,1020.36477,1037.6687300000003,24.0,27.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,True,True,,,,,,,,,,,,,,
44,Huskies,1037.6687300000003,1055.571282,52.0,27.0,-25.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,True,,True,,,,,,,,,,,True,,,
45,Huskies,1055.571282,1102.4477690000003,45.0,27.0,-18.0,2.0,0.0,2.0,3.0,3.0,17.0,0.0,1.0,3.0,15.0,3.0,2.0,1.0,1.0,0.0,True,True,True,,,,True,,,True,,True,,,,,,,,,,,,,,
46,Huskies,1102.4477690000003,1171.1459169999996,58.0,76.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,
47,Huskies,1171.1459169999996,1176.5468849999995,23.0,5.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
48,Opponent1,1176.5468849999995,1245.5710470000004,64.0,72.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,,
49,Huskies,1245.5710470000004,1261.7598859999996,13.0,27.0,14.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,True,,,,,,,,,,,,,,
50,Opponent1,1261.7598859999996,1310.454189,47.0,27.0,-20.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,True,,,,,
51,Opponent1,1310.454189,1318.89876,63.0,58.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,,,,,
52,Huskies,1318.89876,1326.668976,11.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,
53,Huskies,1326.668976,1336.9785279999996,37.0,27.0,-10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,,,,,,,True,,,
54,Huskies,1336.9785279999996,1356.266718,80.0,27.0,-53.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,True,,,,,,,,,,,True,,,
55,Huskies,1356.266718,1373.3016399999995,64.0,27.0,-37.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,True,True,True,,,,,,,,,,,True,,,
56,Huskies,1373.3016399999995,1384.8801320000002,34.0,27.0,-7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,True,,,,,True,,,,,,,,,,,,,,
57,Opponent1,1384.8801320000002,1461.3485840000005,19.0,27.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,,,,,
58,Huskies,1461.3485840000005,1605.2381079999993,90.0,87.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,
59,Huskies,1605.2381079999993,1621.1798909999998,91.0,92.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,,
60,Opponent1,1621.1798909999998,1626.7087549999994,29.0,15.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,,
61,Huskies,1626.7087549999994,1631.804489,94.0,27.0,-67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,True,,,,,,,,,,,,,,,
62,Opponent1,1631.804489,1646.8332410000005,19.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,
63,Opponent1,1646.8332410000005,1666.5801869999993,51.0,70.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,True,,
64,Opponent1,1666.5801869999993,1672.8407470000002,71.0,65.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,,
65,Huskies,1672.8407470000002,1688.2459809999998,25.0,27.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,True,,,
66,Huskies,1688.2459809999998,1693.5463019999993,75.0,27.0,-48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,True,,,
67,Huskies,1693.5463019999993,1701.4139480000006,54.0,60.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,,
68,Opponent1,1701.4139480000006,1734.2061879999999,12.0,27.0,15.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,True,True,,True,,
69,Huskies,1734.2061879999999,1740.2946510000004,97.0,81.0,-16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,
70,Opponent1,1740.2946510000004,1808.533596,9.0,27.0,18.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,True,,,True,True,
71,Huskies,1808.533596,1906.809485,27.0,27.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,
72,Opponent1,1906.809485,1924.300068,67.0,63.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,,
73,Opponent1,1924.300068,1935.3728060000005,70.0,27.0,-43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,
74,Huskies,1935.3728060000005,1939.9184710000002,26.0,34.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,True,,,
75,Opponent1,1939.9184710000002,2014.378497,61.0,27.0,-34.0,8.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,True,True,,,True,True,,,True,
76,Opponent1,2014.378497,2019.294202,64.0,73.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,True,,
77,Opponent1,2019.294202,2028.613623,74.0,27.0,-47.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,True,,
78,Opponent1,2028.613623,2069.322348,74.0,90.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,True,,
79,Huskies,2069.322348,2115.609607000001,75.0,27.0,-48.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,True,,,True
80,Huskies,2115.609607000001,2132.119925,47.0,27.0,-20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,True,,,,,,,,,,,,,,,,
81,Opponent1,2132.119925,2146.055651,14.0,27.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True,,,True,
82,Opponent1,2146.055651,2176.6665120000002,53.0,27.0,-26.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,True,,,,,,True,
83,Opponent1,2176.6665120000002,2233.278526,72.0,27.0,-45.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,True,,,True,,True,,
84,Opponent1,2233.278526,2247.7781720000007,30.0,27.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,True,,,,,True,,
85,Opponent1,2247.7781720000007,2315.1591780000003,29.0,27.0,-2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,True,,,True,
86,Opponent1,2315.1591780000003,2328.012463,23.0,27.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,True,,,,,
87,Huskies,2328.012463,2332.05328,9.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,
88,Opponent1,2332.05328,2358.690794,79.0,25.0,-54.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,
89,Huskies,2358.690794,2399.2504310000004,62.0,27.0,-35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,
90,Opponent1,2399.2504310000004,2435.886787000001,64.0,27.0,-37.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,True,,,,True,
91,Opponent1,2435.886787000001,2447.3452180000004,77.0,60.0,-17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,,,,,
92,Huskies,2447.3452180000004,2516.721312,13.0,27.0,14.0,2.0,0.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,True,True,,,True,True,,,True,,True,,,,,,,,,,,,,,
93,Opponent1,2516.721312,2520.4418170000004,60.0,45.0,-15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,,,True,
94,Huskies,2520.4418170000004,2568.518518,45.0,47.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,True,,,
95,Huskies,2568.518518,2677.025196,81.0,27.0,-54.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,True,,,,,,,,,,,,,,,,
96,Opponent1,2677.025196,2764.056502000001,34.0,56.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,,,,,
97,Opponent1,2764.056502000001,2770.159385,83.0,92.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,True,
98,Opponent1,2770.159385,2774.8645460000002,84.0,87.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,,True,
99,Opponent1,2774.8645460000002,2779.151338,86.0,79.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,,
100,Huskies,2779.151338,2798.008146,30.0,27.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,True
101,Opponent1,2798.008146,2825.7802269999997,15.0,52.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,True,
102,Huskies,2825.7802269999997,2853.8617350000004,74.0,27.0,-47.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,True
103,Opponent1,2853.8617350000004,3900.0,62.0,62.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,True,,
