,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F2,Huskies_D3,Opponent9_D2,Opponent9_D1,Opponent9_M3,Opponent9_G1,Huskies_D4,Huskies_G1,Opponent9_M1,Opponent9_D4,Opponent9_F1,Opponent9_D3,Opponent9_D5,Huskies_D1,Huskies_D7,Huskies_M6,Opponent9_M2,Huskies_F1,Huskies_M1,Huskies_M4,Opponent9_F2,Huskies_M9,Huskies_F4,Huskies_M10,Opponent9_M4,Opponent9_M5
46,Huskies,1641.4272229999995,1650.5556619999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True,,,,
47,Opponent9,1650.5556619999998,1666.756042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,True,,,,,
48,Huskies,1666.756042,1678.8760860000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,,,,,
49,Huskies,1678.8760860000002,1687.4021129999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,True,,,,
50,Opponent9,1687.4021129999999,1780.5741120000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,True,,,,,,,,True,,,,,
51,Huskies,1780.5741120000002,1799.901777,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,True,,,
52,Huskies,1799.901777,1923.321634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,True,,
53,Opponent9,1923.321634,1948.785948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,True,,,,,,,,,,,,,,
54,Opponent9,1948.785948,1953.905646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,,,,,
55,Opponent9,1953.905646,1998.77744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True,
56,Huskies,1998.77744,2008.43942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,,
57,Huskies,2008.43942,2013.576679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,
58,Opponent9,2013.576679,2028.031248,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,,,,,,,,,,,,,,,True,
59,Huskies,2028.031248,2032.495171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,
60,Opponent9,2032.495171,2040.4899050000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
61,Huskies,2040.4899050000006,2051.102424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,
62,Opponent9,2051.102424,2126.499234,4.0,5.0,4.0,8.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,,,True,,True,,,,True,True,,,True,,,,True,,,,,,,,True,
63,Opponent9,2126.499234,2132.412018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
64,Huskies,2132.412018,2149.147645,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,,,True,,
65,Opponent9,2149.147645,2158.36671,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,True,,,,,,,,,
66,Huskies,2158.36671,2171.511855,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,True,,,,,,,,True,,
67,Opponent9,2171.511855,2182.478819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,True,
68,Huskies,2182.478819,2224.896658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,,,,
69,Opponent9,2224.896658,2251.749916,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,True,True,,,,,,,,,,,,,True
70,Opponent9,2251.749916,2285.4055329999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,,,,,
71,Opponent9,2285.4055329999997,2353.6264010000004,1.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,True,,,,True,,,,,,,,True,True
72,Huskies,2353.6264010000004,2357.4732670000008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,True,,
73,Opponent9,2357.4732670000008,2367.2067960000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,,,,,True
74,Opponent9,2367.2067960000004,2390.8056579999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,,True,
75,Opponent9,2390.8056579999998,2401.124443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,,True
76,Opponent9,2401.124443,2472.255265,2.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,,,True,,True,,,,,True,,,True,,,,True,,,,,,,,,
77,Opponent9,2472.255265,2479.1530829999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,True,
78,Huskies,2479.1530829999997,2493.7024969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
79,Opponent9,2493.7024969999998,2508.181771,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,True,,,,,,,,,
80,Huskies,2508.181771,2511.990934000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,,
81,Opponent9,2511.990934000001,2539.966323,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,,,,,True
82,Opponent9,2539.966323,2584.798839,8.0,15.0,7.0,13.0,2.0,0.0,4.0,4.0,8.0,1.0,2.0,0.0,0.0,,,True,True,True,,,,,True,True,,True,,,,True,,,,,,,,True,True
83,Huskies,2584.798839,2594.044459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True,,,,
84,Opponent9,2594.044459,2608.7052890000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,
85,Huskies,2608.7052890000004,2619.560746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,,,,,
86,Opponent9,2619.560746,2734.8865530000007,7.0,14.0,5.0,14.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,True,True,True,,,,True,,,,,,,,True,True
87,Huskies,2734.8865530000007,2810.583274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,,True,,
88,Opponent9,2810.583274,2865.364172,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,True,,,True,,,,,,,,,,,,True,
89,Opponent9,2865.364172,2925.8976559999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
90,Opponent9,2925.8976559999996,2950.234758,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,,,True,,,,,,,,,
91,Opponent9,2950.234758,3900.0,1.0,14.0,4.0,13.0,0.0,0.0,6.0,2.0,6.0,3.0,0.0,0.0,0.0,,,True,True,True,,,,,True,,True,,,,,True,,,,,,,,True,True
