,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent13_D1,Opponent13_M1,Huskies_D7,Huskies_M1,Huskies_F1,Huskies_M6,Huskies_G1,Huskies_D3,Huskies_M8,Opponent13_M2,Opponent13_D3,Huskies_D1,Huskies_M3,Opponent13_D4,Opponent13_M5,Opponent13_M3,Opponent13_G1,Opponent13_D2,Opponent13_M4,Opponent13_F1,Huskies_M5,Huskies_D4,Huskies_D2
32,Huskies,957.3558,981.862152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,,,,,
33,Opponent13,981.862152,985.809132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,True,,,,,,,
34,Opponent13,985.809132,1014.402528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,,
35,Huskies,1014.402528,1031.344255,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,True,,,,,True,,,,,,,,,True,
36,Opponent13,1031.344255,1038.309235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,
37,Opponent13,1038.309235,1119.538341,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,True,,,
38,Opponent13,1119.538341,1182.471223,5.0,11.0,4.0,7.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,True,,True,True,True,True,,,,
39,Opponent13,1182.471223,1189.332874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,,
40,Opponent13,1189.332874,1217.276247,3.0,10.0,2.0,11.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,True,True,,,True,True,True,,,
41,Huskies,1217.276247,1237.307744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,
42,Opponent13,1237.307744,1270.6374759999999,3.0,5.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,,,,,True,,True,,True,,,
43,Opponent13,1270.6374759999999,1288.711906,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,,,True,True,,,,,
44,Opponent13,1288.711906,1298.050243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,
45,Huskies,1298.050243,1310.685339,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,True,,,,,,,,,,,,,,
46,Opponent13,1310.685339,1316.894025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,
47,Opponent13,1316.894025,1331.615998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,,
48,Opponent13,1331.615998,1351.616685,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,True,True,,,True,,,,
49,Huskies,1351.616685,1362.512252,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,True,,True,,,,,,,,,,,,,,
50,Huskies,1362.512252,1391.316871,2.0,1.0,2.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,True,,,,True,,,,,,,,True,True,
51,Opponent13,1391.316871,1513.733964,1.0,6.0,1.0,10.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,True,True,,,,,,,,True,True,,,True,True,True,,True,True,,,,
52,Opponent13,1513.733964,1534.398416,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,True,,True,,True,,,,,
53,Opponent13,1534.398416,1591.9968529999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,,
54,Opponent13,1591.9968529999999,1594.853212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,
55,Huskies,1594.853212,1608.5858130000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,
56,Opponent13,1608.5858130000001,1622.3694890000002,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,,,,,,,,
57,Huskies,1622.3694890000002,1631.646166,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,True,,,,,,,,,,,,,,,
58,Huskies,1631.646166,1673.974311,3.0,8.0,3.0,8.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,,,,True,True,True,,True,True,,,True,True,,,,,,,,,,True
59,Opponent13,1673.974311,1699.904736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,
60,Huskies,1699.904736,1720.53322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,
61,Opponent13,1720.53322,1811.554316,1.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,True,,,True,True,,,,
62,Opponent13,1811.554316,1910.499041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,,
63,Opponent13,1910.499041,1940.835746,4.0,8.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,True,True,True,True,,,,
64,Huskies,1940.835746,1972.369482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,,,,
65,Huskies,1972.369482,1977.355236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,,
66,Huskies,1977.355236,1982.667036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,
67,Opponent13,1982.667036,2000.635975,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,True,True,,,
68,Opponent13,2000.635975,2002.141199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,
69,Huskies,2002.141199,2022.189716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,
70,Opponent13,2022.189716,2054.243214,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,True,,True,True,,,,
71,Opponent13,2054.243214,2059.476129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,
72,Opponent13,2059.476129,2118.006553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,
73,Huskies,2118.006553,2121.2120670000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,
74,Opponent13,2121.2120670000004,2128.8045420000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,True,,,
75,Opponent13,2128.8045420000003,2138.52825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,
76,Huskies,2138.52825,2171.4698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,
77,Opponent13,2171.4698,2196.5753050000003,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,True,True,True,,,,True,,,
78,Opponent13,2196.5753050000003,2221.211335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,,
79,Opponent13,2221.211335,2288.0946519999998,5.0,8.0,4.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,True,True,,,True,True,,,,True,,,,
80,Huskies,2288.0946519999998,2307.551786,3.0,8.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,True,,,,True,True,,,,,,,,,,
81,Huskies,2307.551786,2359.6894079999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,,True
82,Opponent13,2359.6894079999997,2462.8233,3.0,6.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,,True,,,,,,,,True,,,,True,,,,,True,True,,,
83,Opponent13,2462.8233,2481.999668,0.0,2.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,True,,True,True,True,,,
84,Opponent13,2481.999668,2531.334901,4.0,7.0,4.0,8.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,6.0,True,True,,,,,,,,True,,,,True,,True,,True,True,,,,
85,Opponent13,2531.334901,2591.382908,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,True,,,,True,True,,,
86,Huskies,2591.382908,2604.677066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,,,,
87,Huskies,2604.677066,2642.2529670000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,True,,,,,,,,,,,
88,Opponent13,2642.2529670000004,2655.564482,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,True,,True,,True,,,,,
89,Huskies,2655.564482,2677.592728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,
90,Huskies,2677.592728,2685.370048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,,
91,Huskies,2685.370048,2782.776661,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,,,,,,,,,,,,True,,
92,Huskies,2782.776661,2786.806042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,
93,Huskies,2786.806042,2797.3772,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,True,,,,,,,,,,
94,Opponent13,2797.3772,2827.706014,6.0,9.0,4.0,8.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,True,,True,True,True,,,
95,Huskies,2827.706014,2830.739978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,,
96,Opponent13,2830.739978,2849.407782,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,True,,,,,,,
97,Huskies,2849.407782,2868.196583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,True,,
98,Opponent13,2868.196583,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,True,,,,,
