,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent5_D1,Opponent5_F1,Huskies_F2,Huskies_M4,Huskies_D5,Huskies_D4,Huskies_G1,Huskies_D1,Opponent5_D4,Opponent5_D2,Opponent5_M1,Opponent5_D3,Opponent5_F2,Opponent5_M2,Opponent5_M3,Opponent5_M4,Huskies_M1,Huskies_D2,Huskies_D3,Huskies_M3,Huskies_M6,Opponent5_G1
14,Huskies,404.60802,420.034909,10.0,31.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,,,,,,True,,,,,
15,Opponent5,420.034909,460.585346,30.0,31.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,,True,,,,,,,,,,
16,Opponent5,460.585346,484.157982,80.0,31.0,-49.0,2.0,0.0,3.0,8.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,True,True,True,,,,,,,
17,Huskies,484.157982,488.494771,17.0,46.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,True,,,,
18,Huskies,488.494771,530.809941,30.0,31.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,,,,,True,,True,True,True,
19,Opponent5,530.809941,602.0386950000001,42.0,31.0,-11.0,6.0,0.0,5.0,14.0,7.0,20.0,0.0,0.0,7.0,8.0,7.0,2.0,0.0,0.0,0.0,True,True,,,,,,,True,True,True,True,,True,True,True,,,,,,
20,Opponent5,602.0386950000001,609.646813,85.0,31.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
21,Opponent5,609.646813,647.241078,78.0,31.0,-47.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,True,,,,,,
22,Huskies,647.241078,651.537583,21.0,31.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,True,
23,Huskies,651.537583,675.838201,13.0,31.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,True,,,,,
24,Huskies,675.838201,692.6522269999999,26.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,
25,Opponent5,692.6522269999999,704.3050099999999,25.0,43.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,
26,Huskies,704.3050099999999,710.998148,29.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
27,Opponent5,710.998148,723.751972,44.0,89.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,
28,Huskies,723.751972,761.517013,23.0,31.0,8.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,True,,,,,,,,,True,,,True,,
29,Huskies,761.517013,775.061461,58.0,31.0,-27.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,True,,
30,Huskies,775.061461,785.788597,56.0,31.0,-25.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,,,True,,
31,Opponent5,785.788597,833.661257,41.0,31.0,-10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,True,,,,,,,
32,Huskies,833.661257,842.4142690000001,34.0,31.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
33,Opponent5,842.4142690000001,910.241136,5.0,31.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,
34,Opponent5,910.241136,939.4112779999999,18.0,31.0,13.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,,,,,,,,,,,
35,Huskies,939.4112779999999,962.3628199999999,21.0,31.0,10.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,True,,,,,
36,Huskies,962.3628199999999,977.271303,13.0,31.0,18.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,True,,,True,True,
37,Opponent5,977.271303,1045.281904,48.0,31.0,-17.0,2.0,0.0,4.0,13.0,5.0,17.0,0.0,2.0,9.0,8.0,8.0,5.0,2.0,2.0,0.0,True,,,,,,,,True,True,True,,,True,,True,,,,,,True
38,Huskies,1045.281904,1053.56671,27.0,31.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,True,True,
39,Huskies,1053.56671,1070.2490460000001,34.0,77.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,
40,Huskies,1070.2490460000001,1086.75895,33.0,31.0,-2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,True,True,True,,True,
41,Opponent5,1086.75895,1093.303865,26.0,40.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
42,Huskies,1093.303865,1124.037505,61.0,31.0,-30.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,True,True,True,True,True,
43,Opponent5,1124.037505,1140.435455,42.0,31.0,-11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,True,,,,,,,
44,Huskies,1140.435455,1161.297357,25.0,31.0,6.0,1.0,0.0,3.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,True,,True,True,True,
45,Opponent5,1161.297357,1202.824206,19.0,31.0,12.0,1.0,0.0,2.0,10.0,2.0,18.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,True,,True,True,True,True,True,,,,,,
46,Huskies,1202.824206,1249.397235,16.0,31.0,15.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,True,,,,,
47,Opponent5,1249.397235,1274.7045460000002,33.0,31.0,-2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,True,,True,,,,,,,
48,Opponent5,1274.7045460000002,1334.509629,62.0,31.0,-31.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,True,,True,,True,,,,,,
49,Huskies,1334.509629,1351.061682,36.0,31.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,True,,
50,Opponent5,1351.061682,1433.246391,12.0,31.0,19.0,2.0,0.0,2.0,10.0,1.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,,,,,,,,True,True,True,True,,True,,,,,,,True
51,Opponent5,1433.246391,1448.0509650000001,63.0,31.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
52,Huskies,1448.0509650000001,1453.757176,24.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
53,Opponent5,1453.757176,1491.642529,32.0,31.0,-1.0,2.0,0.0,5.0,13.0,2.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,True,,,True,,,,,,,True
54,Huskies,1491.642529,1516.924759,25.0,31.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,True,,
55,Opponent5,1516.924759,1517.7638789999999,44.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
56,Huskies,1517.7638789999999,1526.309268,41.0,31.0,-10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,True,,,,,,,,,,,,,,
57,Opponent5,1526.309268,1571.75789,69.0,89.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,
58,Opponent5,1571.75789,1636.066552,27.0,41.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
59,Huskies,1636.066552,1685.303253,18.0,31.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,True,
60,Huskies,1685.303253,1760.391675,64.0,31.0,-33.0,11.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,True,,,,,,,,,True,,,True,,
61,Huskies,1760.391675,1811.6693329999998,62.0,31.0,-31.0,5.0,0.0,6.0,13.0,4.0,12.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,True,,True,,,,,,,,,True,,True,True,True,
62,Opponent5,1811.6693329999998,1821.023905,67.0,31.0,-36.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,True,,,,,,,
63,Huskies,1821.023905,1843.826276,29.0,31.0,2.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,True,True,
64,Huskies,1843.826276,1881.915637,76.0,93.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,
65,Opponent5,1881.915637,1923.8325579999998,56.0,44.0,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
66,Opponent5,1923.8325579999998,1967.9312,70.0,31.0,-39.0,0.0,0.0,1.0,3.0,1.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,,,True,True,True,,,,,,
67,Opponent5,1967.9312,2000.603946,75.0,90.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,
68,Huskies,2000.603946,2072.197181,26.0,31.0,5.0,8.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,True,True,True,True,,
69,Opponent5,2072.197181,2089.570696,34.0,31.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,,True,,,,,,,
70,Huskies,2089.570696,2097.5331969999997,16.0,63.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,
71,Huskies,2097.5331969999997,2120.847662,58.0,31.0,-27.0,0.0,0.0,1.0,7.0,3.0,4.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,True,,,True,True,
72,Opponent5,2120.847662,2130.60567,28.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
73,Huskies,2130.60567,2189.279219,20.0,31.0,11.0,4.0,0.0,11.0,24.0,8.0,17.0,0.0,0.0,7.0,0.0,9.0,3.0,0.0,0.0,0.0,,,True,True,True,True,,True,,,,,,,,,True,True,True,True,True,
74,Huskies,2189.279219,2200.738891,42.0,31.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
75,Opponent5,2200.738891,2217.3560989999996,12.0,10.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True
76,Opponent5,2217.3560989999996,2221.093902,61.0,31.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
77,Huskies,2221.093902,2258.2035260000002,26.0,31.0,5.0,4.0,0.0,3.0,10.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,,,True,,,True,,True,,,,,,,,,True,True,True,True,True,
78,Opponent5,2258.2035260000002,2326.429621,39.0,31.0,-8.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,True,,,,,,,,,
79,Huskies,2326.429621,2337.144543,4.0,100.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,
80,Opponent5,2337.144543,2347.949027,64.0,73.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
81,Opponent5,2347.949027,2357.088847,87.0,93.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
82,Huskies,2357.088847,2388.101005,21.0,31.0,10.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,True,True,True,,,
83,Opponent5,2388.101005,2454.771197,49.0,31.0,-18.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,True,,,True,,,,,,
84,Huskies,2454.771197,2461.093497,23.0,16.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
85,Opponent5,2461.093497,2476.1825879999997,78.0,94.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
86,Huskies,2476.1825879999997,2481.368763,24.0,31.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,True,
87,Opponent5,2481.368763,2487.760064,76.0,31.0,-45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,True,,,,,,
88,Opponent5,2487.760064,2536.474206,60.0,31.0,-29.0,2.0,0.0,7.0,15.0,6.0,7.0,2.0,0.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,True,True,,,,,,,True,True,True,True,,True,True,True,,,,,,
89,Opponent5,2536.474206,2579.588405,65.0,31.0,-34.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,True,,,True,,,,,,,
90,Opponent5,2579.588405,2587.5357329999997,68.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
91,Huskies,2587.5357329999997,2613.585283,11.0,31.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,True,
92,Huskies,2613.585283,2658.275291,37.0,31.0,-6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,True,,,True,,
93,Huskies,2658.275291,2684.366143,35.0,62.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
94,Huskies,2684.366143,2705.3028059999997,56.0,31.0,-25.0,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,True,True,True,,
95,Opponent5,2705.3028059999997,2709.732046,39.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
96,Huskies,2709.732046,3900.0,36.0,31.0,-5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,,,,True,,,
