,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M4,Huskies_D3,Opponent10_M1,Opponent10_D2,Opponent10_M2,Opponent10_G1,Opponent10_D4,Opponent10_F1,Huskies_G1,Opponent10_M3,Huskies_F2,Huskies_D4,Huskies_M5,Huskies_M8,Opponent10_M4,Opponent10_D3,Opponent10_D5,Opponent10_D1,Huskies_D7,Huskies_M1,Huskies_F1,Huskies_D2
10,Opponent10,170.76179199999999,208.80591000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
11,Huskies,208.80591000000004,298.25353399999995,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,True,True,True,
12,Huskies,298.25353399999995,323.565523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
13,Huskies,323.565523,334.01587500000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,
14,Huskies,334.01587500000005,345.920756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
15,Huskies,345.920756,369.519078,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,,,,,,,,,True,,True,True
16,Opponent10,369.519078,376.85289700000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
17,Opponent10,376.85289700000004,402.575317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
18,Opponent10,402.575317,491.646603,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,True,,,,,,,True,,,,,
19,Opponent10,491.646603,554.640115,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,True,,,,,True,True,,True,,,,
20,Opponent10,554.640115,610.833563,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,True,,,,,True,,,,,,,
21,Opponent10,610.833563,638.308275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,
22,Huskies,638.308275,660.987614,1.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,True,,,,,,,True,True,
23,Huskies,660.987614,710.347442,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,True,,,,,True,True,,
24,Opponent10,710.347442,768.859815,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,True,,,,,,,True,True,,,,
25,Opponent10,768.859815,778.215455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,True,,,,,
26,Huskies,778.215455,782.20075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,
27,Opponent10,782.20075,786.5673380000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
28,Huskies,786.5673380000002,872.204915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,
29,Huskies,872.204915,877.318659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
30,Huskies,877.318659,900.529002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,True,,,,,,True,,
31,Opponent10,900.529002,908.480532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,
32,Huskies,908.480532,916.749217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,True
33,Opponent10,916.749217,921.379653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,
34,Huskies,921.379653,957.201667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,True,True
35,Huskies,957.201667,981.232593,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,True,,,,,True,,,True
36,Opponent10,981.232593,1048.155005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
37,Opponent10,1048.155005,1129.596478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,True,,,,,,,
38,Huskies,1129.596478,1209.363122,4.0,13.0,5.0,9.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,True,True,,,,,,,,True
39,Opponent10,1209.363122,1216.644243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,
40,Huskies,1216.644243,1246.460839,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,True,,,,,True,True,True,True
41,Opponent10,1246.460839,1260.2965140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,
42,Opponent10,1260.2965140000001,1266.346056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,
43,Huskies,1266.346056,1287.769156,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,True,,,,,,,True,,
44,Opponent10,1287.769156,1338.576567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
45,Opponent10,1338.576567,1342.5252269999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
46,Huskies,1342.5252269999999,1367.4640630000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,
47,Huskies,1367.4640630000001,1442.8776679999999,3.0,9.0,2.0,13.0,0.0,0.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,,True,True,True,True,,,,,,True,,True
48,Opponent10,1442.8776679999999,1538.559614,23.0,40.0,10.0,29.0,5.0,3.0,10.0,3.0,14.0,3.0,1.0,1.0,0.0,,,True,True,True,True,True,,,True,,,,,True,,True,True,,,,
49,Huskies,1538.559614,1568.837476,1.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,True,True,True,,,,,True,True,,True
50,Opponent10,1568.837476,1579.805768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,True,,,,
51,Huskies,1579.805768,1597.047635,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,True,,,,,,True,,,
52,Huskies,1597.047635,1608.914953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,True
53,Huskies,1608.914953,1672.251078,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,True,,,,,,,True,,
54,Opponent10,1672.251078,1706.2982539999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,
55,Opponent10,1706.2982539999998,1783.3780780000004,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,True,,,,,,True,,,,,,
56,Huskies,1783.3780780000004,1796.413533,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,,,,,,True,,
57,Opponent10,1796.413533,1803.408647,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,,True,,,,,
58,Huskies,1803.408647,1861.329951,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,True,,,,,,,,
59,Huskies,1861.329951,1893.971179,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,True,True,,,,,True,True,,True
60,Huskies,1893.971179,1928.072791,2.0,10.0,2.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,True,True,,,,,True,True,,True
61,Opponent10,1928.072791,1939.6349309999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
62,Opponent10,1939.6349309999998,2010.002683,8.0,19.0,3.0,7.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,,True,True,True,True,True,,,True,,,,,True,True,True,True,,,,
63,Huskies,2010.002683,2065.028298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,
64,Huskies,2065.028298,2077.852407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,True,,,,,,,,,,
65,Huskies,2077.852407,2130.440279,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,True,True,,
66,Opponent10,2130.440279,2135.346174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
67,Opponent10,2135.346174,2147.046464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
68,Huskies,2147.046464,2206.192337,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,True,True,,,,,True,True,,
69,Opponent10,2206.192337,2321.595389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,
70,Opponent10,2321.595389,2327.707899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,True,,,,,,,
71,Huskies,2327.707899,2365.886668,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,True,,,,,,,,True
72,Opponent10,2365.886668,2375.724779,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,,,,,,,,,,,,,,
73,Opponent10,2375.724779,2400.0417629999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,True,,,,,
74,Huskies,2400.0417629999997,2414.055237,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,
75,Huskies,2414.055237,2497.7421489999997,1.0,7.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,True,,,,,,,,,True
76,Opponent10,2497.7421489999997,2500.935119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,True,,,,,,
77,Opponent10,2500.935119,2508.670375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
78,Huskies,2508.670375,2543.9005079999997,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,,True,,,,,,,,True,,
79,Huskies,2543.9005079999997,2559.325014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,
80,Huskies,2559.325014,2578.9560149999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
81,Opponent10,2578.9560149999998,2586.189834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
82,Huskies,2586.189834,2600.502196,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,True,,True
83,Huskies,2600.502196,2615.303187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,
84,Huskies,2615.303187,2725.3839350000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,True,,,,,,,True,,
85,Opponent10,2725.3839350000003,2730.871604,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,,,,,,
86,Huskies,2730.871604,2787.120694,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,True,True,,,,,True,True,,
87,Opponent10,2787.120694,2812.4462280000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,,True,True,,,,
88,Huskies,2812.4462280000002,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,
