,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent6_M2,Opponent6_F1,Opponent6_M1,Huskies_F1,Huskies_F2,Opponent6_M4,Opponent6_D2,Opponent6_M3,Huskies_D4,Huskies_M1,Huskies_M6,Opponent6_D3,Opponent6_D1,Opponent6_D4,Opponent6_F2,Huskies_D2,Huskies_D6,Huskies_D5,Huskies_M3,Huskies_M2,Huskies_G1,Opponent6_G1
10,Opponent6,167.85652199999996,200.215304,64.0,39.0,-25.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,True,,,,,,,,,
11,Opponent6,200.215304,216.344213,64.0,87.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,
12,Huskies,216.344213,248.863572,22.0,39.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,True,,,,,
13,Huskies,248.863572,329.49925,88.0,39.0,-49.0,8.0,0.0,5.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,,,True,True,True,,,
14,Huskies,329.49925,348.9542810000001,81.0,39.0,-42.0,3.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,,,True,,True,True,,
15,Huskies,348.9542810000001,393.111344,89.0,93.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
16,Opponent6,393.111344,401.48708,33.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
17,Huskies,401.48708,447.303012,70.0,39.0,-31.0,0.0,0.0,2.0,12.0,4.0,8.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,,,,,True,,,,True,True,,,,,,True,True,True,True,True,,
18,Huskies,447.303012,458.17338400000006,17.0,7.0,-10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
19,Huskies,458.17338400000006,462.112388,75.0,39.0,-36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,True,,
20,Opponent6,462.112388,481.43405,7.0,39.0,32.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,,,,True,,,True,,,,,,,
21,Opponent6,481.43405,522.654827,43.0,39.0,-4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,True,,,,,,,,
22,Huskies,522.654827,554.370403,29.0,39.0,10.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,True,,True,,,
23,Huskies,554.370403,621.248933,68.0,39.0,-29.0,4.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,True,,,,,,,,,True,,
24,Opponent6,621.248933,634.835815,35.0,39.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,True,,,,,,,,
25,Huskies,634.835815,725.183432,71.0,74.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
26,Huskies,725.183432,757.89102,75.0,39.0,-36.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,True,,,True,,
27,Huskies,757.89102,763.558949,29.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
28,Opponent6,763.558949,769.976762,50.0,47.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
29,Huskies,769.976762,793.5810819999998,43.0,39.0,-4.0,6.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,True,True,,
30,Opponent6,793.5810819999998,825.1539909999998,24.0,28.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
31,Huskies,825.1539909999998,861.434381,45.0,39.0,-6.0,2.0,0.0,4.0,7.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,True,True,True,True,,True,
32,Opponent6,861.434381,868.3559339999998,28.0,5.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True
33,Huskies,868.3559339999998,878.8722170000002,52.0,39.0,-13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,True,True,True,,
34,Opponent6,878.8722170000002,925.304867,6.0,19.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,
35,Opponent6,925.304867,931.188922,35.0,39.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,True,,,,,,,,
36,Huskies,931.188922,954.039785,24.0,39.0,15.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,True,,,,,,True,,True,,,True,
37,Opponent6,954.039785,979.221307,83.0,80.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
38,Huskies,979.221307,1034.62643,35.0,39.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,True,,,
39,Opponent6,1034.62643,1044.638322,69.0,39.0,-30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,
40,Huskies,1044.638322,1055.57341,14.0,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,
41,Opponent6,1055.57341,1080.460749,65.0,39.0,-26.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,True,,,,,,,,,,True
42,Opponent6,1080.460749,1090.152411,30.0,39.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,True,,,,,,,True
43,Huskies,1090.152411,1095.443554,56.0,39.0,-17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,True,,,
44,Opponent6,1095.443554,1138.842653,21.0,39.0,18.0,0.0,0.0,5.0,13.0,3.0,10.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,True,True,True,,,,True,True,True,,,,,,,,
45,Opponent6,1138.842653,1148.003182,76.0,39.0,-37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,,,,,,,,,
46,Opponent6,1148.003182,1157.060898,88.0,75.0,-13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
47,Huskies,1157.060898,1163.740329,42.0,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,
48,Huskies,1163.740329,1179.052537,82.0,84.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,
49,Huskies,1179.052537,1235.577274,53.0,39.0,-14.0,2.0,0.0,6.0,16.0,6.0,12.0,0.0,2.0,8.0,2.0,9.0,4.0,2.0,2.0,0.0,,,,,True,,,,,True,True,,,,,True,,True,True,,True,
50,Opponent6,1235.577274,1261.85185,13.0,39.0,26.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,True,,,,,,,,,
51,Huskies,1261.85185,1267.7909550000002,7.0,62.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,
52,Opponent6,1267.7909550000002,1392.19707,35.0,39.0,4.0,8.0,0.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,True,True,True,True,,,,,,,True
53,Huskies,1392.19707,1405.63968,64.0,39.0,-25.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,True,,,,,,,,,True,,,
54,Huskies,1405.63968,1409.3117029999999,71.0,80.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,
55,Opponent6,1409.3117029999999,1413.000028,14.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
56,Huskies,1413.000028,1457.647387,68.0,39.0,-29.0,3.0,0.0,6.0,12.0,4.0,12.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,True,True,,,,,,True,True,True,,,
57,Huskies,1457.647387,1482.0362599999999,70.0,39.0,-31.0,2.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,True,True,,True,,,
58,Opponent6,1482.0362599999999,1493.019732,28.0,39.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,,,,True,,,,,,,,,
59,Opponent6,1493.019732,1517.838551,48.0,39.0,-9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,True,,,,True,True,,,,,,,,,
60,Opponent6,1517.838551,1533.013502,38.0,39.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,True,,True,,,,,,,,
61,Opponent6,1533.013502,1564.049816,55.0,39.0,-16.0,6.0,0.0,1.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,,,True,,True,,,,True,True,,,,,,,,,
62,Huskies,1564.049816,1574.9642470000001,27.0,39.0,12.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,True,,,True,True,,
63,Opponent6,1574.9642470000001,1604.353985,27.0,41.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,,,,,,
64,Huskies,1604.353985,1629.640935,44.0,39.0,-5.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,True,,True,
65,Huskies,1629.640935,1632.538294,21.0,19.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,
66,Opponent6,1632.538294,1673.937339,71.0,77.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,
67,Opponent6,1673.937339,1700.391264,26.0,39.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
68,Opponent6,1700.391264,1713.790064,61.0,39.0,-22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,,,,,,,,,,,,,,
69,Huskies,1713.790064,1784.2734300000004,36.0,39.0,3.0,10.0,1.0,4.0,14.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,,,,True,True,True,,,,,True,True,True,True,True,True,
70,Opponent6,1784.2734300000004,1863.44175,9.0,39.0,30.0,2.0,0.0,6.0,19.0,4.0,20.0,1.0,1.0,7.0,3.0,3.0,2.0,1.0,1.0,0.0,True,,True,,,True,True,True,,,,True,True,True,,,,,,,,True
71,Opponent6,1863.44175,1923.532284,59.0,39.0,-20.0,2.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,,,,True,True,True,,,,,,,,True
72,Huskies,1923.532284,1930.166637,22.0,4.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
73,Huskies,1930.166637,1934.448971,66.0,63.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
74,Huskies,1934.448971,1950.880396,42.0,39.0,-3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,True,True,,,
75,Opponent6,1950.880396,1963.225789,8.0,21.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
76,Opponent6,1963.225789,1992.2720550000001,8.0,39.0,31.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,True,,,,,,,
77,Huskies,1992.2720550000001,2009.56277,41.0,39.0,-2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,True,,,True,,,
78,Huskies,2009.56277,2144.558025,68.0,39.0,-29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,
79,Opponent6,2144.558025,2151.115311,36.0,47.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,
80,Huskies,2151.115311,2186.320768,31.0,39.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,True,,
81,Huskies,2186.320768,2286.604191,66.0,39.0,-27.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,True,,
82,Opponent6,2286.604191,2334.3579059999997,39.0,39.0,0.0,3.0,0.0,6.0,17.0,3.0,7.0,1.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,True,,True,,,True,True,True,,,,True,,True,True,,,,,,,
83,Huskies,2334.3579059999997,2341.729075,14.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,True,,
84,Opponent6,2341.729075,2376.129401,33.0,39.0,6.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,True,,,,,,,,,,
85,Huskies,2376.129401,2386.234798,61.0,39.0,-22.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,True,True,True,True,,
86,Opponent6,2386.234798,2393.947825,28.0,39.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,,,,,,,,,
87,Huskies,2393.947825,2429.7528629999997,72.0,90.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,
88,Huskies,2429.7528629999997,2461.457136,27.0,39.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,True,,True,
89,Huskies,2461.457136,2475.5726050000003,69.0,39.0,-30.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,True,,,True,,,
90,Opponent6,2475.5726050000003,2488.694543,9.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True
91,Opponent6,2488.694543,2530.344041,76.0,39.0,-37.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,,,,,,,,,
92,Huskies,2530.344041,2591.695775,6.0,15.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
93,Opponent6,2591.695775,2623.603955,69.0,39.0,-30.0,0.0,0.0,4.0,9.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,,True,True,True,,,,,,,,True
94,Huskies,2623.603955,2631.4218539999997,14.0,25.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
95,Huskies,2631.4218539999997,2637.439758,32.0,39.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,True,,
96,Opponent6,2637.439758,2683.6633859999997,55.0,39.0,-16.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,True,,,,,,,
97,Opponent6,2683.6633859999997,2744.246388,97.0,39.0,-58.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,True,,,,,True,True,,,,,,,,,
98,Opponent6,2744.246388,3900.0,82.0,78.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
