,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent8_M5,Opponent8_M6,Opponent8_D6,Opponent8_F1,Opponent8_M1,Opponent8_G1,Opponent8_D3,Opponent8_D2,Huskies_G1,Huskies_D8,Opponent8_M2,Huskies_D4,Huskies_F2,Huskies_M4,Huskies_D3,Huskies_F6,Opponent8_F2,Opponent8_D7,Huskies_F5,Huskies_M6,Huskies_D1,Huskies_M12,Huskies_F1,Opponent8_F5,Huskies_D6,Opponent8_F4,Huskies_M2,Opponent8_D4
31,Huskies,800.5367799999998,818.0494720000003,45.0,38.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,
32,Opponent8,818.0494720000003,834.6717610000002,48.0,38.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,
33,Huskies,834.6717610000002,903.8697860000003,46.0,38.0,-8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,True,,,,,,
34,Opponent8,903.8697860000003,911.6206699999997,50.0,43.0,-7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Huskies,911.6206699999997,963.0527189999997,33.0,38.0,5.0,3.0,0.0,4.0,6.0,4.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,True,True,True,,,True,,True,True,,,,,,
36,Huskies,963.0527189999997,992.823183,39.0,38.0,-1.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,True,True,,,,True,,,,,,,,
37,Opponent8,992.823183,1042.1527640000002,31.0,38.0,7.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,True,,,,,,,,,,,,,,,,,
38,Huskies,1042.1527640000002,1054.1791660000001,70.0,38.0,-32.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,True,,,,,,
39,Huskies,1054.1791660000001,1064.9431450000004,86.0,96.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,
40,Opponent8,1064.9431450000004,1101.6933870000003,23.0,38.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
41,Huskies,1101.6933870000003,1209.7793250000004,11.0,38.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,,,,,,,,,,,,,
42,Opponent8,1209.7793250000004,1239.3499780000002,31.0,13.0,-18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
43,Opponent8,1239.3499780000002,1263.3441030000004,77.0,68.0,-9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
44,Huskies,1263.3441030000004,1268.835051,17.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,
45,Opponent8,1268.835051,1283.101071,53.0,38.0,-15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
46,Huskies,1283.101071,1299.3987260000004,26.0,7.0,-19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,
47,Huskies,1299.3987260000004,1363.25742,66.0,38.0,-28.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,True,,True,True,,,,,,
48,Opponent8,1363.25742,1473.7335150000001,29.0,38.0,9.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,True,,,,,,,,,,
49,Huskies,1473.7335150000001,1495.6295010000006,14.0,54.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,
50,Opponent8,1495.6295010000006,1541.3739349999994,35.0,38.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,
51,Opponent8,1541.3739349999994,1544.014413,62.0,51.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
52,Huskies,1544.014413,1550.9871270000006,47.0,78.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,,,,,
53,Opponent8,1550.9871270000006,1572.355823,8.0,38.0,30.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,True,,,,,,,,,,,,,,,,,
54,Huskies,1572.355823,1675.4663570000002,15.0,28.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True,,,,,,
55,Opponent8,1675.4663570000002,1729.9738939999993,44.0,38.0,-6.0,0.0,0.0,12.0,14.0,6.0,12.0,0.0,1.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,True,,True,,True,,True,True,,,True,,,,,,True,True,,,,,,,,,,
56,Opponent8,1729.9738939999993,1780.5960539999994,78.0,38.0,-40.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,True,,,,,,,,,,,,,,,,,
57,Huskies,1780.5960539999994,2017.6498680000007,33.0,38.0,5.0,12.0,2.0,4.0,11.0,4.0,12.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,True,True,True,,,,True,True,,,True,,,,,
58,Huskies,2017.6498680000007,2066.726744,93.0,38.0,-55.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,True,True,,,True,,,,,
59,Huskies,2066.726744,2080.017743000001,85.0,92.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,,,,,,
60,Huskies,2080.017743000001,2270.399657,88.0,38.0,-50.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,True,,,,,,,,
61,Opponent8,2270.399657,2271.617757,58.0,63.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
62,Huskies,2271.617757,2280.693744,36.0,38.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,True,,,,True,,,
63,Opponent8,2280.693744,2288.098405,42.0,38.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,,
64,Opponent8,2288.098405,2371.184088,73.0,38.0,-35.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,True,,,,,,True,,,,
65,Opponent8,2371.184088,2419.19259,63.0,57.0,-6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,
66,Opponent8,2419.19259,2421.338973,30.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,
67,Huskies,2421.338973,2425.602054,48.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,
68,Opponent8,2425.602054,2440.0211059999997,22.0,38.0,16.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,,,,,,True,,,,,,,,,,
69,Huskies,2440.0211059999997,2445.148604,36.0,45.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,
70,Huskies,2445.148604,2465.312621,37.0,38.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,
71,Huskies,2465.312621,2648.0293070000002,54.0,38.0,-16.0,12.0,0.0,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,,,,,,True,,,,True,,True,
72,Opponent8,2648.0293070000002,2649.451527,37.0,33.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,
73,Huskies,2649.451527,2654.202937,43.0,56.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,,,,,,,
74,Huskies,2654.202937,2693.787695,35.0,38.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,True,,,
75,Opponent8,2693.787695,2720.529613,61.0,38.0,-23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,True
76,Huskies,2720.529613,2734.703377,38.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,True,,,
77,Opponent8,2734.703377,2786.963514,76.0,82.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,
78,Huskies,2786.963514,2811.9314050000007,15.0,54.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,
79,Huskies,2811.9314050000007,2898.1869260000008,48.0,38.0,-10.0,6.0,0.0,8.0,17.0,7.0,21.0,2.0,0.0,8.0,8.0,8.0,1.0,2.0,0.0,0.0,,,,,,,,,True,True,,True,True,,True,,,,,True,True,,,,True,,True,
80,Opponent8,2898.1869260000008,2904.905588,84.0,82.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,
81,Opponent8,2904.905588,3900.0,79.0,38.0,-41.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,True
