,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent1_M3,Opponent1_M4,Huskies_D8,Huskies_M1,Huskies_G1,Huskies_D3,Huskies_F2,Huskies_D4,Huskies_D1,Opponent1_M2,Opponent1_D5,Opponent1_M5,Opponent1_D6,Opponent1_G1,Opponent1_D3,Huskies_M4,Huskies_F5,Opponent1_D4,Opponent1_F4,Opponent1_M6,Huskies_F6,Huskies_M12
13,Opponent1,490.05036800000005,510.123146,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,True,True,,
14,Opponent1,510.123146,539.8009480000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,,,,
15,Huskies,539.8009480000001,561.015796,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,True,
16,Huskies,561.015796,565.71138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,
17,Opponent1,565.71138,625.988959,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,True,,,
18,Huskies,625.988959,642.6514530000001,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,True,,,,,,,True,,,,,True,
19,Opponent1,642.6514530000001,694.503297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
20,Opponent1,694.503297,735.1361059999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
21,Opponent1,735.1361059999999,754.231088,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,True,,,
22,Opponent1,754.231088,759.856218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,
23,Opponent1,759.856218,770.2597549999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
24,Opponent1,770.2597549999999,810.558832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
25,Opponent1,810.558832,814.470062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
26,Huskies,814.470062,822.75486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,True,,,,,,,,,,,,,
27,Opponent1,822.75486,840.425432,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,,,,,,
28,Opponent1,840.425432,875.187342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
29,Opponent1,875.187342,884.8261440000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,
30,Huskies,884.8261440000001,899.494997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True
31,Opponent1,899.494997,959.309425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
32,Huskies,959.309425,966.979305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,True
33,Opponent1,966.979305,987.0866300000001,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,True,True,,,,,,,
34,Huskies,987.0866300000001,992.338823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,
35,Huskies,992.338823,1023.763173,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,True,,,,,,,,True,,,,,,
36,Opponent1,1023.763173,1050.1444060000001,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,,,,,,,True,,
37,Huskies,1050.1444060000001,1095.304214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,True,,,,,,
38,Huskies,1095.304214,1099.010017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True
39,Opponent1,1099.010017,1140.552044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,
40,Opponent1,1140.552044,1151.052931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,True,,,,,,,,
41,Huskies,1151.052931,1161.647564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
42,Opponent1,1161.647564,1171.094623,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,,,
43,Huskies,1171.094623,1177.830826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
44,Huskies,1177.830826,1238.610997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,,,,,,,,,,,,,,
45,Opponent1,1238.610997,1246.782205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,True,,
46,Opponent1,1246.782205,1298.293486,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,True,,,,,,,,,,
47,Opponent1,1298.293486,1313.101937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,True,,,,
48,Opponent1,1313.101937,1352.2823210000001,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,True,,,True,,,,
49,Opponent1,1352.2823210000001,1356.94138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,
50,Huskies,1356.94138,1372.199961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,
51,Opponent1,1372.199961,1401.036377,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,True,True,,
52,Huskies,1401.036377,1407.312043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,
53,Opponent1,1407.312043,1443.1907529999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,,,,,,True,,
54,Huskies,1443.1907529999999,1475.217711,1.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,True,True,True,True,,,,,,,,,,,,,True
55,Opponent1,1475.217711,1481.512859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
56,Huskies,1481.512859,1489.8976810000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,
57,Opponent1,1489.8976810000001,1585.2745380000001,4.0,11.0,3.0,11.0,0.0,1.0,6.0,3.0,3.0,2.0,1.0,1.0,0.0,True,True,,,,,,,,True,True,True,True,,True,,,,,True,,
58,Huskies,1585.2745380000001,1589.701299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True
59,Huskies,1589.701299,1640.102726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,True,,,,,
60,Opponent1,1640.102726,1667.711374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
61,Huskies,1667.711374,1691.2095809999998,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,,,,,,,,True,True,,,,,
62,Opponent1,1691.2095809999998,1706.5913070000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
63,Huskies,1706.5913070000001,1760.239684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,
64,Huskies,1760.239684,1764.2519539999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
65,Opponent1,1764.2519539999998,1858.214757,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,,,,,,,,
66,Huskies,1858.214757,1901.4960629999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
67,Huskies,1901.4960629999998,1904.5372690000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True
68,Huskies,1904.5372690000002,1940.613731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True
69,Huskies,1940.613731,1946.3512600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,
70,Huskies,1946.3512600000001,2091.167708,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,True,,,,,,,,,,,,True,
71,Huskies,2091.167708,2145.735347,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,True,True,True,,,,,,,True,,,,,True,
72,Huskies,2145.735347,2220.802145,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,True,True,,,,,,,True,,,,,,
73,Opponent1,2220.802145,2226.1537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
74,Huskies,2226.1537,2278.616497,7.0,14.0,3.0,14.0,0.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,True,True,True,True,,,,,,,,,,,,True,
75,Huskies,2278.616497,2283.025118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
76,Opponent1,2283.025118,2295.4199710000003,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,,,,,,True,,
77,Huskies,2295.4199710000003,2300.260405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
78,Opponent1,2300.260405,2327.738558,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,True,,,,True,,,
79,Opponent1,2327.738558,2341.995489,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,True,,,,
80,Huskies,2341.995489,2386.7033890000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,,,,True,True,,,,,
81,Opponent1,2386.7033890000002,2425.841536,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,True,,,,,,True,True,,
82,Huskies,2425.841536,2469.494304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,
83,Huskies,2469.494304,2476.293045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,True,,,,,
84,Opponent1,2476.293045,2505.858314,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,True,,,,True,,,
85,Opponent1,2505.858314,2527.596474,3.0,9.0,2.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,True,,,True,True,,,
86,Huskies,2527.596474,2565.171797,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,,,,,,,,
87,Huskies,2565.171797,2578.682187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,,,,,,,,,,,,,,,
88,Opponent1,2578.682187,2602.662478,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,,True,,,,,,,
89,Huskies,2602.662478,2664.9656170000003,4.0,9.0,2.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,,True,,,True,True,True,,,,,,,,True,,,,,True,
90,Huskies,2664.9656170000003,2756.735244,2.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,True,,,,,,,,True,,,,True,
91,Huskies,2756.735244,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,True,
