,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F2,Huskies_M6,Opponent11_M4,Opponent11_D3,Opponent11_F1,Opponent11_F2,Opponent11_M3,Huskies_M1,Huskies_F4,Opponent11_M1,Opponent11_M2,Opponent11_D2,Huskies_M11,Opponent11_D1,Opponent11_D4,Opponent11_G1,Huskies_G1,Huskies_M4,Huskies_D1,Huskies_D4,Huskies_M10,Huskies_D7,Huskies_F1,Opponent11_G2,Opponent11_D5,Huskies_M8,Opponent11_F3
14,Opponent11,244.46163199999998,262.9813330000002,71.0,29.0,-42.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,True,,True,,True,,,,,,,,,,,,,
15,Opponent11,262.9813330000002,361.459108,34.0,29.0,-5.0,6.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,True,,True,,,,,,,,,,,,,
16,Huskies,361.459108,383.32734699999986,8.0,29.0,21.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,True,,,,,,,,,
17,Opponent11,383.32734699999986,388.95919599999985,32.0,29.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,,,,
18,Huskies,388.95919599999985,440.32651600000014,41.0,72.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,
19,Huskies,440.32651600000014,455.73902300000015,56.0,69.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
20,Opponent11,455.73902300000015,477.38539399999985,37.0,29.0,-8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,,True,True,,,,,,,,,,,,
21,Huskies,477.38539399999985,481.0108730000002,93.0,87.0,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,
22,Huskies,481.0108730000002,880.9128740000001,97.0,29.0,-68.0,3.0,0.0,3.0,13.0,2.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,,,,,True,True,,,,,,,,,True,True,True,True,,,,,,
23,Opponent11,880.9128740000001,885.0262670000003,34.0,29.0,-5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
24,Huskies,885.0262670000003,896.4003160000003,54.0,29.0,-25.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,True,,,,,,,,,,,,,,,,,,,
25,Huskies,896.4003160000003,962.204175,50.0,29.0,-21.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,True,,True,True,,,,,
26,Opponent11,962.204175,1046.4896280000003,71.0,29.0,-42.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
27,Opponent11,1046.4896280000003,1160.6801459999995,29.0,29.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,True,,,,True,,,,,,,,,,,,
28,Huskies,1160.6801459999995,1179.366078,51.0,28.0,-23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
29,Huskies,1179.366078,1184.866124,78.0,29.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,
30,Opponent11,1184.866124,1195.5146699999996,27.0,31.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,
31,Opponent11,1195.5146699999996,1215.448101,68.0,29.0,-39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
32,Opponent11,1215.448101,1232.1652169999998,83.0,29.0,-54.0,4.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,True,,True,,,,,,,,,,,,,,,
33,Huskies,1232.1652169999998,1254.3227779999995,3.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,
34,Opponent11,1254.3227779999995,1259.7726759999996,93.0,81.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
35,Huskies,1259.7726759999996,1271.9336890000004,6.0,3.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,
36,Huskies,1271.9336890000004,1323.2137030000004,51.0,79.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
37,Opponent11,1323.2137030000004,1363.547197,64.0,29.0,-35.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,
38,Huskies,1363.547197,1398.4542849999998,58.0,29.0,-29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,True,,,,,,,
39,Huskies,1398.4542849999998,1403.045357,23.0,54.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,
40,Opponent11,1403.045357,1452.3849250000005,35.0,36.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,
41,Huskies,1452.3849250000005,1486.9048059999993,85.0,91.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,
42,Huskies,1486.9048059999993,1494.899343,26.0,31.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,
43,Opponent11,1494.899343,1503.9670079999994,72.0,29.0,-43.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,
44,Huskies,1503.9670079999994,1530.0489280000004,27.0,63.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,
45,Opponent11,1530.0489280000004,1558.4256919999998,34.0,22.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,
46,Huskies,1558.4256919999998,1581.6925210000002,22.0,29.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,True,,,,,True,,,,
47,Huskies,1581.6925210000002,1599.753541,65.0,58.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,
48,Opponent11,1599.753541,1646.245645,33.0,29.0,-4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,True,,,,,,,,,,,,,,,
49,Opponent11,1646.245645,1651.2576719999995,10.0,29.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,
50,Huskies,1651.2576719999995,1782.5419060000006,76.0,29.0,-47.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,True,,,,
51,Huskies,1782.5419060000006,1798.3555939999994,47.0,66.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,
52,Opponent11,1798.3555939999994,2014.0734289999998,70.0,29.0,-41.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,True,,,True,,,,,,,,,,,,,
53,Opponent11,2014.0734289999998,2027.4422240000006,72.0,78.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,
54,Opponent11,2027.4422240000006,2047.5390489999997,13.0,29.0,16.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,True,True,,,True,,,,,,,,,True,,,
55,Opponent11,2047.5390489999997,2149.184813,48.0,29.0,-19.0,5.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,True,,,,True,,,,,,,,,,,True,,
56,Opponent11,2149.184813,2160.8518710000003,39.0,29.0,-10.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,True,True,,,,,,,,,,,,
57,Huskies,2160.8518710000003,2169.914642,17.0,3.0,-14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,
58,Opponent11,2169.914642,2195.2935690000004,56.0,29.0,-27.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,True,True,,,True,,,,,,,,,,True,,
59,Opponent11,2195.2935690000004,2268.7362030000004,76.0,29.0,-47.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
60,Opponent11,2268.7362030000004,2277.924801,30.0,29.0,-1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,
61,Huskies,2277.924801,2283.1129960000003,70.0,86.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,
62,Opponent11,2283.1129960000003,2286.106754000001,24.0,38.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,
63,Huskies,2286.106754000001,2323.9789260000002,52.0,45.0,-7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,
64,Huskies,2323.9789260000002,2398.20299,86.0,95.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
65,Opponent11,2398.20299,2451.027438,70.0,90.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
66,Opponent11,2451.027438,2467.8381219999997,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,
67,Huskies,2467.8381219999997,2494.8228790000007,79.0,84.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,
68,Huskies,2494.8228790000007,2528.995202,55.0,84.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,
69,Opponent11,2528.995202,2547.0594109999997,30.0,29.0,-1.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,,,,,,,,,,,,True,,
70,Opponent11,2547.0594109999997,2620.332582,58.0,47.0,-11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,
71,Huskies,2620.332582,2624.481541,58.0,70.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,,,
72,Opponent11,2624.481541,2632.591759,22.0,29.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,True,,,,,,,,,,,,,,True,,
73,Huskies,2632.591759,2634.3215600000008,63.0,69.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,
74,Huskies,2634.3215600000008,2822.438825,63.0,89.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,True,
75,Opponent11,2822.438825,2832.784863,51.0,29.0,-22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,True,,,,,,,,,,,,
76,Opponent11,2832.784863,2901.8351780000007,85.0,29.0,-56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
77,Opponent11,2901.8351780000007,2911.752898,22.0,50.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True
78,Opponent11,2911.752898,2914.9624750000007,32.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,
79,Huskies,2914.9624750000007,2967.2496109999997,20.0,19.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,
80,Opponent11,2967.2496109999997,2976.600475,35.0,37.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
81,Opponent11,2976.600475,3042.7271490000007,14.0,29.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,True,,,
82,Opponent11,3042.7271490000007,3066.3661410000004,23.0,29.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,True,,,
83,Huskies,3066.3661410000004,3079.0241920000003,60.0,90.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
84,Huskies,3079.0241920000003,3090.286268,30.0,39.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,
85,Opponent11,3090.286268,3102.856693,24.0,29.0,5.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,True,,,,,,,,,,,,,True
86,Huskies,3102.856693,3142.5580800000002,53.0,72.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,
87,Huskies,3142.5580800000002,3145.7368800000004,15.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
88,Opponent11,3145.7368800000004,3148.671779,70.0,90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,
89,Huskies,3148.671779,3153.083817,11.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,
90,Opponent11,3153.083817,3171.527147,65.0,29.0,-36.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,,,,,,,True,True,,True
91,Opponent11,3171.527147,3179.962126000001,54.0,29.0,-25.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,True,,,,,,,,,,,,True
92,Huskies,3179.962126000001,3185.93293,18.0,25.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
93,Opponent11,3185.93293,3214.215491,57.0,29.0,-28.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,,,,,,,,,,,True,,
94,Huskies,3214.215491,3220.563332,14.0,67.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,
95,Opponent11,3220.563332,3440.7735450000005,35.0,29.0,-6.0,14.0,0.0,2.0,5.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,True,,,True,True,,,,,,,,,,,,True
96,Huskies,3440.7735450000005,3900.0,13.0,89.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,
