,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M12,Huskies_D1,Huskies_F5,Huskies_D8,Huskies_D4,Huskies_G1,Opponent17_M2,Opponent17_D2,Opponent17_M3,Opponent17_F3,Opponent17_F4,Huskies_F2,Huskies_M3,Opponent17_D5,Opponent17_D3,Huskies_D3,Opponent17_G2,Opponent17_M7,Opponent17_M1,Opponent17_D1,Huskies_M1,Huskies_F6,Huskies_M4,Huskies_F1,Opponent17_F1,Opponent17_M8,Opponent17_M5,Huskies_F4
29,Huskies,708.9003269999997,738.9376200000003,30.0,21.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
30,Huskies,738.9376200000003,746.9645500000001,64.0,70.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,
31,Opponent17,746.9645500000001,759.2580830000003,41.0,34.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,,,,,,,,,,,,,,,,
32,Opponent17,759.2580830000003,805.9771529999997,28.0,34.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,True,,,,True,,,,,,,,,,
33,Opponent17,805.9771529999997,853.6246050000001,70.0,34.0,-36.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,,,,,,,,True,,,,,,,,,
34,Huskies,853.6246050000001,877.9113980000003,62.0,34.0,-28.0,1.0,0.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,True,,,,,,,,,True,True,True,,,,,
35,Opponent17,877.9113980000003,892.0122120000002,14.0,34.0,20.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,True,True,,,,,,,,,
36,Huskies,892.0122120000002,899.6924429999998,20.0,29.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
37,Huskies,899.6924429999998,969.4267369999997,26.0,34.0,8.0,8.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,True,,,,,True,True,True,True,,,,
38,Huskies,969.4267369999997,1129.8699310000004,28.0,34.0,6.0,8.0,1.0,6.0,14.0,3.0,9.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,,True,,True,True,,,,,,,True,,,,True,,,,,True,True,True,True,,,,
39,Opponent17,1129.8699310000004,1170.721086,26.0,34.0,8.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,True,,,True,,,,,,,,,,
40,Opponent17,1170.721086,1180.2070250000004,26.0,36.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,
41,Opponent17,1180.2070250000004,1184.2780810000002,35.0,28.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,
42,Huskies,1184.2780810000002,1190.579479,36.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,
43,Opponent17,1190.579479,1199.577437,22.0,34.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,True,,,,,,,,,
44,Opponent17,1199.577437,1211.127406,26.0,43.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,
45,Opponent17,1211.127406,1216.2395029999998,31.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,
46,Opponent17,1216.2395029999998,1259.405718,45.0,27.0,-18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,
47,Opponent17,1259.405718,1270.8814040000002,18.0,34.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,True,,,
48,Huskies,1270.8814040000002,1274.476838,68.0,81.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,
49,Opponent17,1274.476838,1301.7927820000004,27.0,37.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
50,Huskies,1301.7927820000004,1322.305913,19.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,
51,Opponent17,1322.305913,1327.3651819999995,75.0,34.0,-41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,,,,True,,,
52,Opponent17,1327.3651819999995,1345.823493,66.0,34.0,-32.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,True,,,,,,,,,
53,Opponent17,1345.823493,1376.647384,40.0,34.0,-6.0,0.0,0.0,6.0,15.0,2.0,8.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,True,True,,,True,True,,,,,,,,,
54,Opponent17,1376.647384,1461.847624,69.0,34.0,-35.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,True,,,,True,True,,,,,,,,,
55,Opponent17,1461.847624,1598.0668539999995,31.0,13.0,-18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,
56,Opponent17,1598.0668539999995,1606.3263610000006,25.0,63.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,
57,Opponent17,1606.3263610000006,1611.8575210000001,86.0,86.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,
58,Huskies,1611.8575210000001,1685.777196,12.0,34.0,22.0,10.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,True,,,,,,,,,,,,,,,,
59,Huskies,1685.777196,1713.7036360000004,28.0,34.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,True,,,,,,,,,,,,
60,Huskies,1713.7036360000004,1729.6556330000005,35.0,34.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,True,,,,,,,,,True,,True,,,,,
61,Opponent17,1729.6556330000005,1784.9663689999998,47.0,34.0,-13.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,True,,,,,,,True,,,
62,Opponent17,1784.9663689999998,1788.7608039999993,22.0,39.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
63,Opponent17,1788.7608039999993,1905.0842970000006,45.0,34.0,-11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,True,,,
64,Opponent17,1905.0842970000006,1909.969515,30.0,45.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,
65,Huskies,1909.969515,1924.729999,53.0,34.0,-19.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,True,,True,,,,,
66,Huskies,1924.729999,1945.043985,59.0,34.0,-25.0,2.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,True,,,,,True,,True,,,,,
67,Huskies,1945.043985,1958.2751550000007,34.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,
68,Huskies,1958.2751550000007,2024.4882,44.0,34.0,-10.0,2.0,0.0,3.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,True,,True,,,,,,True,,,,True,,,,,True,,,True,,,,
69,Huskies,2024.4882,2032.7852700000005,18.0,31.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,
70,Opponent17,2032.7852700000005,2101.6884330000007,34.0,34.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,True,,,,,,,,
71,Huskies,2101.6884330000007,2104.9703090000007,62.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,
72,Opponent17,2104.9703090000007,2132.115405,40.0,34.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,,,,True,,
73,Opponent17,2132.115405,2142.949293,93.0,34.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,
74,Opponent17,2142.949293,2151.173739,68.0,34.0,-34.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,True,,,,,,,,
75,Opponent17,2151.173739,2205.74267,64.0,34.0,-30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,
76,Huskies,2205.74267,2262.956584,88.0,34.0,-54.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
77,Opponent17,2262.956584,2338.068395,68.0,61.0,-7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,
78,Opponent17,2338.068395,2396.745586,69.0,57.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,
79,Opponent17,2396.745586,2405.2466910000007,26.0,38.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,
80,Huskies,2405.2466910000007,2424.686234,39.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,
81,Huskies,2424.686234,2456.744834,38.0,63.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True
82,Opponent17,2456.744834,2510.426399,89.0,92.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,
83,Opponent17,2510.426399,2584.555885,9.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,
84,Opponent17,2584.555885,2595.3072190000007,9.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,
85,Opponent17,2595.3072190000007,2613.837007,18.0,32.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,
86,Opponent17,2613.837007,2680.4124760000004,11.0,34.0,23.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,True,,True,,,,,,,,,True,,
87,Opponent17,2680.4124760000004,2693.6579850000003,63.0,68.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
88,Huskies,2693.6579850000003,2760.0535550000004,9.0,19.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,
89,Opponent17,2760.0535550000004,2803.305371000001,56.0,34.0,-22.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,True,,True,,,,,,,,
90,Opponent17,2803.305371000001,2811.732555,34.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,
91,Opponent17,2811.732555,2829.664939,30.0,34.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,True,,,,,,,,,True,
92,Opponent17,2829.664939,2901.2325950000004,71.0,73.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,
93,Opponent17,2901.2325950000004,2906.997984,31.0,34.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,,,,True,True,
94,Opponent17,2906.997984,2916.214239,31.0,34.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,,,,,True,
95,Opponent17,2916.214239,3031.831254,40.0,34.0,-6.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,True,,,,,,,,,,,,,
96,Opponent17,3031.831254,3900.0,24.0,34.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,True,,,,,,,,True,True,
