,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F2,Huskies_D8,Huskies_D4,Huskies_M1,Huskies_F5,Huskies_M4,Opponent1_G1,Opponent1_F4,Opponent1_M4,Huskies_D3,Opponent1_D3,Huskies_G1,Opponent1_M2,Opponent1_M3,Opponent1_M6,Huskies_M12,Opponent1_D5,Opponent1_D6,Opponent1_D4,Huskies_F1,Opponent1_F1,Opponent1_F6,Huskies_M3,Huskies_D6
23,Huskies,687.3653939999998,774.1051550000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,True,,,,
24,Huskies,774.1051550000003,867.7809729999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,,
25,Opponent1,867.7809729999999,874.2024019999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,
26,Huskies,874.2024019999999,882.7408839999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,True,,,,
27,Opponent1,882.7408839999997,889.2095319999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,
28,Opponent1,889.2095319999999,902.3117000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,
29,Huskies,902.3117000000003,910.364651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,True,,,,,,,,
30,Opponent1,910.364651,939.129585,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,True,,,,,,,,,
31,Opponent1,939.129585,952.97698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,
32,Huskies,952.97698,965.428755,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,,True,,,,,,,,,,,,,,,True,,,,
33,Opponent1,965.428755,981.0588039999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,True,,,True,,,,,,
34,Huskies,981.0588039999997,1000.828281,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,
35,Opponent1,1000.828281,1006.744728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,
36,Huskies,1006.744728,1024.301809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,
37,Huskies,1024.301809,1084.1332460000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,,,
38,Opponent1,1084.1332460000003,1111.6791160000002,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,True,True,True,,,True,,,,,,
39,Huskies,1111.6791160000002,1116.3233520000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,True,,,,
40,Huskies,1116.3233520000003,1155.7951460000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,True,,,,,,,,
41,Huskies,1155.7951460000004,1161.9090180000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
42,Opponent1,1161.9090180000005,1203.2865229999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,,,,,,,,,,
43,Opponent1,1203.2865229999998,1207.4169270000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,
44,Opponent1,1207.4169270000002,1241.205089,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,True,,True,True,True,,,,,
45,Huskies,1241.205089,1255.811675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,True,,,,,,,,,,,,
46,Huskies,1255.811675,1297.4065469999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,True,,,,,,,,
47,Huskies,1297.4065469999996,1318.5835269999998,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,True,,,,,,True,,,,,,,,
48,Opponent1,1318.5835269999998,1323.5573320000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,
49,Huskies,1323.5573320000005,1380.1761490000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,True,,,,,,,,,,True,,,,
50,Huskies,1380.1761490000001,1493.1973380000002,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,True,,,,,True,,,,,,True,,,,,,,,
51,Opponent1,1493.1973380000002,1508.9113660000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,,
52,Opponent1,1508.9113660000005,1517.8242959999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,
53,Huskies,1517.8242959999998,1659.0605990000006,8.0,13.0,7.0,17.0,0.0,1.0,7.0,5.0,6.0,2.0,1.0,1.0,6.0,True,True,True,True,True,True,,,,,,True,,True,,,,,,,,,,,,
54,Huskies,1659.0605990000006,1688.0682749999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,
55,Huskies,1688.0682749999994,1699.3123999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
56,Huskies,1699.3123999999998,1700.4016970000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,,
57,Huskies,1700.4016970000002,1707.8614420000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,,True,,,,
58,Opponent1,1707.8614420000006,1860.587371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,,,,,,,,
59,Opponent1,1860.587371,2049.945885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,True,,,
60,Huskies,2049.945885,2057.1064030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,
61,Huskies,2057.1064030000002,2127.91444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,True,,,,,,,,
62,Huskies,2127.91444,2154.408837,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
63,Opponent1,2154.408837,2232.942789,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,True,,,True,,,
64,Huskies,2232.942789,2238.19945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,
65,Huskies,2238.19945,2251.77333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,
66,Huskies,2251.77333,2261.274554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,,,,,
67,Opponent1,2261.274554,2264.8116200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,True,,
68,Huskies,2264.8116200000004,2367.663366,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,True,,,,,,,,,,True,,,,
69,Opponent1,2367.663366,2377.3850140000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,,True,,
70,Huskies,2377.3850140000004,2414.568007,3.0,12.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,True,,True,True,True,True,,,,,,True,,True,,,,,,,,,,,,
71,Opponent1,2414.568007,2440.655153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,,
72,Huskies,2440.655153,2461.40716,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,True,,,,True,,,,
73,Opponent1,2461.40716,2484.2702360000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,,,,,
74,Opponent1,2484.2702360000008,2534.206515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,,,
75,Huskies,2534.206515,2538.040068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,
76,Huskies,2538.040068,2544.072242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,
77,Opponent1,2544.072242,2589.1942440000007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,True,,,,,,,
78,Opponent1,2589.1942440000007,2604.2536760000007,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,,,True,,
79,Huskies,2604.2536760000007,2651.2710309999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,True,,,True,
80,Opponent1,2651.2710309999998,2668.695307,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,True,,,True,,,,,,,
81,Huskies,2668.695307,2689.8548950000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,,,,,,,,,,,,,
82,Opponent1,2689.8548950000004,2702.811701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,,,,,
83,Huskies,2702.811701,2712.937704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
84,Opponent1,2712.937704,2724.5780879999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,True,,
85,Huskies,2724.5780879999998,2847.951631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True,,,,
86,Huskies,2847.951631,2874.69306,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,,,,,,,,,,,,,
87,Opponent1,2874.69306,2883.289207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,True,,,,,
88,Opponent1,2883.289207,2901.531971000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,
89,Huskies,2901.531971000001,2955.668572,2.0,11.0,3.0,5.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,True,,True,True,True,True,,,,,,,,,,,,,,,True,,,True,True
90,Opponent1,2955.668572,2967.9766170000007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,True,True,,,,,,
91,Opponent1,2967.9766170000007,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,,,,,
