,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_M4,Huskies_D5,Huskies_D2,Huskies_F1,Huskies_D6,Huskies_M3,Huskies_M6,Opponent19_D1,Opponent19_D2,Opponent19_M2,Opponent19_F1,Opponent19_M3,Opponent19_M1,Opponent19_D4,Opponent19_M4,Huskies_D7,Huskies_M12,Opponent19_G1,Huskies_G1,Opponent19_F3,Opponent19_D3,Huskies_M8,Huskies_F4,Opponent19_M5,Huskies_M11,Opponent19_M6
42,Opponent19,1150.754974,1202.3906930000005,61.0,28.0,-33.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,True,,,True,,,,,,,,
43,Opponent19,1202.3906930000005,1308.177597,43.0,25.0,-18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,,
44,Huskies,1308.177597,1319.835236,70.0,28.0,-42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,True,,,,
45,Huskies,1319.835236,1496.2236169999994,53.0,28.0,-25.0,9.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,True,,,,,,,,,,True,,,,,,True,,,,
46,Opponent19,1496.2236169999994,1503.023881,11.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,True,,,True,,
47,Huskies,1503.023881,1514.447172,66.0,83.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,True,,,,
48,Opponent19,1514.447172,1522.98729,15.0,28.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,True,,,,,,,,
49,Huskies,1522.98729,1533.2476150000002,24.0,23.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,,,
50,Opponent19,1533.2476150000002,1541.6209289999995,33.0,28.0,-5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,,,,,,,,,,,,,,
51,Opponent19,1541.6209289999995,1544.8281319999994,71.0,66.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
52,Opponent19,1544.8281319999994,1591.5208359999995,74.0,28.0,-46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,True,,,,,,
53,Opponent19,1591.5208359999995,1610.902467,28.0,31.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,,,
54,Opponent19,1610.902467,1619.679741,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,True,,
55,Huskies,1619.679741,1640.4539940000006,12.0,28.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,True,True,,,
56,Opponent19,1640.4539940000006,1758.867346,11.0,28.0,17.0,3.0,0.0,1.0,5.0,2.0,7.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,,True,,,True,,,,,,True,,
57,Opponent19,1758.867346,1929.951822,63.0,28.0,-35.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,,,True,,,,,,,,,,,
58,Opponent19,1929.951822,1970.717578,67.0,82.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
59,Opponent19,1970.717578,1983.121298,88.0,28.0,-60.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,True,,
60,Huskies,1983.121298,2019.5777340000006,14.0,47.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,,,True,,,
61,Huskies,2019.5777340000006,2031.599756,54.0,28.0,-26.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,True,,,
62,Huskies,2031.599756,2054.3693860000008,76.0,28.0,-48.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,True,,,,
63,Opponent19,2054.3693860000008,2116.213991,7.0,33.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,,,,,
64,Huskies,2116.213991,2136.405073,25.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
65,Huskies,2136.405073,2204.4951220000007,71.0,28.0,-43.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,True,,,,,,,,,True,,,,,,,,,,
66,Opponent19,2204.4951220000007,2315.427864,92.0,28.0,-64.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,
67,Opponent19,2315.427864,2382.280825,24.0,27.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,,,,True,,
68,Huskies,2382.280825,2387.0934610000004,56.0,81.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,,
69,Opponent19,2387.0934610000004,2392.73038,16.0,22.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,,,,,,
70,Opponent19,2392.73038,2409.834717,24.0,28.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,True,,,,,,,,True,,,,,
71,Huskies,2409.834717,2433.0234920000007,20.0,28.0,8.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,True,,,,,,,,,,,,,True,,,,,,,
72,Opponent19,2433.0234920000007,2450.370222,36.0,28.0,-8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,,,,,,,,,,
73,Opponent19,2450.370222,2466.0766550000003,90.0,28.0,-62.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,,,True,,
74,Opponent19,2466.0766550000003,2582.841743,62.0,28.0,-34.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,True,,,,,,,,,True,,
75,Opponent19,2582.841743,2589.391022,34.0,33.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,,,,True,,
76,Huskies,2589.391022,2593.612133,60.0,67.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,
77,Huskies,2593.612133,2605.947673,72.0,28.0,-44.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,True,True,,True,
78,Opponent19,2605.947673,2626.58003,10.0,28.0,18.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,True,,,,,,True,,
79,Huskies,2626.58003,2675.12438,35.0,28.0,-7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,
80,Opponent19,2675.12438,2736.289693,51.0,56.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,,
81,Huskies,2736.289693,2741.123862000001,26.0,68.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,True,,,
82,Opponent19,2741.123862000001,2800.581554000001,31.0,28.0,-3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,,,True
83,Opponent19,2800.581554000001,2867.674899,24.0,37.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,,
84,Opponent19,2867.674899,3900.0,66.0,72.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,True,,
