,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M3,Huskies_F6,Opponent19_M4,Opponent19_M5,Huskies_D5,Huskies_M6,Opponent19_F1,Huskies_F5,Huskies_D6,Huskies_M9,Opponent19_D4,Opponent19_M1,Opponent19_D1,Opponent19_D2,Opponent19_D3,Opponent19_G1,Huskies_D7,Opponent19_F2,Huskies_D2,Huskies_G1,Huskies_M13,Opponent19_M3
19,Opponent19,496.98405499999996,510.52028700000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,,,,,
20,Huskies,510.52028700000005,529.303987,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,True,,,,,,,,,True,,,
21,Huskies,529.303987,540.51273,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,True,,,,,,,,True,,True,,True,
22,Opponent19,540.51273,547.378499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
23,Opponent19,547.378499,548.071186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,
24,Opponent19,548.071186,581.2903719999999,5.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,,,,True,True,,,,,,,,,True
25,Huskies,581.2903719999999,602.7073230000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,True,
26,Opponent19,602.7073230000001,606.677774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,True,,,,
27,Huskies,606.677774,633.049346,1.0,2.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,True,True,,,,,,,,,,,True,
28,Opponent19,633.049346,706.53451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,
29,Opponent19,706.53451,720.515657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,
30,Opponent19,720.515657,724.7347129999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,True
31,Huskies,724.7347129999999,736.102805,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,,,,,,,,,,,,
32,Opponent19,736.102805,741.438959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
33,Huskies,741.438959,783.720415,6.0,11.0,4.0,10.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,True,True,,,,True,,,True,True,,,,,,,True,,True,,True,
34,Huskies,783.720415,791.099387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
35,Opponent19,791.099387,796.156861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True
36,Opponent19,796.156861,806.673803,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,,,,,,,,True
37,Opponent19,806.673803,835.483888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,True,,,,,,,
38,Huskies,835.483888,875.670024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
39,Huskies,875.670024,893.2773930000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,,,,,,
40,Opponent19,893.2773930000002,899.2411979999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,True,,,,
41,Opponent19,899.2411979999998,906.224248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,
42,Opponent19,906.224248,911.89487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
43,Huskies,911.89487,954.281484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,,,,,,,,,,,,,
44,Opponent19,954.281484,957.620707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,
45,Huskies,957.620707,962.5739990000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
46,Opponent19,962.5739990000001,1014.016778,0.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,True,True,True,,,,,,,
47,Opponent19,1014.016778,1018.475093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,
48,Huskies,1018.475093,1106.945376,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,True,,True,,,
49,Opponent19,1106.945376,1108.482899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,
50,Opponent19,1108.482899,1183.790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
51,Huskies,1183.790122,1187.177739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
52,Huskies,1187.177739,1192.9118859999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
53,Huskies,1192.9118859999999,1204.8730699999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,True,
54,Huskies,1204.8730699999999,1210.086884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,
55,Opponent19,1210.086884,1217.037923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True
56,Huskies,1217.037923,1232.194229,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,True,,
57,Opponent19,1232.194229,1278.994584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,True
58,Huskies,1278.994584,1287.6562279999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,,,,,,,,,,,
59,Opponent19,1287.6562279999998,1293.907265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,
60,Huskies,1293.907265,1339.117478,7.0,14.0,1.0,8.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,True,,True,True,True,
61,Opponent19,1339.117478,1379.126676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,
62,Opponent19,1379.126676,1468.832826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,
63,Huskies,1468.832826,1483.966761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
64,Opponent19,1483.966761,1487.700809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True
65,Huskies,1487.700809,1518.558528,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,,,,,,,,,,True,
66,Opponent19,1518.558528,1538.860263,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,True,,,,
67,Opponent19,1538.860263,1565.261278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True
68,Huskies,1565.261278,1597.683232,2.0,6.0,2.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,True,,,,,,,,True,,True,True,True,
69,Opponent19,1597.683232,1602.343267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
70,Huskies,1602.343267,1634.697038,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,,True,,,,,,,,,,,,
71,Huskies,1634.697038,1643.5950810000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
72,Huskies,1643.5950810000002,1660.254167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,
73,Huskies,1660.254167,1767.961838,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,,,,,,,,,,,,
74,Huskies,1767.961838,1778.497084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,True,,,,,
75,Huskies,1778.497084,1824.2146260000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,True,,,
76,Opponent19,1824.2146260000002,1836.201977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True
77,Opponent19,1836.201977,1846.349665,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,True,True,,,,,,,,
78,Huskies,1846.349665,1881.6573850000002,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,True,,,,,,,,True,,True,,,
79,Opponent19,1881.6573850000002,1889.456847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,
80,Opponent19,1889.456847,1897.0673530000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,True
81,Opponent19,1897.0673530000001,1916.072542,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
82,Huskies,1916.072542,1955.281661,5.0,6.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,True,True,,,,,,,True,,True,,True,
83,Opponent19,1955.281661,1979.714805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
84,Huskies,1979.714805,2054.264771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,,
85,Huskies,2054.264771,2065.794821,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,True,True,,,,,,,,,,,,
86,Opponent19,2065.794821,2172.620146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,
87,Huskies,2172.620146,2181.167302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,True,,
88,Opponent19,2181.167302,2222.281572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,True
89,Huskies,2222.281572,2268.695281,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,True,,,,,,,,,,,True,
90,Huskies,2268.695281,2290.300879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
91,Opponent19,2290.300879,2341.671383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,
92,Huskies,2341.671383,2360.518535,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,True,,True,,True,
93,Huskies,2360.518535,2431.8385129999997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,,,,,,True,,,True,,
94,Huskies,2431.8385129999997,2453.0090809999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
95,Huskies,2453.0090809999997,2526.590467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,
96,Huskies,2526.590467,2546.203631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
97,Opponent19,2546.203631,2685.113171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
98,Huskies,2685.113171,2709.310052,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,,,,,,,True,,,,True,
99,Huskies,2709.310052,2721.964355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,
100,Huskies,2721.964355,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,
