,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_M6,Opponent7_M1,Opponent7_D1,Huskies_D4,Huskies_F1,Huskies_F4,Huskies_M1,Opponent7_M2,Opponent7_M4,Huskies_D5,Huskies_M9,Huskies_D1,Huskies_M3,Opponent7_M3,Opponent7_F1,Opponent7_G1,Huskies_G1,Opponent7_M5,Opponent7_D3,Opponent7_D2,Opponent7_D4
18,Opponent7,436.798899,479.31782400000003,14.0,27.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,True,,
19,Opponent7,479.31782400000003,483.32315199999994,21.0,31.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,
20,Huskies,483.32315199999994,526.498465,76.0,27.0,-49.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,,,,,
21,Huskies,526.498465,569.353057,87.0,27.0,-60.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,True,True,,,,,,,,,
22,Huskies,569.353057,618.6260269999999,46.0,27.0,-19.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,True,,True,,,,,,,,
23,Huskies,618.6260269999999,631.836086,19.0,27.0,8.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,True,,,,,,,,,,
24,Opponent7,631.836086,649.480582,20.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
25,Huskies,649.480582,660.309889,27.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,True,,,,,,,,,
26,Opponent7,660.309889,666.3566030000001,26.0,77.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
27,Huskies,666.3566030000001,668.904325,22.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
28,Opponent7,668.904325,703.891931,36.0,27.0,-9.0,2.0,0.0,5.0,10.0,5.0,12.0,0.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,0.0,,,True,True,,,,,True,,,,,,True,,True,,True,True,True,
29,Huskies,703.891931,708.8863769999999,29.0,57.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
30,Opponent7,708.8863769999999,725.876396,40.0,27.0,-13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,True,,,,True,,
31,Opponent7,725.876396,736.033624,87.0,27.0,-60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,True,,,,,,True
32,Huskies,736.033624,782.278782,7.0,27.0,20.0,7.0,1.0,3.0,0.0,3.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,True,,,True,True,True,,,,,,,,,
33,Huskies,782.278782,792.2755129999999,63.0,73.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,
34,Huskies,792.2755129999999,815.317242,58.0,27.0,-31.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,,True,True,,,,,,,,
35,Huskies,815.317242,830.882651,68.0,27.0,-41.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,True,,,,,,,,
36,Opponent7,830.882651,837.611182,44.0,29.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,
37,Huskies,837.611182,849.9623310000001,41.0,27.0,-14.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,True,,,,,,,,,
38,Opponent7,849.9623310000001,909.6138890000001,27.0,27.0,0.0,0.0,0.0,4.0,9.0,4.0,8.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,,,,,,True,,,,,,True,True,,,True,True,True,
39,Huskies,909.6138890000001,916.989589,26.0,27.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,
40,Opponent7,916.989589,924.107674,34.0,20.0,-14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
41,Opponent7,924.107674,928.4100779999999,34.0,27.0,-7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,True,,True,
42,Huskies,928.4100779999999,999.806242,32.0,27.0,-5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,True,,,,,,,,,
43,Huskies,999.806242,1007.230417,38.0,27.0,-11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,,,,,,,,,,,
44,Huskies,1007.230417,1020.752023,51.0,27.0,-24.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,,,,,
45,Opponent7,1020.752023,1069.044837,10.0,19.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
46,Huskies,1069.044837,1079.842827,23.0,27.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,,,,,,,,
47,Huskies,1079.842827,1146.745591,52.0,27.0,-25.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,True,,,,,,,,
48,Huskies,1146.745591,1168.075393,43.0,27.0,-16.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,True,,,,,,,,
49,Opponent7,1168.075393,1187.7093730000001,37.0,27.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,,,
50,Opponent7,1187.7093730000001,1245.030116,45.0,27.0,-18.0,2.0,0.0,8.0,16.0,3.0,9.0,6.0,1.0,7.0,5.0,3.0,2.0,5.0,1.0,0.0,,,,,,,,,True,True,,,,,True,True,,,,True,True,True
51,Opponent7,1245.030116,1251.34796,88.0,82.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,
52,Opponent7,1251.34796,1357.5674179999999,88.0,99.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
53,Huskies,1357.5674179999999,1365.115024,25.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
54,Opponent7,1365.115024,1442.133724,94.0,93.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
55,Huskies,1442.133724,1499.893885,29.0,16.0,-13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,
56,Opponent7,1499.893885,1531.255017,28.0,27.0,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,True,,True,,,,,
57,Huskies,1531.255017,1548.136398,38.0,27.0,-11.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,,,,,True,,,,
58,Opponent7,1548.136398,1552.175845,23.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
59,Huskies,1552.175845,1574.613188,28.0,23.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,
60,Opponent7,1574.613188,1585.919854,30.0,27.0,-3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,True,,
61,Huskies,1585.919854,1619.23671,39.0,27.0,-12.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,True,,True,True,,,,,,,,
62,Huskies,1619.23671,1625.6113779999998,81.0,90.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,
63,Huskies,1625.6113779999998,1715.6928260000002,81.0,27.0,-54.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,True,,True,,,,,,,,
64,Huskies,1715.6928260000002,1752.0080679999999,64.0,27.0,-37.0,0.0,0.0,2.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,True,True,,True,,,True,,True,True,,,,True,,,,
65,Opponent7,1752.0080679999999,1779.6525559999998,21.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,
66,Huskies,1779.6525559999998,1790.630914,30.0,49.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,
67,Huskies,1790.630914,1829.260654,81.0,76.0,-5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
68,Huskies,1829.260654,1849.5860890000001,21.0,27.0,6.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,True,,,True,,,,,,,,
69,Opponent7,1849.5860890000001,1888.10318,26.0,27.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,True,,,,,,True
70,Opponent7,1888.10318,1927.440061,52.0,27.0,-25.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,True,,,,,True,True,
71,Huskies,1927.440061,1965.721411,11.0,27.0,16.0,3.0,0.0,6.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,True,,True,True,,,,True,,,,
72,Huskies,1965.721411,2020.829925,71.0,98.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
73,Huskies,2020.829925,2027.0975579999997,84.0,27.0,-57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,
74,Huskies,2027.0975579999997,2038.042151,84.0,95.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
75,Huskies,2038.042151,2074.9714010000002,32.0,27.0,-5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,True,True,,,,True,,,,
76,Huskies,2074.9714010000002,2082.060355,71.0,81.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
77,Huskies,2082.060355,2149.482292,56.0,27.0,-29.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,True,,,,,,,,,,True,,,,
78,Huskies,2149.482292,2154.843573,31.0,46.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,
79,Opponent7,2154.843573,2164.171516,32.0,13.0,-19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,
80,Huskies,2164.171516,2241.194012,27.0,27.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,True,,,,True,,,,
81,Huskies,2241.194012,2263.456146,53.0,27.0,-26.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,True,True,,,,,,,,
82,Opponent7,2263.456146,2325.651133,15.0,47.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
83,Opponent7,2325.651133,2350.650681,59.0,27.0,-32.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,True,,True,,,,,
84,Huskies,2350.650681,2389.112137,53.0,73.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
85,Huskies,2389.112137,2402.276784,85.0,27.0,-58.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,,,,,,,
86,Huskies,2402.276784,2440.290277,82.0,79.0,-3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
87,Opponent7,2440.290277,2457.249152,43.0,27.0,-16.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,True
88,Opponent7,2457.249152,2562.902794,96.0,94.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
89,Opponent7,2562.902794,2580.7624600000004,65.0,27.0,-38.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,True,,True,,,True,,True
90,Huskies,2580.7624600000004,2670.978438,11.0,18.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
91,Opponent7,2670.978438,2688.0625370000002,61.0,84.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
92,Opponent7,2688.0625370000002,2706.115005,55.0,27.0,-28.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,True,,True,,,True,,
93,Huskies,2706.115005,2723.7785519999998,54.0,92.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,
94,Huskies,2723.7785519999998,2743.485119,65.0,27.0,-38.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,True,,,,,,,,,,
95,Huskies,2743.485119,2753.306931,12.0,25.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,
96,Huskies,2753.306931,3900.0,56.0,27.0,-29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,True,,,True,,,,,,,,
