,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent19_M1,Opponent19_F1,Huskies_D2,Huskies_F1,Huskies_M6,Opponent19_G1,Opponent19_D2,Opponent19_D3,Opponent19_D4,Opponent19_M2,Huskies_M4,Huskies_M12,Huskies_D5,Opponent19_F2,Opponent19_D1,Opponent19_M3,Huskies_M3,Huskies_G1,Huskies_D6,Huskies_D1,Opponent19_M4,Huskies_D7
47,Huskies,1463.770092,1486.563575,69.0,41.0,-28.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,True,,,,True,,True,,,
48,Opponent19,1486.563575,1493.704757,60.0,41.0,-19.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,True,,,,,,
49,Huskies,1493.704757,1497.945961,38.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,
50,Huskies,1497.945961,1559.54732,39.0,41.0,2.0,3.0,1.0,2.0,6.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,True,,,,,True,,True,True,,
51,Huskies,1559.54732,1569.159938,34.0,44.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,,,,,
52,Opponent19,1569.159938,1610.365507,45.0,41.0,-4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,True,
53,Huskies,1610.365507,1623.136909,13.0,41.0,28.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,True
54,Huskies,1623.136909,1633.665945,68.0,41.0,-27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,True
55,Huskies,1633.665945,1704.6991070000001,71.0,41.0,-30.0,6.0,0.0,3.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,,,,,,,True,,True,,,,True,,,True,,True
56,Huskies,1704.6991070000001,1712.900052,67.0,77.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,
57,Huskies,1712.900052,1778.645271,66.0,41.0,-25.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,True,,
58,Opponent19,1778.645271,1816.689621,67.0,78.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
59,Huskies,1816.689621,1904.1982649999998,26.0,41.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,True,,
60,Opponent19,1904.1982649999998,1914.002401,29.0,41.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,,,,,,,
61,Opponent19,1914.002401,1938.27811,48.0,41.0,-7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,,,,,True,True,,,,,True,
62,Opponent19,1938.27811,1954.228429,27.0,41.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
63,Huskies,1954.228429,1962.6001800000001,13.0,41.0,28.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,True,,,
64,Opponent19,1962.6001800000001,1985.639804,39.0,41.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,True,True,,,,,True,,,,,,True,
65,Huskies,1985.639804,2001.65418,21.0,8.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,
66,Opponent19,2001.65418,2009.369184,81.0,71.0,-10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
67,Huskies,2009.369184,2015.663264,37.0,36.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,
68,Opponent19,2015.663264,2057.583593,23.0,41.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,True,True,,,,,,,True,True,,,,,,
69,Huskies,2057.583593,2087.580352,58.0,41.0,-17.0,2.0,0.0,3.0,8.0,3.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,True,,,,True,,True,True,,True
70,Opponent19,2087.580352,2115.709389,23.0,41.0,18.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,,,,,,,True,
71,Opponent19,2115.709389,2161.7385510000004,60.0,79.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,
72,Opponent19,2161.7385510000004,2222.034919,72.0,41.0,-31.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,True,
73,Huskies,2222.034919,2263.872066,71.0,41.0,-30.0,4.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,True,True,,,,True,,True,True,,True
74,Opponent19,2263.872066,2304.839815,12.0,41.0,29.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,True,
75,Huskies,2304.839815,2310.639789,41.0,74.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,True,,,
76,Opponent19,2310.639789,2315.9185399999997,37.0,31.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,
77,Huskies,2315.9185399999997,2383.345142,56.0,41.0,-15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,True,,
78,Huskies,2383.345142,2407.4202600000003,28.0,27.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
79,Huskies,2407.4202600000003,2436.972678,26.0,41.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,True,,,,,
80,Huskies,2436.972678,2501.143275,60.0,41.0,-19.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,True,True,,
81,Opponent19,2501.143275,2526.040337,54.0,41.0,-13.0,3.0,1.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,,,,,,True,,,,,True,
82,Huskies,2526.040337,2535.858624,12.0,27.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
83,Huskies,2535.858624,2663.5309989999996,13.0,41.0,28.0,8.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,True,True,,
84,Opponent19,2663.5309989999996,2703.935966,58.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
85,Huskies,2703.935966,3900.0,67.0,63.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,,,,,,
