,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F4,Huskies_F6,Huskies_M3,Opponent9_M3,Opponent9_G1,Opponent9_D6,Opponent9_M2,Opponent9_D3,Opponent9_D2,Opponent9_M6,Opponent9_D5,Opponent9_F3,Opponent9_M1,Opponent5_M3,Huskies_D5,Huskies_D9,Huskies_M1,Huskies_D2,Huskies_D7,Huskies_D1,Huskies_M12,Huskies_G1
32,Huskies,1215.576843,1264.795586,33.0,43.0,10.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,True,True,True,True,,
33,Opponent9,1264.795586,1270.037289,19.0,18.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
34,Huskies,1270.037289,1323.6660259999999,96.0,95.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,
35,Opponent9,1323.6660259999999,1370.712204,39.0,43.0,4.0,0.0,0.0,7.0,18.0,6.0,15.0,2.0,2.0,7.0,2.0,8.0,1.0,2.0,0.0,0.0,,,,True,,True,True,True,True,True,True,,,True,,,,,,,,
36,Huskies,1370.712204,1438.669886,8.0,25.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,
37,Huskies,1438.669886,1468.578498,15.0,43.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,True,,,True
38,Huskies,1468.578498,1477.437239,57.0,68.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,
39,Opponent9,1477.437239,1492.657563,29.0,43.0,14.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,True,,,True,,,,,,,,,
40,Opponent9,1492.657563,1502.645879,33.0,30.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
41,Opponent9,1502.645879,1513.002477,13.0,9.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
42,Opponent9,1513.002477,1521.7160509999999,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,
43,Opponent9,1521.7160509999999,1583.656273,37.0,43.0,6.0,0.0,0.0,11.0,19.0,8.0,27.0,0.0,2.0,10.0,6.0,2.0,1.0,0.0,0.0,12.0,,,,True,,True,True,True,True,True,True,True,True,True,,,,,,,,
44,Huskies,1583.656273,1712.3538579999997,28.0,43.0,15.0,13.0,1.0,3.0,6.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,True,True,,True,True,,,
45,Opponent9,1712.3538579999997,1751.663752,68.0,43.0,-25.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,True,True,,True,,,,,,,,,
46,Opponent9,1751.663752,1787.7196079999999,42.0,43.0,1.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,True,,True,,,,,,,,,,,
47,Huskies,1787.7196079999999,1809.275489,18.0,43.0,25.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,True,True,True,True
48,Huskies,1809.275489,1819.838904,68.0,60.0,-8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,
49,Opponent9,1819.838904,1824.739797,25.0,26.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,
50,Huskies,1824.739797,1833.323357,64.0,43.0,-21.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,True,
51,Huskies,1833.323357,1890.9842260000003,75.0,43.0,-32.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,True,True,,,,,
52,Opponent9,1890.9842260000003,1922.8109809999999,19.0,43.0,24.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,,,,,,,,
53,Opponent9,1922.8109809999999,1925.631142,62.0,70.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,
54,Huskies,1925.631142,1928.201426,24.0,28.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
55,Huskies,1928.201426,1971.092419,22.0,43.0,21.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,True,,,True,True,
56,Huskies,1971.092419,2056.166232,60.0,43.0,-17.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,True,,True,,True
57,Opponent9,2056.166232,2070.890759,22.0,26.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,
58,Huskies,2070.890759,2110.0811129999997,46.0,43.0,-3.0,0.0,0.0,6.0,11.0,3.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,True,True,True,True,True,,True
59,Opponent9,2110.0811129999997,2118.01958,27.0,43.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,,True,,,,,,,,,
60,Opponent9,2118.01958,2137.03603,56.0,43.0,-13.0,0.0,0.0,4.0,6.0,2.0,4.0,0.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,,,,True,,,True,,,True,True,,True,True,,,,,,,,
61,Opponent9,2137.03603,2162.754069,75.0,86.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
62,Opponent9,2162.754069,2256.324212,46.0,43.0,-3.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,True,True,True,True,,,,,,,,
63,Huskies,2256.324212,2270.585735,37.0,76.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
64,Huskies,2270.585735,2278.052164,70.0,43.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,
65,Opponent9,2278.052164,2280.156295,35.0,44.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
66,Huskies,2280.156295,2283.7636620000003,65.0,65.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
67,Opponent9,2283.7636620000003,2356.059709,42.0,43.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,True,True,,,,,,,,,
68,Opponent9,2356.059709,2479.500009,63.0,43.0,-20.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,True,,,,,,,,
69,Huskies,2479.500009,2493.8163489999997,64.0,43.0,-21.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,True,
70,Opponent9,2493.8163489999997,2598.280345,22.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
71,Opponent9,2598.280345,2604.351404,20.0,7.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
72,Huskies,2604.351404,2643.66943,28.0,64.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
73,Huskies,2643.66943,2657.521114,41.0,43.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,True,,,True
74,Opponent9,2657.521114,2677.456483,32.0,43.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,True,,,,,,,,
75,Opponent9,2677.456483,2717.681121,59.0,43.0,-16.0,3.0,0.0,3.0,9.0,3.0,6.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,True,,True,True,True,True,True,,,True,,,,,,,,,
76,Opponent9,2717.681121,2735.8615019999997,83.0,87.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,
77,Opponent9,2735.8615019999997,2760.4765859999998,40.0,43.0,3.0,7.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,,,,,,True,,,,,,,,
78,Opponent9,2760.4765859999998,2801.544602,59.0,43.0,-16.0,0.0,0.0,3.0,13.0,3.0,6.0,0.0,0.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,,,,True,,True,True,True,,,True,,True,,,,,,,,,
79,Huskies,2801.544602,2820.6165969999997,30.0,59.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
80,Opponent9,2820.6165969999997,3900.0,85.0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,
