,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Opponent12_D5,Opponent12_D2,Huskies_F4,Huskies_D5,Huskies_M1,Huskies_D8,Opponent12_F2,Opponent12_M2,Opponent12_M4,Huskies_F2,Opponent12_G2,Huskies_D9,Huskies_M4,Opponent12_D6,Opponent12_M3,Huskies_G1,Huskies_M6,Opponent12_F1,Opponent12_M5,Opponent12_D7,Huskies_D2
29,Huskies,804.112283,837.1588730000001,57.0,36.0,-21.0,4.0,0.0,3.0,8.0,1.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,True,,True,True,,,,,,,,
30,Huskies,837.1588730000001,855.1057860000002,86.0,94.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,
31,Huskies,855.1057860000002,865.9363300000001,30.0,51.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,,
32,Opponent12,865.9363300000001,872.3419610000002,66.0,36.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,True,,,
33,Huskies,872.3419610000002,1045.696268,16.0,36.0,20.0,4.0,0.0,12.0,30.0,4.0,18.0,2.0,2.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,True,True,,,True,True,True,True,,,,True,,,True,,,,True,,,,
34,Huskies,1045.696268,1056.485683,38.0,36.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,True,,,,True,,,,,
35,Opponent12,1056.485683,1084.024742,25.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,
36,Huskies,1084.024742,1139.8282470000001,24.0,100.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,,,,
37,Huskies,1139.8282470000001,1183.543032,15.0,36.0,21.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,True,,,,True,,,,,
38,Opponent12,1183.543032,1190.330911,20.0,28.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True,
39,Opponent12,1190.330911,1210.423492,31.0,41.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,
40,Huskies,1210.423492,1264.0229160000001,30.0,71.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,,
41,Huskies,1264.0229160000001,1297.716558,19.0,6.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,
42,Opponent12,1297.716558,1304.040747,40.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
43,Huskies,1304.040747,1314.145566,30.0,57.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,
44,Opponent12,1314.145566,1347.907276,45.0,36.0,-9.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,True,,,,True,,
45,Huskies,1347.907276,1409.522002,25.0,36.0,11.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,True,,,,,True,,,,
46,Huskies,1409.522002,1426.396655,28.0,36.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,True,,,,True,,,,,
47,Opponent12,1426.396655,1436.3285349999999,33.0,22.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,,
48,Huskies,1436.3285349999999,1453.449676,48.0,36.0,-12.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,True,,True,,,,,,,,,
49,Opponent12,1453.449676,1457.625432,19.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,,
50,Huskies,1457.625432,1536.975694,38.0,36.0,-2.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,True,,,,,True,,True,,,,,,,,,
51,Huskies,1536.975694,1629.208924,38.0,36.0,-2.0,6.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,True,,,,True,,True,,,,,,,,,
52,Huskies,1629.208924,1646.511283,52.0,36.0,-16.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,True,,,,True,,,,,
53,Huskies,1646.511283,1759.649666,16.0,63.0,47.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,,
54,Huskies,1759.649666,1767.8124920000002,93.0,36.0,-57.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,True,,,,True,,,,
55,Opponent12,1767.8124920000002,1784.503336,25.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,
56,Huskies,1784.503336,1862.5237,43.0,36.0,-7.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,True,,,True,,,,True,,,,
57,Opponent12,1862.5237,1871.3793219999998,27.0,23.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True,
58,Opponent12,1871.3793219999998,1878.59845,52.0,36.0,-16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,
59,Opponent12,1878.59845,1901.5528550000001,58.0,36.0,-22.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,,,,,True,,,,,True,True,
60,Huskies,1901.5528550000001,1949.393431,9.0,36.0,27.0,4.0,0.0,4.0,11.0,3.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,True,True,,,,True,,,True,,,,,,,,
61,Huskies,1949.393431,1986.464091,68.0,36.0,-32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,
62,Opponent12,1986.464091,1991.672292,24.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,,
63,Huskies,1991.672292,2030.381518,16.0,36.0,20.0,5.0,0.0,3.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,True,,True,True,,,True,,,,,
64,Huskies,2030.381518,2067.140936,95.0,88.0,-7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,
65,Opponent12,2067.140936,2086.5859769999997,4.0,34.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,
66,Huskies,2086.5859769999997,2107.6834879999997,33.0,36.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,True,,True,,,,,,,,,
67,Opponent12,2107.6834879999997,2117.033179,20.0,26.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,
68,Huskies,2117.033179,2125.6998519999997,44.0,36.0,-8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,
69,Huskies,2125.6998519999997,2146.144682,33.0,36.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,True,,,,
70,Huskies,2146.144682,2152.871525,63.0,36.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,
71,Opponent12,2152.871525,2180.930629,22.0,36.0,14.0,0.0,0.0,3.0,14.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,True,,,,,,True,,,True,,True,
72,Opponent12,2180.930629,2236.998662,61.0,70.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,,
73,Opponent12,2236.998662,2279.115421,84.0,95.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,,
74,Huskies,2279.115421,2287.960301,67.0,71.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,
75,Huskies,2287.960301,2321.279932,65.0,73.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,,
76,Huskies,2321.279932,2327.689836,91.0,36.0,-55.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,True,,,,,,,,,
77,Huskies,2327.689836,2487.040111,81.0,36.0,-45.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,,,,,True,,,,
78,Opponent12,2487.040111,2507.650928,35.0,36.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,True,,,,,True,,,,,True,True,
79,Opponent12,2507.650928,2522.9620010000003,55.0,36.0,-19.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,True,,,,,True,True,
80,Huskies,2522.9620010000003,2549.4030940000002,23.0,52.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,,
81,Huskies,2549.4030940000002,2558.588212,39.0,15.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,,,,,
82,Opponent12,2558.588212,2559.824603,31.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,True,
83,Huskies,2559.824603,2672.641202,63.0,36.0,-27.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,True,,,,,,,,,,,
84,Huskies,2672.641202,2682.7574050000003,18.0,36.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,True
85,Opponent12,2682.7574050000003,2692.48441,71.0,87.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,
86,Opponent12,2692.48441,2734.2234829999998,89.0,91.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,
87,Opponent12,2734.2234829999998,2786.784424,32.0,36.0,4.0,0.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,True,,,,True,,,,True,True,
88,Opponent12,2786.784424,3900.0,46.0,56.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,
