,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent9_M1,Opponent9_F1,Opponent9_M3,Opponent9_M2,Opponent9_D1,Opponent9_D2,Huskies_D4,Huskies_D3,Opponent9_F2,Huskies_M6,Opponent9_G1,Opponent9_D3,Opponent9_D4,Huskies_F2,Huskies_M1,Huskies_D1,Opponent9_D5,Huskies_D7,Huskies_D2,Huskies_G1,Huskies_F1,Huskies_M9
10,Opponent9,207.045457,271.517314,43.0,48.0,5.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,True,,,,True,,,,,,,,,
11,Opponent9,271.517314,305.699404,96.0,48.0,-48.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,True,,,,,
12,Huskies,305.699404,327.143812,71.0,48.0,-23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,True,,,,
13,Huskies,327.143812,360.039132,54.0,48.0,-6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,True,,,,,True,,,
14,Huskies,360.039132,369.17488399999996,60.0,48.0,-12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,True,,True,,,,
15,Opponent9,369.17488399999996,437.49940499999997,14.0,48.0,34.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,True,True,,,,,True,,,,,
16,Opponent9,437.49940499999997,479.996542,69.0,84.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,
17,Opponent9,479.996542,495.1654180000001,5.0,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
18,Huskies,495.1654180000001,517.5027299999999,41.0,48.0,7.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,True,True,,
19,Opponent9,517.5027299999999,523.1754070000001,26.0,48.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,,,,,,
20,Opponent9,523.1754070000001,567.833017,32.0,48.0,16.0,1.0,2.0,4.0,8.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,True,,,,,,,,True,,,,,
21,Opponent9,567.833017,604.1693740000001,49.0,48.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,True,,,,,,,,,,,,,,,,
22,Huskies,604.1693740000001,611.8240509999999,74.0,48.0,-26.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,True,True
23,Opponent9,611.8240509999999,655.7345889999999,33.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,True,,,,,,,,,,
24,Huskies,655.7345889999999,667.4164860000001,65.0,83.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
25,Opponent9,667.4164860000001,742.528276,17.0,48.0,31.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,,,,,,
26,Opponent9,742.528276,777.461325,45.0,48.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,True,True,,,,,,,,,
27,Opponent9,777.461325,811.171309,67.0,61.0,-6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,
28,Opponent9,811.171309,830.6220519999999,11.0,7.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
29,Opponent9,830.6220519999999,850.1412529999999,5.0,48.0,43.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,True,,True,,,,True,,,,,,,,,,,,,
30,Opponent9,850.1412529999999,861.3654879999998,72.0,48.0,-24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,True,,,,,
31,Huskies,861.3654879999998,884.9409740000001,47.0,48.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,True,True
32,Opponent9,884.9409740000001,894.8347869999999,31.0,48.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,True,,,,,,,,,,
33,Opponent9,894.8347869999999,965.4154589999999,64.0,62.0,-2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
34,Opponent9,965.4154589999999,968.105555,66.0,72.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
35,Huskies,968.105555,991.635565,28.0,35.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
36,Huskies,991.635565,995.522207,15.0,48.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,True,
37,Opponent9,995.522207,1031.526198,25.0,48.0,23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,True,,,,True,,,,,
38,Opponent9,1031.526198,1073.6694710000002,8.0,48.0,40.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,True,,True,,,,,,,,,,,
39,Opponent9,1073.6694710000002,1106.407637,61.0,48.0,-13.0,1.0,0.0,5.0,13.0,1.0,8.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,,True,,,True,,,,,True,,,,,
40,Opponent9,1106.407637,1124.403049,61.0,69.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
41,Opponent9,1124.403049,1181.204235,24.0,48.0,24.0,4.0,0.0,5.0,11.0,4.0,11.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,True,True,True,,True,True,,,,,,True,True,,,,,,,,,
42,Opponent9,1181.204235,1241.922357,53.0,48.0,-5.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,
43,Opponent9,1241.922357,1259.158394,7.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,
44,Opponent9,1259.158394,1264.195514,26.0,48.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,
45,Huskies,1264.195514,1269.471514,60.0,75.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,
46,Huskies,1269.471514,1283.415583,69.0,48.0,-21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,True,,,,,,,,
47,Huskies,1283.415583,1316.810223,70.0,48.0,-22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,True,
48,Huskies,1316.810223,1331.3544789999999,71.0,53.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
49,Huskies,1331.3544789999999,1349.962129,28.0,48.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,True,,
50,Opponent9,1349.962129,1384.897467,23.0,48.0,25.0,1.0,0.0,4.0,10.0,3.0,9.0,0.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,0.0,,True,True,True,True,True,,,,,True,True,,,,,,,,,,
51,Huskies,1384.897467,1397.051199,30.0,46.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True
52,Opponent9,1397.051199,1406.459591,13.0,48.0,35.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,True,,,,,
53,Huskies,1406.459591,1470.0606289999998,69.0,68.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,
54,Opponent9,1470.0606289999998,1474.90425,15.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
55,Huskies,1474.90425,1505.632079,54.0,48.0,-6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,True,,
56,Huskies,1505.632079,1533.509888,72.0,48.0,-24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,True,,,,,,
57,Opponent9,1533.509888,1540.337609,14.0,48.0,34.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,True,,,,,,,,,
58,Huskies,1540.337609,1571.519061,67.0,48.0,-19.0,0.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,True,,,True,True
59,Huskies,1571.519061,1572.4747029999999,63.0,70.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,
60,Opponent9,1572.4747029999999,1587.629434,31.0,48.0,17.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,,,,,True,,,,,,,,,
61,Huskies,1587.629434,1597.677541,32.0,41.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
62,Opponent9,1597.677541,1708.2668190000002,22.0,48.0,26.0,5.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,,,True,,,,,True,True,True,,,,True,,,,,
63,Opponent9,1708.2668190000002,1739.659432,38.0,48.0,10.0,4.0,0.0,3.0,5.0,1.0,4.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,,,True,True,,,,,,,,,
64,Opponent9,1739.659432,1742.938725,67.0,73.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
65,Opponent9,1742.938725,1770.7488850000002,80.0,92.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
66,Huskies,1770.7488850000002,1776.3840469999998,58.0,51.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True
67,Opponent9,1776.3840469999998,1785.626428,25.0,2.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,
68,Opponent9,1785.626428,1796.7960260000002,32.0,48.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,True,,,,,,,,,,
69,Huskies,1796.7960260000002,1890.301904,30.0,48.0,18.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,True,,,True,True
70,Huskies,1890.301904,1903.467623,14.0,75.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
71,Huskies,1903.467623,1923.864955,66.0,48.0,-18.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,True,,,,True
72,Opponent9,1923.864955,1970.794048,19.0,48.0,29.0,2.0,0.0,2.0,8.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,True,,,,,,True,True,,,,,,,,,
73,Opponent9,1970.794048,2045.87654,35.0,48.0,13.0,2.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,,,True,True,True,,,,,,,,,
74,Huskies,2045.87654,2060.3449100000003,13.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,
75,Opponent9,2060.3449100000003,2140.9870539999997,41.0,48.0,7.0,4.0,0.0,3.0,8.0,3.0,6.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,,True,True,,True,True,,,,,,True,True,,,,,,,,,
76,Opponent9,2140.9870539999997,2190.2557460000003,14.0,48.0,34.0,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,,True,,True,True,True,,,,,,,,,
77,Opponent9,2190.2557460000003,2198.667366,20.0,48.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,True,,,,,,,,,,
78,Opponent9,2198.667366,2210.306295,73.0,48.0,-25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,True,,,,,
79,Huskies,2210.306295,2224.840099,16.0,68.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
80,Huskies,2224.840099,2250.9806329999997,43.0,48.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,True,,
81,Opponent9,2250.9806329999997,2281.258276,32.0,48.0,16.0,0.0,0.0,3.0,12.0,1.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,True,,,True,True,,,,True,,,,,
82,Huskies,2281.258276,2293.95702,24.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,
83,Opponent9,2293.95702,2307.5070100000003,58.0,48.0,-10.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,True,,,,,,,,,,,,,,,,
84,Opponent9,2307.5070100000003,2327.4640870000003,64.0,48.0,-16.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,True,,,,True,,,,True,,,,,
85,Opponent9,2327.4640870000003,2399.384407,60.0,48.0,-12.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,True,,,,,,,True,True,,,,,,,,,
86,Opponent9,2399.384407,2406.618891,30.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
87,Opponent9,2406.618891,2452.744991,74.0,91.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
88,Opponent9,2452.744991,2471.821195,13.0,48.0,35.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,,,True,,True,True,,,,,,,,,,
89,Huskies,2471.821195,2479.731293,15.0,48.0,33.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,True,True,,,,True,,,True
90,Opponent9,2479.731293,2545.876256,57.0,61.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
91,Opponent9,2545.876256,2576.583618,6.0,48.0,42.0,4.0,0.0,1.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,,,,,,True,True,,,,,True,,,,,
92,Opponent9,2576.583618,2614.136914,41.0,48.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,,,True,,,,,,,,,
93,Huskies,2614.136914,2629.971606,21.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True
94,Huskies,2629.971606,2636.129308,12.0,48.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,True,,
95,Opponent9,2636.129308,2641.403288,47.0,64.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
96,Huskies,2641.403288,2649.518186,26.0,48.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,True
97,Opponent9,2649.518186,2689.5993940000003,21.0,48.0,27.0,1.0,0.0,8.0,19.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,True,True,,,,True,,,,,
98,Huskies,2689.5993940000003,2690.962798,31.0,25.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,True
99,Opponent9,2690.962798,2697.0282469999997,68.0,56.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
100,Opponent9,2697.0282469999997,2732.234445,77.0,48.0,-29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,True,,,,,
101,Opponent9,2732.234445,2739.3473440000002,16.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
102,Opponent9,2739.3473440000002,2816.264899,5.0,48.0,43.0,5.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,True,,,True,,,,,True,True,True,,,,,,,,,
103,Opponent9,2816.264899,3900.0,24.0,48.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,True,,,,,,,,,,
