,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent11_M4,Opponent11_M2,Opponent11_D1,Opponent11_M3,Opponent11_M1,Opponent11_D2,Huskies_G1,Huskies_D7,Huskies_D3,Huskies_M11,Opponent11_D4,Opponent11_D3,Opponent11_G1,Huskies_M6,Opponent11_F1,Opponent11_F2,Huskies_D4,Huskies_M1,Huskies_M4,Huskies_F2,Huskies_F4,Huskies_D1
30,Huskies,811.014871,840.5461140000001,34.0,37.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,True,,,,,
31,Huskies,840.5461140000001,857.9877970000001,45.0,37.0,-8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,True,True,,,,True
32,Opponent11,857.9877970000001,960.75991,18.0,37.0,19.0,7.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,True,,,,,,,,,,,
33,Opponent11,960.75991,1003.8821429999999,93.0,87.0,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
34,Huskies,1003.8821429999999,1026.9613960000001,60.0,42.0,-18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,
35,Huskies,1026.9613960000001,1040.9581380000002,50.0,37.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,True,,,,True
36,Opponent11,1040.9581380000002,1045.162448,29.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
37,Huskies,1045.162448,1078.130752,44.0,37.0,-7.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,True,True,,,True
38,Opponent11,1078.130752,1163.338316,65.0,37.0,-28.0,4.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,True,True,,,,,,,,,,
39,Opponent11,1163.338316,1210.596315,33.0,49.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,
40,Huskies,1210.596315,1224.028335,9.0,37.0,28.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,True,,,,True
41,Opponent11,1224.028335,1271.686248,30.0,37.0,7.0,6.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,True,,,,,True,,,,True,True,,,,,,
42,Huskies,1271.686248,1286.396278,12.0,37.0,25.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,True,,,
43,Opponent11,1286.396278,1302.310948,68.0,37.0,-31.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,True,,,,,,,
44,Huskies,1302.310948,1316.856031,64.0,37.0,-27.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,True,True,
45,Huskies,1316.856031,1356.957114,53.0,37.0,-16.0,1.0,0.0,3.0,10.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,True,,,True,True,True,,,True
46,Huskies,1356.957114,1376.619905,54.0,37.0,-17.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,True,True,,
47,Opponent11,1376.619905,1447.501487,65.0,72.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
48,Opponent11,1447.501487,1455.182644,12.0,37.0,25.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,,,,,,
49,Huskies,1455.182644,1459.903006,25.0,31.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
50,Opponent11,1459.903006,1481.332565,66.0,37.0,-29.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,
51,Opponent11,1481.332565,1530.219206,42.0,37.0,-5.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,True,,,,True,,,,,,,
52,Opponent11,1530.219206,1534.944129,28.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
53,Huskies,1534.944129,1559.940903,47.0,37.0,-10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,True
54,Huskies,1559.940903,1563.15775,93.0,91.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,
55,Opponent11,1563.15775,1592.946914,14.0,25.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,
56,Huskies,1592.946914,1595.6737130000001,63.0,69.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,
57,Opponent11,1595.6737130000001,1605.458915,32.0,37.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
58,Huskies,1605.458915,1643.4993029999998,32.0,37.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,True,,
59,Opponent11,1643.4993029999998,1681.0307,78.0,37.0,-41.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,True,,,,,,
60,Opponent11,1681.0307,1724.1716390000001,92.0,87.0,-5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,
61,Opponent11,1724.1716390000001,1725.988771,37.0,47.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,
62,Huskies,1725.988771,1734.4289489999999,42.0,10.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
63,Opponent11,1734.4289489999999,1737.9345640000001,30.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,
64,Huskies,1737.9345640000001,1746.060845,35.0,37.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,True
65,Opponent11,1746.060845,1753.151527,61.0,37.0,-24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
66,Huskies,1753.151527,1776.547782,9.0,37.0,28.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,True,True,,
67,Opponent11,1776.547782,1787.7098030000002,34.0,37.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,True,True,,,,,,
68,Huskies,1787.7098030000002,1814.496642,35.0,44.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
69,Opponent11,1814.496642,1819.354934,44.0,37.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,True,,,,,,,
70,Huskies,1819.354934,1822.800001,36.0,37.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
71,Huskies,1822.800001,1840.838491,25.0,12.0,-13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
72,Opponent11,1840.838491,1850.456995,28.0,27.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
73,Opponent11,1850.456995,1853.9247469999998,38.0,67.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
74,Huskies,1853.9247469999998,1901.829051,41.0,37.0,-4.0,0.0,0.0,14.0,26.0,3.0,13.0,1.0,0.0,3.0,0.0,16.0,2.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,,,True,True,,True,True,True
75,Opponent11,1901.829051,1948.854694,27.0,37.0,10.0,0.0,0.0,3.0,12.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,,,,True,,,,,,,
76,Opponent11,1948.854694,1961.234904,68.0,37.0,-31.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,True,,,,,,,,,,,
77,Huskies,1961.234904,1964.898485,42.0,35.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,,
78,Opponent11,1964.898485,1971.534643,33.0,69.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,
79,Huskies,1971.534643,1978.866827,7.0,4.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
80,Huskies,1978.866827,2040.423512,41.0,37.0,-4.0,6.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,True,True,
81,Huskies,2040.423512,2103.496896,40.0,37.0,-3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,True,,,,,,,,
82,Opponent11,2103.496896,2234.0623100000003,33.0,37.0,4.0,11.0,0.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,True,,,,,True,,,,True,True,,,,,,
83,Opponent11,2234.0623100000003,2357.125083,32.0,37.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,
84,Huskies,2357.125083,2374.792815,28.0,14.0,-14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
85,Huskies,2374.792815,2379.225352,60.0,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
86,Opponent11,2379.225352,2431.054468,9.0,37.0,28.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,True,True,,,,,,
87,Opponent11,2431.054468,2443.322826,32.0,37.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
88,Opponent11,2443.322826,2461.83155,98.0,37.0,-61.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,
89,Huskies,2461.83155,2463.7940489999996,12.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,
90,Opponent11,2463.7940489999996,2487.4641850000003,78.0,73.0,-5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,
91,Opponent11,2487.4641850000003,2499.187735,70.0,37.0,-33.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,,,,,,,,,,,,,,
92,Huskies,2499.187735,2505.794655,27.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
93,Opponent11,2505.794655,2595.986922,70.0,37.0,-33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,
94,Opponent11,2595.986922,2610.235938,42.0,37.0,-5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,,,,,,,True,True,,,,,,
95,Opponent11,2610.235938,2617.776885,78.0,37.0,-41.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
96,Huskies,2617.776885,2628.8832039999998,27.0,37.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,True,,,,,,,,
97,Opponent11,2628.8832039999998,2667.0146059999997,35.0,37.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,,,,,,,,,
98,Opponent11,2667.0146059999997,2675.5681210000002,36.0,37.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,True,,,,,True,,,,,,
99,Huskies,2675.5681210000002,2719.2303890000003,38.0,37.0,-1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,True,,,,,True,,,
100,Opponent11,2719.2303890000003,2728.809198,12.0,37.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,True,,,,,,,,,
101,Huskies,2728.809198,2737.2848280000003,48.0,37.0,-11.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,True,,
102,Opponent11,2737.2848280000003,2751.452825,42.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
103,Huskies,2751.452825,3900.0,15.0,27.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
