,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F6,Opponent2_F1,Opponent2_D6,Opponent2_D4,Opponent2_M4,Huskies_D4,Huskies_F2,Huskies_D1,Huskies_F5,Opponent2_M1,Opponent2_D2,Opponent2_M3,Opponent2_G1,Opponent2_M2,Opponent2_D1,Huskies_F1,Opponent2_F3,Huskies_D8,Huskies_M12,Huskies_G1,Huskies_M3
18,Opponent2,652.106975,680.015979,13.0,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
19,Huskies,680.015979,749.46563,81.0,36.0,-45.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,True,,,
20,Opponent2,749.46563,852.5893840000001,56.0,36.0,-20.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,True,,,,,,,,,
21,Opponent2,852.5893840000001,883.8541990000001,14.0,36.0,22.0,2.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,True,,True,True,True,,,,,,
22,Opponent2,883.8541990000001,1142.494813,43.0,36.0,-7.0,2.0,2.0,15.0,28.0,12.0,49.0,0.0,5.0,18.0,21.0,11.0,8.0,5.0,5.0,6.0,,,True,True,True,True,,,,,True,True,True,True,True,,,True,,,,
23,Opponent2,1142.494813,1194.541266,36.0,36.0,0.0,8.0,1.0,5.0,12.0,3.0,6.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,True,,,,,True,True,,,True,,,,,,,
24,Opponent2,1194.541266,1237.662638,78.0,36.0,-42.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,,True,True,,,,,,
25,Opponent2,1237.662638,1317.058639,73.0,36.0,-37.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,True,,,,
26,Opponent2,1317.058639,1361.012102,25.0,36.0,11.0,2.0,0.0,4.0,6.0,5.0,3.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,0.0,,,,True,True,True,,,,,,True,,,,True,,True,,,,
27,Huskies,1361.012102,1371.733591,24.0,36.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,True,,
28,Opponent2,1371.733591,1394.8069890000002,11.0,36.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,,,,,,,,,,,
29,Huskies,1394.8069890000002,1421.731189,36.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,True,,,,,,,,,,,,,
30,Opponent2,1421.731189,1498.709817,26.0,36.0,10.0,2.0,0.0,5.0,9.0,5.0,12.0,0.0,1.0,5.0,7.0,5.0,3.0,1.0,1.0,0.0,,,True,,True,True,,,,,True,True,True,,,True,,,,,,
31,Opponent2,1498.709817,1506.138526,15.0,62.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
32,Opponent2,1506.138526,1577.75414,55.0,36.0,-19.0,0.0,0.0,13.0,37.0,7.0,44.0,3.0,2.0,17.0,10.0,12.0,3.0,2.0,0.0,6.0,,,True,True,True,True,,,,,True,True,True,,True,True,,True,,,,
33,Opponent2,1577.75414,1605.876028,90.0,36.0,-54.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,,True,,True,True,,,,,,
34,Opponent2,1605.876028,1672.879608,84.0,36.0,-48.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,True,,,,
35,Huskies,1672.879608,1683.4606199999998,59.0,36.0,-23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,,,,True,
36,Opponent2,1683.4606199999998,1718.073507,28.0,42.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,
37,Opponent2,1718.073507,1753.101607,37.0,36.0,-1.0,2.0,0.0,4.0,8.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,True,True,,,True,True,,True,,,,
38,Opponent2,1753.101607,1764.6928420000002,52.0,36.0,-16.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,True,,,,
39,Huskies,1764.6928420000002,1769.1371649999999,18.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
40,Opponent2,1769.1371649999999,1779.367293,48.0,36.0,-12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,True,,,,
41,Opponent2,1779.367293,1797.3757679999999,59.0,36.0,-23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,True,,True,,,,,,,
42,Huskies,1797.3757679999999,1812.2475359999999,26.0,66.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,
43,Opponent2,1812.2475359999999,1884.788321,11.0,36.0,25.0,2.0,0.0,3.0,15.0,6.0,13.0,0.0,1.0,7.0,1.0,7.0,4.0,1.0,1.0,0.0,,,,True,True,True,,,,,True,True,,True,True,True,,,,,,
44,Opponent2,1884.788321,1936.665614,37.0,36.0,-1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,True,,,,,,True,,,,
45,Huskies,1936.665614,1939.877851,11.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
46,Opponent2,1939.877851,2026.268086,61.0,36.0,-25.0,4.0,1.0,11.0,27.0,5.0,16.0,3.0,6.0,10.0,2.0,17.0,5.0,4.0,2.0,0.0,,,,True,True,True,,,,,True,True,,,True,True,,True,,,,
47,Huskies,2026.268086,2077.1515219999997,72.0,69.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,
48,Opponent2,2077.1515219999997,2100.4776859999997,32.0,36.0,4.0,0.0,0.0,2.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,True,,True,,,,,,,,
49,Huskies,2100.4776859999997,2130.304701,47.0,40.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
50,Huskies,2130.304701,2141.719234,67.0,36.0,-31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,True,,,
51,Huskies,2141.719234,2152.193796,73.0,36.0,-37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,,,True
52,Huskies,2152.193796,2161.325114,70.0,36.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,
53,Opponent2,2161.325114,2190.684244,14.0,61.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
54,Huskies,2190.684244,2192.818021,69.0,75.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
55,Opponent2,2192.818021,2290.447922,26.0,36.0,10.0,0.0,1.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,True,,True,,,True,,,,
56,Opponent2,2290.447922,2331.0055239999997,34.0,62.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,
57,Opponent2,2331.0055239999997,2362.0545239999997,94.0,36.0,-58.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,
58,Opponent2,2362.0545239999997,2416.0997350000002,88.0,36.0,-52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,
59,Opponent2,2416.0997350000002,2435.2973,22.0,36.0,14.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,True,True,,,,,,,,
60,Huskies,2435.2973,2468.028401,38.0,36.0,-2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,True,,,,,,,,,,,,True,
61,Opponent2,2468.028401,2501.263132,36.0,36.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,True,True,,,,,,True,,,,,,,,,,
62,Opponent2,2501.263132,2521.015089,76.0,36.0,-40.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,True,,,True,True,,True,,,,
63,Opponent2,2521.015089,2525.914796,77.0,96.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
64,Huskies,2525.914796,2529.872617,9.0,44.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
65,Opponent2,2529.872617,2713.467488,46.0,36.0,-10.0,7.0,0.0,19.0,41.0,16.0,53.0,2.0,9.0,26.0,23.0,23.0,12.0,9.0,7.0,12.0,,,True,True,True,True,,,,,True,True,True,True,True,True,,True,,,,
66,Opponent2,2713.467488,2747.07873,29.0,36.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,True,True,,,,,True,True,,,,,,True,,,,
67,Huskies,2747.07873,2756.792652,69.0,82.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,
68,Opponent2,2756.792652,2760.717571,38.0,36.0,-2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,True,,,,,,,
69,Opponent2,2760.717571,3900.0,31.0,36.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,,True,True,,,True,True,,,,,,
