,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent17_M1,Opponent17_D1,Opponent17_M2,Opponent17_M3,Opponent17_D2,Opponent17_M5,Opponent17_M4,Huskies_M1,Huskies_D5,Huskies_F2,Huskies_G1,Huskies_D7,Opponent17_D3,Opponent17_F1,Opponent17_D4,Huskies_D2,Huskies_M6,Huskies_M8,Huskies_D6,Huskies_M3,Huskies_F1,Opponent17_G1
13,Opponent17,390.250392,406.132523,46.0,27.0,-19.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,,,,,
14,Huskies,406.132523,419.76129800000007,39.0,27.0,-12.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,True,True,,,,,
15,Opponent17,419.76129800000007,443.13846500000005,27.0,27.0,0.0,6.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,,,,,True,,True,,,,,,,
16,Huskies,443.13846500000005,458.808333,42.0,59.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
17,Huskies,458.808333,485.614041,30.0,27.0,-3.0,3.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,True,,,,True,,True,True,True,,
18,Opponent17,485.614041,547.072488,45.0,27.0,-18.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,True,,,,,,,
19,Huskies,547.072488,619.935274,44.0,27.0,-17.0,8.0,0.0,3.0,14.0,4.0,17.0,0.0,1.0,8.0,5.0,6.0,2.0,1.0,1.0,0.0,,,,,,,,True,True,True,True,True,,,,True,,,True,True,True,
20,Opponent17,619.935274,642.3831610000001,9.0,27.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,
21,Huskies,642.3831610000001,685.495914,36.0,27.0,-9.0,0.0,0.0,5.0,14.0,2.0,9.0,0.0,3.0,5.0,3.0,9.0,2.0,1.0,1.0,0.0,,,,,,,,True,True,True,,,,,,True,,,True,True,,
22,Huskies,685.495914,766.201137,29.0,27.0,-2.0,7.0,1.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,,,True,True,True,,True,,
23,Opponent17,766.201137,772.993161,6.0,54.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,True
24,Opponent17,772.993161,804.395463,47.0,71.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
25,Opponent17,804.395463,807.600018,38.0,57.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,
26,Opponent17,807.600018,812.9171200000002,51.0,69.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
27,Opponent17,812.9171200000002,827.2874670000001,34.0,53.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,
28,Huskies,827.2874670000001,853.5788130000002,41.0,34.0,-7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
29,Opponent17,853.5788130000002,875.9325560000001,54.0,27.0,-27.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,True,True,,,,,,True,,,,,,,,,
30,Huskies,875.9325560000001,881.1658570000001,12.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
31,Opponent17,881.1658570000001,892.0319689999999,67.0,27.0,-40.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,True,,,,,,,,,,,,,,,
32,Opponent17,892.0319689999999,901.7887039999999,88.0,27.0,-61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,True,,,,,,,
33,Opponent17,901.7887039999999,924.2239089999999,70.0,27.0,-43.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,True,True,,,,,,,,,,,,,,,
34,Opponent17,924.2239089999999,944.108222,72.0,67.0,-5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
35,Huskies,944.108222,950.343269,11.0,44.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
36,Opponent17,950.343269,991.3896980000001,58.0,27.0,-31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,True
37,Huskies,991.3896980000001,994.535518,22.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,
38,Opponent17,994.535518,1038.92524,70.0,27.0,-43.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,,,True,,,,,,,,
39,Huskies,1038.92524,1069.144723,10.0,27.0,17.0,1.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,True,,True,True,,,
40,Opponent17,1069.144723,1097.087091,57.0,57.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,
41,Opponent17,1097.087091,1137.7885529999999,91.0,27.0,-64.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,True,True,,,,,,,
42,Opponent17,1137.7885529999999,1172.629487,68.0,86.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,
43,Opponent17,1172.629487,1175.08805,69.0,64.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
44,Huskies,1175.08805,1223.697022,29.0,39.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
45,Opponent17,1223.697022,1229.611355,11.0,66.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,True
46,Opponent17,1229.611355,1263.25225,44.0,27.0,-17.0,2.0,0.0,4.0,7.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,,True,True,True,,,,,,,True,,,,,,,,True
47,Huskies,1263.25225,1295.0456140000001,51.0,27.0,-24.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,True,,True,True,True,,,,,,,,,,
48,Opponent17,1295.0456140000001,1314.144581,32.0,27.0,-5.0,3.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,,True,True,,,,,,,True,,,,,,,,
49,Huskies,1314.144581,1371.692603,39.0,27.0,-12.0,1.0,0.0,12.0,26.0,6.0,18.0,1.0,2.0,7.0,2.0,6.0,3.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,,,True,True,True,,True,True,
50,Opponent17,1371.692603,1438.9703359999999,22.0,27.0,5.0,2.0,0.0,9.0,10.0,9.0,18.0,0.0,1.0,7.0,9.0,5.0,3.0,1.0,1.0,0.0,True,True,True,,True,True,True,,,,,,True,True,True,,,,,,,
51,Huskies,1438.9703359999999,1482.391372,50.0,27.0,-23.0,4.0,0.0,1.0,4.0,2.0,13.0,0.0,0.0,3.0,8.0,2.0,1.0,0.0,0.0,6.0,,,,,,,,True,True,True,,,,,,True,True,,True,True,,
52,Opponent17,1482.391372,1510.249076,3.0,27.0,24.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,True,True,,,,,,,
53,Huskies,1510.249076,1519.499441,9.0,24.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
54,Opponent17,1519.499441,1537.95614,25.0,27.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,True,,True,,,,,,,True
55,Huskies,1537.95614,1645.245344,29.0,27.0,-2.0,1.0,2.0,7.0,15.0,4.0,13.0,0.0,0.0,5.0,2.0,8.0,1.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,True,True,True,True,True,True,
56,Opponent17,1645.245344,1688.250364,43.0,27.0,-16.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,True,,True,,,,,,,
57,Opponent17,1688.250364,1709.627596,85.0,56.0,-29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,
58,Opponent17,1709.627596,1725.175211,33.0,27.0,-6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,True,,,,,,,,,
59,Opponent17,1725.175211,1766.934088,35.0,27.0,-8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,True,,True,,,,,,,
60,Opponent17,1766.934088,1787.2963949999998,92.0,89.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
61,Opponent17,1787.2963949999998,1791.7434170000001,88.0,81.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,,,
62,Huskies,1791.7434170000001,1809.9935890000002,17.0,27.0,10.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,True,,True,,
63,Huskies,1809.9935890000002,1826.0851899999998,50.0,27.0,-23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,True,,,,,,
64,Huskies,1826.0851899999998,1833.264383,36.0,29.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,,,
65,Huskies,1833.264383,1864.44895,62.0,27.0,-35.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,True,,,,,,,True,True,,
66,Huskies,1864.44895,1896.10522,51.0,27.0,-24.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,True,True,,True,True,,
67,Huskies,1896.10522,1958.543243,75.0,27.0,-48.0,4.0,0.0,1.0,4.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,True,True,True,,True,,,,,True,,,True,,
68,Opponent17,1958.543243,1967.3345149999998,61.0,53.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,
69,Opponent17,1967.3345149999998,2012.2244050000002,76.0,27.0,-49.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
70,Huskies,2012.2244050000002,2026.869601,38.0,27.0,-11.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,True,,,,,
71,Huskies,2026.869601,2043.650948,55.0,27.0,-28.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,,,True,True,,
72,Opponent17,2043.650948,2085.0447280000003,26.0,27.0,1.0,4.0,1.0,4.0,12.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,True,True,,True,True,True,True,,,,,,True,,True,,,,,,,
73,Opponent17,2085.0447280000003,2147.9921510000004,57.0,80.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
74,Opponent17,2147.9921510000004,2155.855518,93.0,86.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,,
75,Huskies,2155.855518,2159.560832,32.0,40.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,
76,Opponent17,2159.560832,2162.332515,62.0,64.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,
77,Huskies,2162.332515,2195.028188,32.0,27.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,True,,
78,Opponent17,2195.028188,2253.0540969999997,39.0,27.0,-12.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,True,,,,,,,True,True,,,,,,,
79,Huskies,2253.0540969999997,2279.19168,44.0,27.0,-17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,True,
80,Opponent17,2279.19168,2293.9872219999997,35.0,27.0,-8.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,True,,,,,,,,
81,Huskies,2293.9872219999997,2303.27627,31.0,27.0,-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,True,,,
82,Opponent17,2303.27627,2368.725957,39.0,27.0,-12.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,True,,,,,,,,,,,,,,,
83,Huskies,2368.725957,2420.758664,42.0,27.0,-15.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,,,,,,,True,True,True,
84,Huskies,2420.758664,2425.945765,85.0,27.0,-58.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,True,,,,
85,Huskies,2425.945765,2443.5012039999997,99.0,92.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,
86,Opponent17,2443.5012039999997,2528.100378,17.0,27.0,10.0,3.0,0.0,6.0,11.0,2.0,6.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,,True,True,,True,True,True,,,,,,True,,,,,,,,,True
87,Huskies,2528.100378,2552.560312,60.0,27.0,-33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,True,True,True,,
88,Opponent17,2552.560312,2561.154202,27.0,27.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,True,,,,,,,,,
89,Huskies,2561.154202,2593.492646,53.0,27.0,-26.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,,,,True,,,,True,,
90,Opponent17,2593.492646,2603.627546,18.0,27.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,True
91,Huskies,2603.627546,2619.6089420000003,36.0,27.0,-9.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,True,,True,True,,,
92,Opponent17,2619.6089420000003,2666.2827829999997,70.0,27.0,-43.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,True,,,,,,,,
93,Opponent17,2666.2827829999997,2723.230926,30.0,27.0,-3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,True,,True,,,,,,,
94,Huskies,2723.230926,2751.1897050000002,64.0,27.0,-37.0,0.0,0.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,True,True,,True,True,,
95,Opponent17,2751.1897050000002,2758.6779149999998,13.0,29.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
96,Huskies,2758.6779149999998,3900.0,35.0,27.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,True,,,
