,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_15,coach,side,scores,final_scores,outcome
Opponent,0.12727272727272726,0.10909090909090909,0.07272727272727272,0.03636363636363636,0.10909090909090909,0.07272727272727272,0.12727272727272726,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.0,0.2,,,49.15064725542287,2703.2855990482576,
Huskies,0.16260162601626016,0.1951219512195122,0.032520325203252036,0.008130081300813009,0.17073170731707318,0.04878048780487805,0.11382113821138211,0.032520325203252036,0.008130081300813009,0.008130081300813009,0.0,0.21951219512195122,Coach1,away,49.42982069600333,6079.86794560841,tie
Opponent,0.18947368421052632,0.21052631578947367,0.021052631578947368,0.0,0.16842105263157894,0.06315789473684211,0.07368421052631578,0.021052631578947368,0.0,0.0,0.0,0.25263157894736843,,,49.391241412929595,4692.167934228311,
Huskies,0.16279069767441862,0.16279069767441862,0.046511627906976744,0.0,0.13953488372093023,0.06976744186046512,0.13953488372093023,0.046511627906976744,0.0,0.0,0.0,0.23255813953488372,Coach1,home,49.653881079668174,2135.1168864257315,loss
Opponent,0.13656387665198239,0.17180616740088106,0.07929515418502203,0.013215859030837005,0.14977973568281938,0.06167400881057269,0.1277533039647577,0.06167400881057269,0.01762114537444934,0.00881057268722467,0.0,0.17180616740088106,,,49.64830682039185,11270.16564822895,
Huskies,0.16778523489932887,0.174496644295302,0.04697986577181208,0.013422818791946308,0.15436241610738255,0.06040268456375839,0.09395973154362416,0.04697986577181208,0.020134228187919462,0.013422818791946308,0.006711409395973154,0.20134228187919462,Coach2,away,49.25997210268122,7339.7358432995015,loss
Opponent,0.1276595744680851,0.14893617021276595,0.0425531914893617,0.02127659574468085,0.14893617021276595,0.02127659574468085,0.10638297872340426,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0,0.2978723404255319,,,48.45586214597643,2277.4255208608924,
Huskies,0.17777777777777778,0.15555555555555556,0.06666666666666667,0.0,0.15555555555555556,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.24444444444444444,Coach2,home,49.16784032551697,2212.552814648264,win
Opponent,0.1834862385321101,0.1743119266055046,0.03669724770642202,0.0,0.1743119266055046,0.05504587155963303,0.05504587155963303,0.03669724770642202,0.0,0.0,0.0,0.28440366972477066,,,49.083255327468635,5350.074830694081,
Huskies,0.18421052631578946,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.0,0.0,0.0,0.2631578947368421,Coach2,away,49.23334426212041,1870.8670819605757,tie
Opponent,0.16243654822335024,0.18274111675126903,0.03553299492385787,0.02030456852791878,0.17258883248730963,0.04060913705583756,0.08629441624365482,0.03553299492385787,0.02030456852791878,0.02030456852791878,0.0,0.2233502538071066,,,49.084557514683,9669.65783039255,
Huskies,0.14736842105263157,0.16842105263157894,0.06315789473684211,0.031578947368421054,0.14736842105263157,0.042105263157894736,0.09473684210526316,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.0,0.22105263157894736,Coach2,away,49.01980251678817,4656.881239094876,loss
Opponent,0.14015151515151514,0.1553030303030303,0.06818181818181818,0.026515151515151516,0.14772727272727273,0.07196969696969698,0.09848484848484848,0.06439393939393939,0.026515151515151516,0.026515151515151516,0.003787878787878788,0.17045454545454544,,,49.336907450374625,13024.9435668989,
Huskies,0.15702479338842976,0.2066115702479339,0.04132231404958678,0.01652892561983471,0.1487603305785124,0.06611570247933884,0.1487603305785124,0.024793388429752067,0.008264462809917356,0.008264462809917356,0.0,0.17355371900826447,Coach2,home,49.83290842600652,6029.781919546789,win
Opponent,0.16666666666666666,0.18666666666666668,0.06666666666666667,0.006666666666666667,0.15333333333333332,0.06666666666666667,0.09333333333333334,0.04,0.006666666666666667,0.0,0.0,0.21333333333333335,,,49.54898381983482,7432.347572975223,
Huskies,0.14634146341463414,0.1951219512195122,0.04878048780487805,0.012195121951219513,0.17073170731707318,0.036585365853658534,0.08536585365853659,0.036585365853658534,0.012195121951219513,0.0,0.0,0.25609756097560976,Coach3,home,49.0483125724534,4021.9616309411786,win
Opponent,0.13513513513513514,0.1891891891891892,0.05405405405405406,0.013513513513513514,0.12162162162162163,0.08108108108108109,0.14864864864864866,0.04054054054054054,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.17567567567567569,,,49.515151000993306,3664.121174073505,
Huskies,0.13333333333333333,0.26666666666666666,0.0,0.0,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,Coach3,away,49.08905030549995,736.3357545824992,tie
Opponent,0.1553030303030303,0.20454545454545456,0.041666666666666664,0.007575757575757576,0.17045454545454544,0.06439393939393939,0.13257575757575757,0.03409090909090909,0.007575757575757576,0.007575757575757576,0.0,0.17424242424242425,,,49.81998067118255,13152.474897192193,
Huskies,0.13333333333333333,0.14074074074074075,0.07407407407407407,0.05185185185185185,0.1037037037037037,0.06666666666666667,0.0962962962962963,0.07407407407407407,0.044444444444444446,0.044444444444444446,0.014814814814814815,0.15555555555555556,Coach3,away,48.78965272563864,6586.603117961216,win
Opponent,0.16770186335403728,0.18012422360248448,0.049689440993788817,0.012422360248447204,0.16149068322981366,0.037267080745341616,0.11180124223602485,0.043478260869565216,0.018633540372670808,0.012422360248447204,0.006211180124223602,0.19875776397515527,,,49.22655778677779,7925.475803671224,
Huskies,0.15517241379310345,0.1896551724137931,0.04310344827586207,0.017241379310344827,0.14655172413793102,0.04310344827586207,0.15517241379310345,0.034482758620689655,0.008620689655172414,0.008620689655172414,0.0,0.19827586206896552,Coach3,home,49.56160425020545,5749.146093023832,win
Opponent,0.17045454545454544,0.20454545454545456,0.022727272727272728,0.0,0.1590909090909091,0.07954545454545454,0.06818181818181818,0.011363636363636364,0.0,0.0,0.0,0.2840909090909091,,,49.273502725824535,4336.068239872559,
Huskies,0.1891891891891892,0.21621621621621623,0.02702702702702703,0.0,0.16216216216216217,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0,0.2702702702702703,Coach3,home,49.100072064690416,3633.4053327870906,tie
Opponent,0.171875,0.171875,0.057291666666666664,0.015625,0.15104166666666666,0.041666666666666664,0.109375,0.046875,0.015625,0.010416666666666666,0.005208333333333333,0.203125,,,49.24823196221233,9455.660536744766,
Huskies,0.1511627906976744,0.1744186046511628,0.046511627906976744,0.023255813953488372,0.16279069767441862,0.03488372093023256,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.22093023255813954,Coach3,away,49.006907156809746,4214.594015485638,tie
Opponent,0.19444444444444445,0.19444444444444445,0.027777777777777776,0.0,0.1527777777777778,0.027777777777777776,0.1388888888888889,0.027777777777777776,0.0,0.0,0.0,0.2361111111111111,,,49.46395276535691,3561.4045991056973,
Huskies,0.16153846153846155,0.18461538461538463,0.05384615384615385,0.007692307692307693,0.16923076923076924,0.06153846153846154,0.1,0.038461538461538464,0.007692307692307693,0.007692307692307693,0.0,0.2076923076923077,Coach3,away,49.51813188515007,6437.357145069509,loss
Opponent,0.0958904109589041,0.1917808219178082,0.0547945205479452,0.0136986301369863,0.1643835616438356,0.0136986301369863,0.0821917808219178,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.3150684931506849,,,48.41143343096866,3534.034640460712,
Huskies,0.18055555555555555,0.16666666666666666,0.05555555555555555,0.027777777777777776,0.125,0.041666666666666664,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.013888888888888888,0.0,0.25,Coach3,home,48.90790978392106,3521.3695044423166,loss
Opponent,0.1583710407239819,0.1583710407239819,0.06787330316742081,0.027149321266968326,0.13122171945701358,0.058823529411764705,0.10407239819004525,0.058823529411764705,0.027149321266968326,0.027149321266968326,0.004524886877828055,0.17647058823529413,,,49.244906759166675,10883.124393775835,
Huskies,0.14666666666666667,0.2,0.05333333333333334,0.02666666666666667,0.16,0.013333333333333334,0.13333333333333333,0.02666666666666667,0.0,0.0,0.0,0.24,Coach3,away,49.13129557721105,3684.8471682908284,loss
Opponent,0.13736263736263737,0.19230769230769232,0.054945054945054944,0.02197802197802198,0.15384615384615385,0.04945054945054945,0.10989010989010989,0.04945054945054945,0.02197802197802198,0.02197802197802198,0.0,0.18681318681318682,,,49.32515629525225,8977.17844573591,
Huskies,0.1693548387096774,0.1935483870967742,0.03225806451612903,0.008064516129032258,0.18548387096774194,0.07258064516129033,0.08064516129032258,0.024193548387096774,0.008064516129032258,0.008064516129032258,0.0,0.21774193548387097,Coach3,home,49.49846444433238,6137.809591097215,tie
Opponent,0.11428571428571428,0.2857142857142857,0.02857142857142857,0.0,0.2,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0,0.0,0.2571428571428571,,,49.13142505470527,1719.5998769146843,
Huskies,0.12162162162162163,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.14864864864864866,0.04054054054054054,0.16216216216216217,0.05405405405405406,0.013513513513513514,0.013513513513513514,0.0,0.20270270270270271,Coach3,home,49.37132709824844,3653.478205270385,win
Opponent,0.15702479338842976,0.18181818181818182,0.03305785123966942,0.024793388429752067,0.15702479338842976,0.049586776859504134,0.11570247933884298,0.03305785123966942,0.024793388429752067,0.024793388429752067,0.0,0.19834710743801653,,,49.28255196872398,5963.188788215602,
Huskies,0.14285714285714285,0.17346938775510204,0.07142857142857142,0.01020408163265306,0.14285714285714285,0.061224489795918366,0.14285714285714285,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.0,0.1836734693877551,Coach3,away,49.645962444044955,4865.3043195164055,loss
Opponent,0.13978494623655913,0.15591397849462366,0.08602150537634409,0.03225806451612903,0.13440860215053763,0.05913978494623656,0.10752688172043011,0.05913978494623656,0.03763440860215054,0.026881720430107527,0.005376344086021506,0.15591397849462366,,,49.24439659093527,9159.45776591396,
Huskies,0.1956521739130435,0.1956521739130435,0.03260869565217391,0.021739130434782608,0.17391304347826086,0.043478260869565216,0.07608695652173914,0.010869565217391304,0.0,0.0,0.0,0.25,Coach3,home,49.19656593617431,4526.084066128036,win
Opponent,0.13432835820895522,0.22388059701492538,0.05970149253731343,0.0,0.1791044776119403,0.04477611940298507,0.11940298507462686,0.029850746268656716,0.014925373134328358,0.0,0.0,0.19402985074626866,,,49.57972325711543,3321.841458226734,
Huskies,0.16129032258064516,0.1774193548387097,0.016129032258064516,0.016129032258064516,0.16129032258064516,0.04838709677419355,0.0967741935483871,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,0.27419354838709675,Coach3,away,48.962829395124956,3035.695422497747,loss
Opponent,0.16101694915254236,0.17796610169491525,0.059322033898305086,0.00847457627118644,0.1440677966101695,0.05084745762711865,0.11864406779661017,0.0423728813559322,0.00847457627118644,0.00847457627118644,0.0,0.22033898305084745,,,49.417299731855124,5831.241368358905,
Huskies,0.1724137931034483,0.1896551724137931,0.05172413793103448,0.0,0.13793103448275862,0.034482758620689655,0.1206896551724138,0.05172413793103448,0.0,0.0,0.0,0.2413793103448276,Coach3,away,49.357873553086165,2862.7566660789976,loss
Opponent,0.13095238095238096,0.20238095238095238,0.07142857142857142,0.011904761904761904,0.16666666666666666,0.023809523809523808,0.10714285714285714,0.03571428571428571,0.011904761904761904,0.011904761904761904,0.0,0.2261904761904762,,,49.10952179234337,4125.199830556843,
Huskies,0.17525773195876287,0.1958762886597938,0.020618556701030927,0.010309278350515464,0.17525773195876287,0.07216494845360824,0.07216494845360824,0.010309278350515464,0.010309278350515464,0.0,0.0,0.25773195876288657,Coach3,home,49.29601577877882,4781.713530541546,win
Opponent,0.1232876712328767,0.1780821917808219,0.0547945205479452,0.0273972602739726,0.1506849315068493,0.0273972602739726,0.0958904109589041,0.0547945205479452,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.2191780821917808,,,48.56604689530428,3545.3214233572126,
Huskies,0.1743119266055046,0.1834862385321101,0.06422018348623854,0.01834862385321101,0.1651376146788991,0.05504587155963303,0.07339449541284404,0.03669724770642202,0.01834862385321101,0.009174311926605505,0.009174311926605505,0.1926605504587156,Coach3,away,49.18313447365638,5360.961657628545,win
Opponent,0.15476190476190477,0.21428571428571427,0.047619047619047616,0.011904761904761904,0.15476190476190477,0.023809523809523808,0.11904761904761904,0.047619047619047616,0.011904761904761904,0.011904761904761904,0.0,0.20238095238095238,,,49.3083976782183,4141.905404970337,
Huskies,0.14285714285714285,0.22857142857142856,0.02857142857142857,0.0,0.22857142857142856,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.3142857142857143,Coach3,home,48.60346273795544,1701.1211958284405,loss
Opponent,0.1111111111111111,0.1343669250645995,0.082687338501292,0.05426356589147287,0.11886304909560723,0.07235142118863049,0.09302325581395349,0.07235142118863049,0.05426356589147287,0.05167958656330749,0.020671834625323,0.1343669250645995,,,48.670067568024166,18835.316148825354,
Huskies,0.13725490196078433,0.21568627450980393,0.0392156862745098,0.0196078431372549,0.1568627450980392,0.0392156862745098,0.0784313725490196,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0,0.23529411764705882,Coach3,home,48.961609224196046,2497.0420704339986,tie
Opponent,0.1443850267379679,0.1657754010695187,0.06951871657754011,0.026737967914438502,0.1443850267379679,0.053475935828877004,0.12299465240641712,0.0427807486631016,0.0374331550802139,0.026737967914438502,0.0,0.1657754010695187,,,49.38082819438999,9234.214872350929,
Huskies,0.15602836879432624,0.1773049645390071,0.05673758865248227,0.02127659574468085,0.16312056737588654,0.0425531914893617,0.09929078014184398,0.0425531914893617,0.028368794326241134,0.02127659574468085,0.0,0.19148936170212766,Coach3,away,49.23576510040781,6942.242879157501,tie
Opponent,0.16666666666666666,0.23529411764705882,0.0196078431372549,0.0,0.1568627450980392,0.029411764705882353,0.12745098039215685,0.0196078431372549,0.0,0.0,0.0,0.24509803921568626,,,49.368923572846064,5035.630204430298,
Huskies,0.1702127659574468,0.19148936170212766,0.03546099290780142,0.0,0.1702127659574468,0.05673758865248227,0.09929078014184398,0.028368794326241134,0.0,0.0,0.0,0.24822695035460993,Coach3,home,49.41348553933666,6967.30146104647,win
Opponent,0.16176470588235295,0.16176470588235295,0.029411764705882353,0.0,0.16176470588235295,0.014705882352941176,0.1323529411764706,0.029411764705882353,0.0,0.0,0.0,0.3088235294117647,,,48.9180132327352,3326.4248998259936,
Huskies,0.15625,0.19791666666666666,0.03125,0.010416666666666666,0.15625,0.052083333333333336,0.125,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.22916666666666666,Coach3,away,49.39088287876453,4741.524756361395,win
Opponent,0.13725490196078433,0.21568627450980393,0.049019607843137254,0.00980392156862745,0.1568627450980392,0.0196078431372549,0.12745098039215685,0.029411764705882353,0.0196078431372549,0.00980392156862745,0.0,0.22549019607843138,,,49.15823925882244,5014.140404399889,
Huskies,0.13186813186813187,0.23076923076923078,0.04395604395604396,0.0,0.15384615384615385,0.03296703296703297,0.14285714285714285,0.04395604395604396,0.0,0.0,0.0,0.21978021978021978,Coach3,home,49.496918282109455,4504.219563671961,tie
Opponent,0.18072289156626506,0.14457831325301204,0.060240963855421686,0.012048192771084338,0.14457831325301204,0.03614457831325301,0.10843373493975904,0.060240963855421686,0.012048192771084338,0.012048192771084338,0.0,0.2289156626506024,,,49.2069924194245,4084.180370812234,
Huskies,0.16216216216216217,0.16216216216216217,0.05405405405405406,0.04504504504504504,0.14414414414414414,0.04504504504504504,0.0990990990990991,0.02702702702702703,0.02702702702702703,0.018018018018018018,0.018018018018018018,0.1981981981981982,Coach3,away,48.73230580077917,5409.285943886488,loss
Opponent,0.14285714285714285,0.16770186335403728,0.06832298136645963,0.012422360248447204,0.16149068322981366,0.037267080745341616,0.09316770186335403,0.06832298136645963,0.012422360248447204,0.012422360248447204,0.006211180124223602,0.21739130434782608,,,49.03549200852204,7894.714213372049,
